Wavelength,(um),Normalized,RSF
8.8,0.0017,,
8.82,0.0033,,
8.84,0.0018,,
8.86,0.0019,,
8.88,0.0001,,
8.9,0.0008,,
8.92,0.0023,,
8.94,0.0019,,
8.96,0.0023,,
8.98,0.0016,,
9,0.0006,,
9.02,0.002,,
9.04,0.0026,,
9.06,0.0017,,
9.08,0.0024,,
9.1,0.0012,,
9.12,0.001,,
9.14,0.0019,,
9.16,0.0006,,
9.18,0.0009,,
9.2,0.0011,,
9.22,0.0002,,
9.24,0.001,,
9.26,0.0005,,
9.28,0.0007,,
9.3,0.0009,,
9.32,0.0005,,
9.34,0.0011,,
9.36,0.0008,,
9.38,0.0013,,
9.4,0.0002,,
9.42,0.0011,,
9.44,0.0017,,
9.46,0.0013,,
9.48,-0.001,,
9.5,0.0006,,
9.52,-0.0002,,
9.54,-0.0002,,
9.56,0,,
9.58,-0.0004,,
9.6,-0.0004,,
9.62,-0.0003,,
9.64,-0.0016,,
9.66,-0.0008,,
9.68,-0.0006,,
9.7,-0.0005,,
9.72,0.0002,,
9.74,-0.0005,,
9.76,-0.0002,,
9.78,-0.0015,,
9.8,-0.0007,,
9.82,-0.001,,
9.84,-0.0015,,
9.86,-0.001,,
9.88,-0.0012,,
9.9,-0.001,,
9.92,-0.001,,
9.94,-0.0019,,
9.96,-0.0014,,
9.98,-0.001,,
10,-0.001,,
10.02,-0.0013,,
10.04,0.0003,,
10.06,0.0015,,
10.08,0.0032,,
10.1,0.0068,,
10.12,0.0123,,
10.14,0.0212,,
10.16,0.0348,,
10.18,0.0552,,
10.2,0.083,,
10.22,0.1201,,
10.24,0.1659,,
10.26,0.2182,,
10.28,0.2804,,
10.3,0.3611,,
10.32,0.4515,,
10.34,0.5489,,
10.36,0.6502,,
10.38,0.7483,,
10.4,0.8364,,
10.42,0.8946,,
10.44,0.9495,,
10.46,0.972,,
10.48,0.9776,,
10.5,0.9831,,
10.52,0.9718,,
10.54,0.9826,,
10.56,0.9908,,
10.58,0.9826,,
10.6,0.9965,,
10.62,1,,
10.64,0.9938,,
10.66,0.9896,,
10.68,0.987,,
10.7,0.9834,,
10.72,0.9768,,
10.74,0.9732,,
10.76,0.9696,,
10.78,0.9652,,
10.8,0.9547,,
10.82,0.9486,,
10.84,0.9506,,
10.86,0.9504,,
10.88,0.9444,,
10.9,0.9375,,
10.92,0.9268,,
10.94,0.9439,,
10.96,0.9252,,
10.98,0.9414,,
11,0.9227,,
11.02,0.9215,,
11.04,0.9055,,
11.06,0.9011,,
11.08,0.8831,,
11.1,0.8736,,
11.12,0.8715,,
11.14,0.8444,,
11.16,0.8306,,
11.18,0.7952,,
11.2,0.7708,,
11.22,0.7244,,
11.24,0.6935,,
11.26,0.6302,,
11.28,0.5715,,
11.3,0.5013,,
11.32,0.4317,,
11.34,0.3573,,
11.36,0.2799,,
11.38,0.215,,
11.4,0.153,,
11.42,0.1068,,
11.44,0.0716,,
11.46,0.0472,,
11.48,0.0308,,
11.5,0.0198,,
11.52,0.0116,,
11.54,0.0066,,
11.56,0.004,,
11.58,0.0008,,
11.6,0.0001,,
11.62,-0.0013,,
11.64,-0.0021,,
11.66,-0.002,,
11.68,-0.0036,,
11.7,-0.0031,,
11.72,-0.0034,,
11.74,-0.0054,,
11.76,-0.005,,
11.78,-0.0048,,
11.8,-0.0036,,
11.82,-0.0044,,
11.84,-0.005,,
11.86,-0.0048,,
11.88,-0.0048,,
11.9,-0.0047,,
11.92,-0.0052,,
11.94,-0.003,,
11.96,-0.0063,,
11.98,-0.005,,
12,-0.0016,,
12.02,-0.0047,,
12.04,-0.0034,,
12.06,-0.0047,,
12.08,-0.0041,,
12.1,-0.0063,,
12.12,-0.0063,,
12.14,-0.0043,,
12.16,-0.0065,,
12.18,-0.0023,,
12.2,-0.0043,,
12.22,-0.0063,,
12.24,-0.0045,,
12.26,-0.0046,,
12.28,-0.0052,,
12.3,-0.0068,,
12.32,-0.0059,,
12.34,-0.0082,,
12.36,-0.0053,,
12.38,-0.0034,,
12.4,-0.0054,,
12.42,-0.005,,
12.44,-0.0071,,
12.46,-0.0076,,
12.48,-0.0058,,
12.5,-0.0073,,
12.52,-0.0071,,
12.54,-0.0066,,
12.56,-0.0872,,
12.58,-0.0083,,
12.6,-0.0079,,
12.62,-0.0045,,
12.64,-0.0049,,
12.66,-0.0082,,
12.68,-0.0064,,
12.7,-0.0077,,
12.72,-0.0067,,
12.74,-0.0094,,
12.76,-0.0042,,
12.78,-0.0067,,
12.8,-0.0044,,
