Wavelength,(um),Normalized,RSF
1.49,-0.0001,,
1.491,0,,
1.492,0,,
1.493,0,,
1.494,0.0001,,
1.495,0,,
1.496,-0.0001,,
1.497,-0.0001,,
1.498,0,,
1.499,-0.0001,,
1.5,0,,
1.501,0,,
1.502,-0.0001,,
1.503,-0.0001,,
1.504,0.0001,,
1.505,-0.0001,,
1.506,0,,
1.507,0,,
1.508,0,,
1.509,0,,
1.51,0,,
1.511,0,,
1.512,-0.0001,,
1.513,0,,
1.514,-0.0001,,
1.515,0,,
1.516,-0.0001,,
1.517,-0.0001,,
1.518,0,,
1.519,0,,
1.52,0,,
1.521,0.0001,,
1.522,-0.0001,,
1.523,0,,
1.524,0,,
1.525,0.0001,,
1.526,0,,
1.527,0,,
1.528,0,,
1.529,0.0001,,
1.53,0.0001,,
1.531,0,,
1.532,0,,
1.533,0,,
1.534,0,,
1.535,0,,
1.536,0,,
1.537,0,,
1.538,0.0001,,
1.539,0,,
1.54,0,,
1.541,0.0001,,
1.542,0.0002,,
1.543,0.0001,,
1.544,0.0002,,
1.545,0.0002,,
1.546,0.0002,,
1.547,0.0003,,
1.548,0.0004,,
1.549,0.0005,,
1.55,0.0006,,
1.551,0.0008,,
1.552,0.0011,,
1.553,0.0013,,
1.554,0.0018,,
1.555,0.0022,,
1.556,0.0028,,
1.557,0.0035,,
1.558,0.0044,,
1.559,0.0055,,
1.56,0.0069,,
1.561,0.0086,,
1.562,0.011,,
1.563,0.0141,,
1.564,0.0176,,
1.565,0.0223,,
1.566,0.0281,,
1.567,0.0355,,
1.568,0.0472,,
1.569,0.06,,
1.57,0.0769,,
1.571,0.1023,,
1.572,0.1313,,
1.573,0.1763,,
1.574,0.2258,,
1.575,0.2927,,
1.576,0.3842,,
1.577,0.4823,,
1.578,0.6245,,
1.579,0.7513,,
1.58,0.8309,,
1.581,0.8504,,
1.582,0.8697,,
1.583,0.8963,,
1.584,0.9032,,
1.585,0.9255,,
1.586,0.9286,,
1.587,0.94,,
1.588,0.9444,,
1.589,0.9381,,
1.59,0.9493,,
1.591,0.9364,,
1.592,0.9464,,
1.593,0.938,,
1.594,0.9422,,
1.595,0.9437,,
1.596,0.9367,,
1.597,0.9475,,
1.598,0.9349,,
1.599,0.9479,,
1.6,0.94,,
1.601,0.9453,,
1.602,0.9512,,
1.603,0.94,,
1.604,0.9546,,
1.605,0.9396,,
1.606,0.9502,,
1.607,0.9415,,
1.608,0.9457,,
1.609,0.9462,,
1.61,0.9373,,
1.611,0.9435,,
1.612,0.9316,,
1.613,0.9443,,
1.614,0.9261,,
1.615,0.9413,,
1.616,0.9309,,
1.617,0.9336,,
1.618,0.9344,,
1.619,0.9312,,
1.62,0.9401,,
1.621,0.9298,,
1.622,0.9432,,
1.623,0.9305,,
1.624,1,,
1.625,0.9356,,
1.626,0.9339,,
1.627,0.9556,,
1.628,0.921,,
1.629,0.8969,,
1.63,0.8736,,
1.631,0.865,,
1.632,0.829,,
1.633,0.8216,,
1.634,0.7824,,
1.635,0.7223,,
1.636,0.5889,,
1.637,0.478,,
1.638,0.3741,,
1.639,0.2966,,
1.64,0.2393,,
1.641,0.1876,,
1.642,0.1492,,
1.643,0.1166,,
1.644,0.0969,,
1.645,0.0764,,
1.646,0.0628,,
1.647,0.05,,
1.648,0.0414,,
1.649,0.0338,,
1.65,0.0288,,
1.651,0.0238,,
1.652,0.0198,,
1.653,0.0167,,
1.654,0.0139,,
1.655,0.0119,,
1.656,0.01,,
1.657,0.0086,,
1.658,0.0072,,
1.659,0.0063,,
1.66,0.0052,,
1.661,0.0048,,
1.662,0.004,,
1.663,0.0035,,
1.664,0.0031,,
1.665,0.0027,,
1.666,0.0023,,
1.667,0.002,,
1.668,0.0018,,
1.669,0.0016,,
1.67,0.0014,,
1.671,0.0013,,
1.672,0.0012,,
1.673,0.0011,,
1.674,0.001,,
1.675,0.0009,,
1.676,0.0008,,
1.677,0.0008,,
1.678,0.0007,,
1.679,0.0007,,
1.68,0.0006,,
1.681,0.0005,,
1.682,0.0005,,
1.683,0.0005,,
1.684,0.0005,,
1.685,0.0004,,
1.686,0.0004,,
1.687,0.0003,,
1.688,0.0003,,
1.689,0.0003,,
1.69,0.0005,,
1.691,0.0003,,
1.692,0.0002,,
1.693,0.0002,,
1.694,0.0002,,
1.695,0.0003,,
1.696,0.0003,,
1.697,0.0002,,
1.698,0.0002,,
1.699,0.0002,,
1.7,0.0002,,
1.701,0,,
1.702,0.0001,,
1.703,0.0002,,
1.704,0.0001,,
1.705,0.0001,,
1.706,0.0001,,
1.707,0.0001,,
1.708,0,,
1.709,0.0001,,
1.71,0,,
1.711,0,,
1.712,0,,
1.713,-0.0001,,
1.714,0,,
1.715,0,,
1.716,0,,
1.717,0,,
1.718,0,,
1.719,0,,
1.72,0,,
1.721,-0.0001,,
1.722,0,,
1.723,0,,
1.724,0,,
1.725,-0.0001,,
1.726,0,,
1.727,-0.0001,,
1.728,0,,
1.729,0,,
1.73,0.0001,,
