wavelength(num),SRF
8.8,3.69E-04
8.82,2.98E-04
8.84,4.90E-04
8.86,6.61E-05
8.88,1.75E-04
8.9,9.31E-05
8.92,2.79E-06
8.94,1.64E-04
8.96,3.23E-05
8.98,-2.44E-05
9,-8.66E-06
9.02,1.33E-05
9.04,2.80E-05
9.06,5.12E-05
9.08,-1.14E-04
9.1,-2.11E-05
9.12,-1.21E-04
9.14,-8.83E-06
9.16,9.42E-06
9.18,-4.02E-05
9.2,-4.83E-05
9.22,1.68E-04
9.24,1.55E-04
9.26,1.37E-04
9.28,-1.58E-05
9.3,1.23E-04
9.32,-7.91E-05
9.34,-1.64E-04
9.36,5.66E-04
9.38,1.84E-04
9.4,8.27E-05
9.42,-6.39E-05
9.44,-7.94E-05
9.46,-1.63E-04
9.48,1.31E-04
9.5,-1.67E-04
9.52,-5.89E-06
9.54,-2.55E-04
9.56,-1.85E-04
9.58,4.41E-05
9.6,-1.79E-05
9.62,-2.89E-05
9.64,2.31E-04
9.66,-1.89E-04
9.68,-5.18E-05
9.7,-2.32E-04
9.72,-2.29E-04
9.74,-3.10E-04
9.76,-2.28E-04
9.78,-1.60E-04
9.8,-2.84E-05
9.82,-2.46E-04
9.84,3.86E-05
9.86,-1.61E-04
9.88,-3.69E-05
9.9,1.59E-04
9.92,7.15E-05
9.94,-3.64E-04
9.96,2.63E-05
9.98,2.90E-04
10,6.33E-04
10.02,1.31E-03
10.04,2.63E-03
10.06,4.65E-03
10.08,7.98E-03
10.1,1.29E-02
10.12,2.06E-02
10.14,3.22E-02
10.16,5.00E-02
10.18,7.55E-02
10.2,1.11E-01
10.22,1.54E-01
10.24,2.08E-01
10.26,2.72E-01
10.28,3.45E-01
10.3,4.34E-01
10.32,5.22E-01
10.34,6.15E-01
10.36,7.02E-01
10.38,7.77E-01
10.4,8.41E-01
10.42,8.86E-01
10.44,9.18E-01
10.46,9.38E-01
10.48,9.55E-01
10.5,9.60E-01
10.52,9.61E-01
10.54,9.65E-01
10.56,9.72E-01
10.58,9.72E-01
10.6,9.68E-01
10.62,9.61E-01
10.64,9.75E-01
10.66,9.75E-01
10.68,9.94E-01
10.7,9.86E-01
10.72,9.97E-01
10.74,1.00E+00
10.76,1.00E+00
10.78,9.89E-01
10.8,9.78E-01
10.82,9.86E-01
10.84,9.95E-01
10.86,9.89E-01
10.88,9.83E-01
10.9,9.73E-01
10.92,9.70E-01
10.94,9.60E-01
10.96,9.60E-01
10.98,9.60E-01
11,9.36E-01
11.02,9.41E-01
11.04,9.30E-01
11.06,9.29E-01
11.08,9.21E-01
11.1,9.12E-01
11.12,9.10E-01
11.14,8.93E-01
11.16,8.88E-01
11.18,8.61E-01
11.2,8.44E-01
11.22,7.87E-01
11.24,7.37E-01
11.26,6.68E-01
11.28,5.81E-01
11.3,5.03E-01
11.32,4.11E-01
11.34,3.23E-01
11.36,2.42E-01
11.38,1.73E-01
11.4,1.22E-01
11.42,8.36E-02
11.44,5.76E-02
11.46,3.92E-02
11.48,2.69E-02
11.5,1.86E-02
11.52,1.29E-02
11.54,8.59E-03
11.56,5.53E-03
11.58,3.86E-03
11.6,2.07E-03
11.62,1.07E-03
11.64,3.07E-04
11.66,-2.24E-04
11.68,-1.18E-04
11.7,-4.80E-04
11.72,-8.89E-04
11.74,-1.04E-03
11.76,-9.91E-04
11.78,-1.09E-03
11.8,-1.19E-03
11.82,-7.19E-04
11.84,-7.73E-04
11.86,-1.13E-03
11.88,-1.15E-03
11.9,-9.64E-04
11.92,-7.63E-04
11.94,-7.19E-04
11.96,-6.82E-04
11.98,-1.05E-03
12,-2.74E-04
12.02,-6.41E-04
12.04,-6.41E-04
12.06,-8.28E-04
12.08,-7.83E-04
12.1,-4.08E-04
12.12,-5.88E-04
12.14,-3.58E-04
12.16,-9.87E-04
12.18,-8.83E-04
12.2,-1.13E-03
12.22,-8.36E-04
12.24,-7.50E-04
12.26,-8.52E-04
12.28,-8.64E-04
12.3,-7.89E-04
12.32,-1.16E-03
12.34,-8.63E-04
12.36,-7.91E-04
12.38,-1.28E-03
12.4,-1.40E-03
12.42,-5.23E-04
12.44,7.07E-04
12.46,-1.30E-03
12.48,-1.10E-03
12.5,-1.19E-03
12.52,1.01E-05
12.54,1.95E-03
12.56,-3.94E-04
12.58,3.08E-03
12.6,2.23E-03
12.62,-2.92E-05
12.64,-3.86E-04
12.66,-1.12E-03
12.68,-6.21E-04
12.7,-1.12E-03
12.72,-8.25E-04
12.74,-6.93E-04
12.76,-7.13E-04
12.78,-1.00E-03
12.8,-8.15E-04
