SWIR PFM TEST   Pixel #1023
      Band #4         Band #5         Band #6         Band #7         Band #8         Band #9      
   Wavlen  Norm    Wavlen  Norm    Wavlen  Norm    Wavlen  Norm    Wavlen  Norm    Wavlen  Norm
    (um)   Resp     (um)   Resp     (um)   Resp     (um)   Resp     (um)   Resp     (um)   Resp
   1.0000 0.0000   1.0000 0.0000   1.0000 0.0000   1.0000 0.0000   1.0000 0.0000   1.0000 0.0000
   1.0480 0.0000   1.0480 0.0000   1.0480 0.0000   1.0480 0.0000   1.0480 0.0000   1.0480 0.0000
   1.0960 0.0000   1.0960 0.0000   1.0960 0.0000   1.0960 0.0000   1.0960 0.0000   1.0960 0.0000
   1.1440 0.0000   1.1440 0.0000   1.1440 0.0000   1.1440 0.0000   1.1440 0.0000   1.1440 0.0000
   1.1920 0.0000   1.1920 0.0000   1.1920 0.0000   1.1920 0.0000   1.1920 0.0000   1.1920 0.0000
   1.2400 0.0000   1.2400 0.0000   1.2400 0.0000   1.2400 0.0000   1.2400 0.0000   1.2400 0.0000
   1.2880 0.0000   1.2880 0.0000   1.2880 0.0000   1.2880 0.0000   1.2880 0.0000   1.2880 0.0000
   1.3360 0.0000   1.3360 0.0000   1.3360 0.0000   1.3360 0.0000   1.3360 0.0000   1.3360 0.0000
   1.3840 0.0000   1.3840 0.0000   1.3840 0.0000   1.3840 0.0000   1.3840 0.0000   1.3840 0.0000
   1.4320 0.0000   1.4320 0.0000   1.4320 0.0000   1.4320 0.0000   1.4320 0.0000   1.4320 0.0000
   1.4800 0.0000   1.4800 0.0000   1.4800 0.0000   1.4800 0.0000   1.4800 0.0000   1.4800 0.0000
   1.5280 0.0000   1.5280 0.0000   1.5280 0.0000   1.5280 0.0000   1.5280 0.0000   1.5280 0.0000
   1.5700 0.0040   1.5760 0.0000   1.5760 0.0000   1.5760 0.0000   1.5760 0.0000   1.5760 0.0000
   1.5800 0.0080   1.6240 0.0000   1.6240 0.0000   1.6240 0.0000   1.6240 0.0000   1.6240 0.0000
   1.5900 0.0330   1.6720 0.0000   1.6720 0.0000   1.6720 0.0000   1.6720 0.0000   1.6720 0.0000
   1.5925 0.0450   1.7200 0.0000   1.7200 0.0000   1.7200 0.0000   1.7200 0.0000   1.7200 0.0000
   1.5950 0.0740   1.7680 0.0000   1.7680 0.0000   1.7680 0.0000   1.7680 0.0000   1.7680 0.0000
   1.5975 0.0990   1.8160 0.0000   1.8160 0.0000   1.8160 0.0000   1.8160 0.0000   1.8160 0.0000
   1.6000 0.1520   1.8640 0.0000   1.8640 0.0000   1.8640 0.0000   1.8640 0.0000   1.8640 0.0000
   1.6025 0.2140   1.9120 0.0000   1.9120 0.0000   1.9120 0.0000   1.9120 0.0000   1.9120 0.0000
   1.6050 0.3050   1.9600 0.0000   1.9600 0.0000   1.9600 0.0000   1.9600 0.0000   1.9600 0.0000
   1.6075 0.4200   2.0080 0.0000   2.0080 0.0000   2.0080 0.0000   2.0080 0.0000   2.0080 0.0000
   1.6100 0.5970   2.0560 0.0000   2.0560 0.0000   2.0560 0.0000   2.0560 0.0000   2.0560 0.0000
   1.6125 0.6750   2.1040 0.0000   2.1040 0.0000   2.1040 0.0000   2.1040 0.0000   2.1040 0.0000
   1.6150 0.7900   2.1200 0.0080   2.1500 0.0080   2.1520 0.0000   2.1520 0.0000   2.1520 0.0000
   1.6175 0.8270   2.1300 0.0200   2.1600 0.0160   2.2000 0.0000   2.2000 0.0000   2.2000 0.0000
   1.6200 0.8400   2.1325 0.0290   2.1700 0.0370   2.2100 0.0080   2.2480 0.0001   2.2480 0.0000
   1.6225 0.8480   2.1350 0.0410   2.1725 0.0490   2.2200 0.0250   2.2600 0.0120   2.2960 0.0001
   1.6250 0.9010   2.1375 0.0780   2.1750 0.0660   2.2225 0.0330   2.2700 0.0160   2.3200 0.0080
   1.6275 0.9050   2.1400 0.1310   2.1775 0.1070   2.2250 0.0490   2.2800 0.0450   2.3300 0.0120
   1.6300 0.9100   2.1425 0.2050   2.1800 0.1720   2.2275 0.0700   2.2825 0.0610   2.3400 0.0200
   1.6325 0.9140   2.1450 0.3030   2.1825 0.2540   2.2300 0.1150   2.2850 0.0820   2.3425 0.0290
   1.6350 0.9050   2.1475 0.5410   2.1850 0.3520   2.2325 0.1760   2.2875 0.1060   2.3450 0.0450
   1.6375 0.9260   2.1500 0.7050   2.1875 0.5000   2.2350 0.2500   2.2900 0.1390   2.3475 0.0650
   1.6400 0.9470   2.1525 0.7790   2.1900 0.6020   2.2375 0.3850   2.2925 0.2040   2.3500 0.0780
   1.6425 0.9670   2.1550 0.7910   2.1925 0.7420   2.2400 0.5080   2.2950 0.2860   2.3525 0.1100
   1.6450 0.9760   2.1575 0.8030   2.1950 0.7620   2.2425 0.6560   2.2975 0.4490   2.3550 0.1550
   1.6475 0.9840   2.1600 0.8220   2.1975 0.7790   2.2450 0.7950   2.3000 0.6040   2.3575 0.2290
   1.6500 0.9710   2.1625 0.8400   2.2000 0.8520   2.2475 0.8690   2.3025 0.7020   2.3600 0.3270
   1.6525 0.9790   2.1650 0.9180   2.2025 0.8690   2.2500 0.8480   2.3050 0.8330   2.3625 0.4240
   1.6550 0.9880   2.1675 0.9590   2.2050 0.8860   2.2525 0.9100   2.3075 0.9710   2.3650 0.5390
   1.6575 1.0000   2.1700 1.0000   2.2075 0.9020   2.2550 0.9100   2.3100 0.9880   2.3675 0.7270
