VNIR-PFM TEST   Pixel#2501                  
         Band 1              Band 2            Band 3N               Band 3B   
    Wavelen Normalized  Wavelen Normalized  Wavelen Normalized  Wavelen Normalized 
     [um]    Response    [um]    Response    [um]    Response    [um]    Response
     0.480    0.0000     0.590    0.0038     0.720    0.0022     0.720    0.0099
     0.484    0.0069     0.593    0.0032     0.724    0.0000     0.724    0.0088
     0.488    0.0078     0.596    0.0000     0.728    0.0093     0.728    0.0206
     0.492    0.0073     0.599    0.0019     0.732    0.0258     0.732    0.0384
     0.496    0.0107     0.602    0.0031     0.736    0.0480     0.736    0.0657
     0.500    0.0580     0.605    0.0006     0.740    0.0509     0.740    0.1218
     0.504    0.1250     0.608    0.0050     0.744    0.0980     0.744    0.2529
     0.508    0.2911     0.611    0.0049     0.748    0.1907     0.748    0.4064
     0.512    0.4567     0.614    0.0018     0.752    0.3353     0.752    0.6455
     0.516    0.6717     0.617    0.0136     0.756    0.6379     0.756    0.8368
     0.520    0.8392     0.620    0.0000     0.760    1.0000     0.760    0.8973
     0.524    0.9381     0.623    0.1529     0.764    0.9786     0.764    0.9461
     0.528    0.9906     0.626    0.3429     0.768    0.8982     0.768    1.0000
     0.532    1.0000     0.629    0.5998     0.772    0.9148     0.772    0.9991
     0.536    0.9662     0.632    0.8024     0.776    0.9778     0.776    0.9722
     0.540    0.8900     0.635    0.9709     0.780    0.9942     0.780    0.9279
     0.544    0.8760     0.638    1.0000     0.784    0.9783     0.784    0.8981
     0.548    0.8959     0.641    0.9758     0.788    0.9624     0.788    0.9055
     0.552    0.9029     0.644    0.9696     0.792    0.9355     0.792    0.9010
     0.556    0.9263     0.647    0.9750     0.796    0.9713     0.796    0.9171
     0.560    0.9184     0.650    0.9430     0.800    0.9820     0.800    0.9138
     0.564    0.9387     0.653    0.9077     0.804    0.9976     0.804    0.8957
     0.568    0.9501     0.656    0.9396     0.808    0.9895     0.808    0.9202
     0.572    0.9540     0.659    0.9426     0.812    0.9751     0.812    0.9034
     0.576    0.9606     0.662    0.9226     0.816    0.9874     0.816    0.9031
     0.580    0.9528     0.665    0.9100     0.820    0.9694     0.820    0.8883
     0.584    0.9058     0.668    0.8935     0.824    0.9542     0.824    0.8866
     0.588    0.8687     0.671    0.8427     0.828    0.9489     0.828    0.8935
     0.592    0.7740     0.674    0.8031     0.832    0.9247     0.832    0.9026
     0.596    0.6795     0.677    0.7917     0.836    0.9609     0.836    0.9204
     0.600    0.5206     0.680    0.7702     0.840    0.9489     0.840    0.8863
     0.604    0.2972     0.683    0.7487     0.844    0.9420     0.844    0.8813
     0.608    0.1510     0.686    0.6619     0.848    0.9297     0.848    0.8554
     0.612    0.0918     0.689    0.5544     0.852    0.8366     0.852    0.7877
     0.616    0.0520     0.692    0.4596     0.856    0.6943     0.856    0.7254
     0.620    0.0355     0.695    0.4258     0.860    0.4813     0.860    0.5576
     0.624    0.0098     0.698    0.3708     0.864    0.2958     0.864    0.3490
     0.628    0.0046     0.701    0.2991     0.868    0.1763     0.868    0.2494
     0.632    0.0037     0.704    0.2166     0.872    0.0900     0.872    0.1452
     0.636    0.0056     0.707    0.1247     0.876    0.0547     0.876    0.0929
     0.640    0.0037     0.710    0.0623     0.880    0.0318     0.880    0.0594
     0.644    0.0014     0.713    0.0442     0.884    0.0258     0.884    0.0346
     0.650    0.0000     0.716    0.0280     0.888    0.0204     0.888    0.0133
     0.660    0.0000     0.719    0.0118     0.892    0.0075     0.892    0.0146
     0.670    0.0000     0.722    0.0105     0.896    0.0074     0.896    0.0141
     0.680    0.0000     0.725    0.0054     0.900    0.0049     0.900    0.0146
     0.690    0.0000     0.728    0.0041     0.904    0.0024     0.904    0.0012
     0.700    0.0000     0.731    0.0007     0.908    0.0024     0.908    0.0183
     0.710    0.0000     0.740    0.0000     0.912    0.0000     0.912    0.0075
     0.720    0.0000     0.750    0.0000     0.916    0.0000     0.916    0.0098
     0.730    0.0000     0.760    0.0000     0.920    0.0000     0.920    0.0000
     0.740    0.0000     0.770    0.0000     0.924    0.0000     0.924    0.0047
