"Hyperion Average cwl and fwhm"
"Band","cwl","fwhm"
1,355.589,11.387
2,365.764,11.387
3,375.939,11.387
4,386.115,11.387
5,396.290,11.387
6,406.465,11.387
7,416.641,11.387
8,426.816,11.387
9,436.991,11.387
10,447.166,11.387
11,457.342,11.387
12,467.517,11.387
13,477.692,11.387
14,487.868,11.379
15,498.043,11.354
16,508.218,11.313
17,518.393,11.258
18,528.569,11.190
19,538.744,11.112
20,548.919,11.025
21,559.095,10.932
22,569.270,10.836
23,579.445,10.741
24,589.621,10.648
25,599.796,10.561
26,609.971,10.482
27,620.146,10.415
28,630.322,10.359
29,640.497,10.319
30,650.672,10.294
31,660.848,10.286
32,671.023,10.298
33,681.198,10.335
34,691.374,10.391
35,701.549,10.459
36,711.724,10.532
37,721.899,10.601
38,732.075,10.657
39,742.250,10.693
40,752.425,10.706
41,762.601,10.728
42,772.776,10.790
43,782.951,10.884
44,793.126,10.994
45,803.302,11.104
46,813.477,11.198
47,823.652,11.260
48,833.828,11.282
49,844.003,11.282
50,854.178,11.282
51,864.354,11.281
52,874.529,11.279
53,884.704,11.278
54,894.879,11.277
55,905.055,11.276
56,915.230,11.276
57,925.405,11.275
58,935.581,11.275
59,945.756,11.275
60,955.931,11.275
61,966.106,11.275
62,976.282,11.275
63,986.457,11.275
64,996.632,11.275
65,1006.808,11.275
66,1016.983,11.275
67,1027.158,11.275
68,1037.334,11.275
69,1047.509,11.275
70,1057.684,11.275
71,851.921,11.046
72,862.009,11.046
73,872.098,11.046
74,882.187,11.046
75,892.275,11.046
76,902.363,11.046
77,912.452,11.046
78,922.541,11.046
79,932.639,11.046
80,942.728,11.046
81,952.817,11.046
82,962.905,11.046
83,972.993,11.046
84,983.082,11.046
85,993.170,11.046
86,1003.299,11.046
87,1013.298,11.046
88,1023.396,11.045
89,1033.495,11.042
90,1043.593,11.037
91,1053.692,11.031
92,1063.791,11.022
93,1073.889,11.012
94,1083.988,11.001
95,1094.086,10.987
96,1104.185,10.973
97,1114.184,10.958
98,1124.283,10.941
99,1134.380,10.924
100,1144.479,10.906
101,1154.577,10.888
102,1164.676,10.870
103,1174.775,10.851
104,1184.874,10.833
105,1194.973,10.815
106,1205.071,10.798
107,1215.169,10.782
108,1225.167,10.766
109,1235.266,10.752
110,1245.364,10.739
111,1255.463,10.727
112,1265.562,10.717
113,1275.661,10.709
114,1285.759,10.702
115,1295.857,10.697
116,1305.956,10.695
117,1316.055,10.694
118,1326.053,10.695
119,1336.151,10.699
120,1346.251,10.706
121,1356.350,10.716
122,1366.448,10.728
123,1376.546,10.743
124,1386.645,10.761
125,1396.743,10.781
126,1406.842,10.803
127,1416.941,10.827
128,1426.939,10.853
129,1437.037,10.881
130,1447.136,10.911
131,1457.234,10.942
132,1467.333,10.974
133,1477.432,11.008
134,1487.531,11.042
135,1497.629,11.076
136,1507.727,11.111
137,1517.826,11.146
138,1527.924,11.181
139,1537.923,11.215
140,1548.021,11.249
141,1558.120,11.283
142,1568.219,11.315
143,1578.317,11.346
144,1588.416,11.376
145,1598.514,11.404
146,1608.613,11.430
147,1618.712,11.454
148,1628.810,11.476
149,1638.808,11.496
150,1648.907,11.514
151,1659.006,11.529
152,1669.104,11.541
153,1679.203,11.551
154,1689.302,11.558
155,1699.400,11.562
156,1709.499,11.563
157,1719.597,11.562
158,1729.696,11.556
159,1739.694,11.547
160,1749.793,11.535
161,1759.891,11.519
162,1769.990,11.501
163,1780.088,11.479
164,1790.187,11.455
165,1800.286,11.428
166,1810.385,11.399
167,1820.482,11.369
168,1830.581,11.337
169,1840.580,11.303
170,1850.679,11.269
171,1860.777,11.235
172,1870.875,11.201
173,1880.974,11.167
174,1891.073,11.134
175,1901.171,11.102
176,1911.270,11.071
177,1921.368,11.042
178,1931.467,11.016
179,1941.566,10.991
180,1951.564,10.970
181,1961.663,10.951
182,1971.761,10.935
183,1981.859,10.923
184,1991.958,10.914
185,2002.057,10.909
186,2012.156,10.907
187,2022.254,10.906
188,2032.353,10.902
189,2042.451,10.895
190,2052.450,10.885
191,2062.548,10.874
192,2072.647,10.859
193,2082.745,10.843
194,2092.844,10.824
195,2102.942,10.804
196,2113.041,10.782
197,2123.139,10.759
198,2133.238,10.734
199,2143.337,10.709
200,2153.335,10.683
201,2163.434,10.657
202,2173.532,10.631
203,2183.631,10.605
204,2193.729,10.580
205,2203.828,10.556
206,2213.926,10.532
207,2224.025,10.511
208,2234.124,10.490
209,2244.222,10.472
210,2254.221,10.455
211,2264.320,10.441
212,2274.418,10.429
213,2284.517,10.420
214,2294.615,10.413
215,2304.714,10.409
216,2314.812,10.408
217,2324.911,10.408
218,2335.009,10.408
219,2345.108,10.408
220,2355.207,10.408
221,2365.205,10.408
222,2375.303,10.408
223,2385.402,10.408
224,2395.501,10.408
225,2405.600,10.408
226,2415.698,10.408
227,2425.796,10.408
228,2435.895,10.408
229,2445.993,10.408
230,2456.092,10.408
231,2466.091,10.408
232,2476.189,10.408
233,2486.288,10.408
234,2496.386,10.408
235,2506.485,10.408
236,2516.583,10.408
237,2526.682,10.408
238,2536.781,10.408
239,2546.879,10.408
240,2556.978,10.408
241,2566.976,10.408
242,2577.075,10.408

