%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band  DNBLGS
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Wavelength data subsampled to reduce number of data points to less than 1000 to meet LUT limits
%Band   wvl_nm         RSR
 DNBL   342.00350   1.0000000E-10
 DNBL   356.99300   1.0000000E-10
 DNBL   372.00300   1.0000000E-10
 DNBL   386.99600   1.0000000E-10
 DNBL   402.00150   1.0000000E-10
 DNBL   417.00650   1.0000000E-10
 DNBL   432.00700   1.0000000E-10
 DNBL   446.98800   1.0000000E-10
 DNBL   461.98900   1.0000000E-10
 DNBL   477.00100   3.0111390E-05
 DNBL   484.26400   0.0015202
 DNBL   484.54700   0.0015187
 DNBL   484.86500   0.0016531
 DNBL   485.33900   0.0017333
 DNBL   486.07800   0.0019608
 DNBL   486.77200   0.0024862
 DNBL   487.43600   0.0029622
 DNBL   487.90300   0.0034104
 DNBL   488.40500   0.0039144
 DNBL   488.86300   0.0043943
 DNBL   489.37000   0.0053561
 DNBL   489.87500   0.0071791
 DNBL   490.31800   0.0083987
 DNBL   490.60000   0.0095138
 DNBL   491.47800   0.0134156
 DNBL   491.78500   0.0151691
 DNBL   492.16800   0.0180858
 DNBL   492.58400   0.0223342
 DNBL   493.07500   0.0284095
 DNBL   493.66000   0.0388443
 DNBL   494.20500   0.0514343
 DNBL   494.68900   0.0662038
 DNBL   495.11800   0.0837184
 DNBL   495.33300   0.0939256
 DNBL   495.65200   0.1110828
 DNBL   496.14600   0.1440213
 DNBL   496.38500   0.1672105
 DNBL   496.61800   0.1858604
 DNBL   496.84300   0.2065445
 DNBL   497.01000   0.2238723
 DNBL   497.07600   0.2288657
 DNBL   497.35600   0.2584049
 DNBL   497.45800   0.2692248
 DNBL   497.52900   0.2767581
 DNBL   497.73800   0.3004456
 DNBL   497.90500   0.3193974
 DNBL   497.97700   0.3266165
 DNBL   498.20800   0.3537059
 DNBL   498.40900   0.3784361
 DNBL   498.46000   0.3850779
 DNBL   498.71100   0.4149465
 DNBL   498.89000   0.4348839
 DNBL   498.91900   0.4390761
 DNBL   499.15700   0.4641393
 DNBL   499.40600   0.4897092
 DNBL   499.65700   0.5129180
 DNBL   499.88100   0.5321934
 DNBL   499.96500   0.5380402
 DNBL   500.23800   0.5593842
 DNBL   500.34700   0.5668464
 DNBL   500.89200   0.5959829
 DNBL   501.36600   0.6145111
 DNBL   501.85400   0.6280647
 DNBL   502.41800   0.6384180
 DNBL   503.16900   0.6435632
 DNBL   503.92700   0.6457067
 DNBL   504.59600   0.6487629
 DNBL   505.14300   0.6496669
 DNBL   505.17600   0.6448772
 DNBL   505.65100   0.6489194
 DNBL   505.66100   0.6442085
 DNBL   506.21300   0.6449219
 DNBL   506.23600   0.6406301
 DNBL   506.80900   0.6388177
 DNBL   506.81400   0.6439850
 DNBL   507.08500   0.6445308
 DNBL   507.28500   0.6388651
 DNBL   507.35900   0.6456986
 DNBL   507.76900   0.6410317
 DNBL   508.27900   0.6397716
 DNBL   508.78500   0.6374982
 DNBL   509.30300   0.6345992
 DNBL   509.87300   0.6322507
 DNBL   510.40100   0.6301140
 DNBL   510.59900   0.6325554
 DNBL   510.81000   0.6289502
 DNBL   511.80000   0.6209543
 DNBL   513.20300   0.6167281
 DNBL   514.13400   0.6229231
 DNBL   514.92300   0.6261760
 DNBL   516.17400   0.6365612
 DNBL   517.23500   0.6473593
 DNBL   518.20700   0.6492697
 DNBL   519.25900   0.6535996
 DNBL   520.38500   0.6546985
 DNBL   521.22300   0.6478108
 DNBL   522.01600   0.6446257
 DNBL   522.41300   0.6466664
 DNBL   523.95200   0.6420335
 DNBL   525.39200   0.6527780
 DNBL   534.80400   0.6980614
 DNBL   534.98100   0.7032392
 DNBL   535.15000   0.7054119
 DNBL   535.88200   0.7068734
 DNBL   536.43100   0.7081016
 DNBL   536.91000   0.7067599
 DNBL   537.36800   0.7057305
 DNBL   538.45700   0.7080015
 DNBL   538.95700   0.7099281
 DNBL   539.32100   0.7075653
 DNBL   539.75200   0.7041667
 DNBL   540.15000   0.7002397
 DNBL   540.54200   0.6975334
 DNBL   541.06800   0.6974231
 DNBL   541.57600   0.7010174
 DNBL   542.07500   0.7050717
 DNBL   542.56600   0.7072284
 DNBL   542.99700   0.7071832
 DNBL   543.53000   0.7021444
 DNBL   543.80200   0.7059654
 DNBL   544.02800   0.7020933
 DNBL   544.24100   0.7026602
 DNBL   544.40500   0.7090345
 DNBL   544.75500   0.7115279
 DNBL   544.89500   0.7072403
 DNBL   545.02400   0.7067333
 DNBL   545.55400   0.7175572
 DNBL   545.62300   0.7114424
 DNBL   545.99800   0.7119647
 DNBL   547.55300   0.7061771
 DNBL   548.18200   0.7076041
 DNBL   548.67800   0.7092727
 DNBL   549.16100   0.7119186
 DNBL   549.61000   0.7119273
 DNBL   550.10000   0.7085713
 DNBL   550.56700   0.7049062
 DNBL   550.85100   0.7042905
 DNBL   551.13100   0.7051298
 DNBL   554.16500   0.7115059
 DNBL   560.84700   0.7021612
 DNBL   561.41800   0.7014520
 DNBL   562.13400   0.7043045
 DNBL   562.44800   0.7085073
 DNBL   562.85200   0.7136224
 DNBL   563.33800   0.7179177
 DNBL   563.94500   0.7215157
 DNBL   564.33600   0.7233934
 DNBL   564.90100   0.7258942
 DNBL   565.50600   0.7286845
 DNBL   565.81500   0.7293005
 DNBL   565.91700   0.7302912
 DNBL   566.32900   0.7306952
 DNBL   566.47300   0.7307548
 DNBL   566.86000   0.7302991
 DNBL   567.86700   0.7290213
 DNBL   568.29600   0.7259241
 DNBL   568.82700   0.7268718
 DNBL   569.29600   0.7275634
 DNBL   569.82200   0.7298909
 DNBL   570.82700   0.7333877
 DNBL   571.30100   0.7324583
 DNBL   571.82300   0.7329435
 DNBL   572.29600   0.7324781
 DNBL   572.82000   0.7341449
 DNBL   573.29100   0.7341437
 DNBL   573.82600   0.7353496
 DNBL   574.29000   0.7359600
 DNBL   574.83600   0.7386004
 DNBL   575.28700   0.7393639
 DNBL   575.82900   0.7420315
 DNBL   576.29500   0.7449978
 DNBL   576.87500   0.7481716
 DNBL   577.28900   0.7487179
 DNBL   577.79000   0.7482548
 DNBL   577.92800   0.7496133
