%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band  DNBMGS
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Wavelength data subsampled to reduce number of data points to less than 1000 to meet LUT limits
%Band   wvl_nm         RSR
 DNBM   342.00350   1.0000000E-10
 DNBM   356.99300   1.0000000E-10
 DNBM   372.00300   1.0000000E-10
 DNBM   386.99600   4.2309550E-06
 DNBM   402.00150   1.9744460E-06
 DNBM   417.00650   2.8269050E-06
 DNBM   432.00700   3.4725170E-06
 DNBM   446.98800   5.5159120E-06
 DNBM   461.98900   1.5106080E-05
 DNBM   477.00100   8.3935880E-05
 DNBM   482.06700   0.0013474
 DNBM   482.60300   0.0014015
 DNBM   482.86900   0.0014283
 DNBM   483.23600   0.0014816
 DNBM   483.54600   0.0015132
 DNBM   483.83800   0.0015773
 DNBM   484.10000   0.0016269
 DNBM   484.26400   0.0016421
 DNBM   484.36600   0.0016833
 DNBM   484.54700   0.0017185
 DNBM   484.86500   0.0017846
 DNBM   485.33900   0.0019384
 DNBM   486.07800   0.0022204
 DNBM   486.77200   0.0025690
 DNBM   487.43600   0.0030267
 DNBM   487.90300   0.0034428
 DNBM   488.40500   0.0039757
 DNBM   488.86300   0.0046258
 DNBM   489.37000   0.0054807
 DNBM   489.87500   0.0066167
 DNBM   490.31800   0.0078785
 DNBM   490.60000   0.0088311
 DNBM   491.47800   0.0127475
 DNBM   491.78500   0.0144752
 DNBM   492.16800   0.0172675
 DNBM   492.58400   0.0211939
 DNBM   493.07500   0.0270245
 DNBM   493.66000   0.0367804
 DNBM   494.20500   0.0493932
 DNBM   494.68900   0.0644313
 DNBM   495.11800   0.0825385
 DNBM   495.33300   0.0929425
 DNBM   495.65200   0.1109023
 DNBM   496.14600   0.1455576
 DNBM   496.38500   0.1672538
 DNBM   496.55700   0.1807393
 DNBM   496.61800   0.1881890
 DNBM   496.84300   0.2111464
 DNBM   497.01000   0.2277556
 DNBM   497.07600   0.2369135
 DNBM   497.35600   0.2704033
 DNBM   497.45800   0.2808964
 DNBM   497.52900   0.2924331
 DNBM   497.73800   0.3202638
 DNBM   497.90500   0.3408349
 DNBM   497.97700   0.3522869
 DNBM   498.20800   0.3854774
 DNBM   498.40900   0.4116586
 DNBM   498.46000   0.4224823
 DNBM   498.71100   0.4575840
 DNBM   498.89000   0.4825501
 DNBM   498.91900   0.4869332
 DNBM   499.15700   0.5194561
 DNBM   499.38700   0.5473577
 DNBM   499.40600   0.5522884
 DNBM   499.65700   0.5827044
 DNBM   499.88100   0.6061666
 DNBM   499.96500   0.6158791
 DNBM   500.23800   0.6432879
 DNBM   500.34700   0.6509820
 DNBM   500.89200   0.6893859
 DNBM   501.36600   0.7133227
 DNBM   501.85400   0.7295516
 DNBM   502.41800   0.7417262
 DNBM   503.16900   0.7518193
 DNBM   503.92700   0.7568251
 DNBM   504.59600   0.7583921
