%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band      I1
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Band   wvl_nm         RSR
   I1   346.99400   1.0000000E-10
   I1   352.50300   1.0000000E-10
   I1   357.99950   1.0000000E-10
   I1   363.50500   1.0000000E-10
   I1   369.00400   1.0000000E-10
   I1   374.50300   1.0000000E-10
   I1   380.00650   1.0000000E-10
   I1   385.50050   1.0000000E-10
   I1   391.00150   1.0000000E-10
   I1   396.50900   1.0000000E-10
   I1   402.00150   1.0000000E-10
   I1   407.49750   1.0000000E-10
   I1   412.99450   1.0000000E-10
   I1   418.50900   1.0000000E-10
   I1   424.00000   1.0000000E-10
   I1   429.49050   1.0000000E-10
   I1   434.99800   1.0000000E-10
   I1   440.49300   1.0000000E-10
   I1   445.99400   1.0000000E-10
   I1   451.50300   1.0000000E-10
   I1   456.99800   1.0000000E-10
   I1   462.50950   1.0000000E-10
   I1   467.99300   1.0000000E-10
   I1   473.51050   1.0000000E-10
   I1   478.99400   1.0000000E-10
   I1   484.50100   1.0000000E-10
   I1   490.00500   1.0000000E-10
   I1   495.50500   1.0000000E-10
   I1   501.00050   1.0000000E-10
   I1   506.49450   1.0000000E-10
   I1   512.01050   1.0000000E-10
   I1   517.49350   1.0000000E-10
   I1   523.00050   1.0000000E-10
   I1   528.49650   1.0000000E-10
   I1   534.00900   1.0000000E-10
   I1   539.49750   1.0000000E-10
   I1   544.99850   1.0000000E-10
   I1   550.50500   1.0000000E-10
   I1   556.00850   1.0000000E-10
   I1   561.50250   1.0000000E-10
   I1   563.01000   1.0000000E-10
   I1   569.00350   1.0000000E-10
   I1   574.99050   1.0000000E-10
   I1   580.99450   7.3739150E-05
   I1   586.99950   0.0004616
   I1   587.78100   0.0011110
   I1   588.79600   0.0009184
   I1   588.84800   0.0011110
   I1   589.80100   0.0015072
   I1   589.80400   0.0013201
   I1   589.82100   0.0012358
   I1   590.28700   0.0015417
   I1   590.79100   0.0018759
   I1   590.80800   0.0018635
   I1   591.28600   0.0024664
   I1   591.78600   0.0031899
   I1   592.28600   0.0035712
   I1   592.79400   0.0048825
