#DAWG J2 VIIRS Band Average RSR Release V1 Band I5  
#Based upon VCST August 7, 2018 RSR Analysis                                                        
#Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2018               
#Band     wvl_um        RSR                                                                         
 I5     1804.010    0.1000000E-09 
 I5     1820.000    0.1000000E-09 
 I5     1836.015    0.1000000E-09 
 I5     1852.000    0.1000000E-09 
 I5     1867.985    0.1000000E-09 
 I5     1883.990    0.1000000E-09 
 I5     1900.000    0.1000000E-09 
 I5     1916.010    0.1000000E-09 
 I5     1932.010    0.1000000E-09 
 I5     1948.005    0.1000000E-09 
 I5     1963.995    0.1000000E-09 
 I5     1980.015    0.1000000E-09 
 I5     1995.985    0.1000000E-09 
 I5     2011.980    0.1000000E-09 
 I5     2027.980    0.1000000E-09 
 I5     2043.995    0.1000000E-09 
 I5     2059.995    0.1000000E-09 
 I5     2076.005    0.1000000E-09 
 I5     2092.005    0.1000000E-09 
 I5     2108.000    0.1000000E-09 
 I5     2124.020    0.1000000E-09 
 I5     2140.005    0.1000000E-09 
 I5     2155.995    0.1000000E-09 
 I5     2172.005    0.1000000E-09 
 I5     2188.010    0.1000000E-09 
 I5     2203.995    0.1000000E-09 
 I5     2219.995    0.1000000E-09 
 I5     2235.980    0.1000000E-09 
 I5     2252.005    0.1000000E-09 
 I5     2264.000    0.1000000E-09 
 I5     2280.005    0.1000000E-09 
 I5     2296.000    0.1000000E-09 
 I5     2311.985    0.1000000E-09 
 I5     2327.995    0.1000000E-09 
 I5     2343.995    0.1000000E-09 
 I5     2359.990    0.1000000E-09 
 I5     2375.990    0.1000000E-09 
 I5     2391.995    0.1000000E-09 
 I5     2407.995    0.1000000E-09 
 I5     2424.010    0.1000000E-09 
 I5     2434.000    0.1000000E-09 
 I5     2449.995    0.1000000E-09 
 I5     2465.995    0.1000000E-09 
 I5     2482.010    0.1000000E-09 
 I5     2498.010    0.1000000E-09 
 I5     2514.015    0.1000000E-09 
 I5     2530.000    0.1000000E-09 
 I5     2546.000    0.1000000E-09 
 I5     2562.005    0.1000000E-09 
 I5     2577.995    0.1000000E-09 
 I5     2593.995    0.1000000E-09 
 I5     2610.000    0.1000000E-09 
 I5     2626.005    0.1000000E-09 
 I5     2642.000    0.1000000E-09 
 I5     2658.000    0.1000000E-09 
 I5     2673.990    0.1000000E-09 
 I5     2690.005    0.1000000E-09 
 I5     2706.000    0.1000000E-09 
 I5     2721.995    0.1000000E-09 
 I5     2738.005    0.1000000E-09 
 I5     2754.000    0.1000000E-09 
 I5     2769.995    0.1000000E-09 
 I5     2786.010    0.1000000E-09 
 I5     2801.990    0.1000000E-09 
 I5     2817.995    0.1000000E-09 
 I5     2833.995    0.1000000E-09 
 I5     2850.000    0.1000000E-09 
 I5     2866.005    0.1000000E-09 
 I5     2882.000    0.1000000E-09 
 I5     2898.000    0.1000000E-09 
 I5     2914.000    0.1000000E-09 
 I5     2930.010    0.1000000E-09 
 I5     2956.025    0.1000000E-09 
 I5     3011.985    0.1000000E-09 
 I5     3068.075    0.1000000E-09 
 I5     3124.000    0.1000000E-09 
 I5     3180.010    0.1000000E-09 
 I5     3236.055    0.1000000E-09 
 I5     3291.965    0.1000000E-09 
 I5     3348.065    0.1000000E-09 
 I5     3404.005    0.1000000E-09 
 I5     3460.035    0.1000000E-09 
 I5     3516.105    0.1000000E-09 
 I5     3571.960    0.1000000E-09 
 I5     3628.085    0.1000000E-09 
 I5     3684.080    0.1000000E-09 
 I5     3740.045    0.1000000E-09 
 I5     3795.965    0.1000000E-09 
 I5     3851.950    0.1000000E-09 
 I5     3907.940    0.1000000E-09 
 I5     3964.045    0.1000000E-09 
 I5     4020.015    0.1000000E-09 
 I5     4076.010    0.1000000E-09 
 I5     4132.055    0.1000000E-09 
 I5     4187.960    0.1000000E-09 
 I5     4243.895    0.1000000E-09 
 I5     4300.020    0.1000000E-09 
 I5     4355.960    0.1000000E-09 
 I5     4412.035    0.1000000E-09 
 I5     4467.965    0.1000000E-09 
 I5     4523.990    0.1000000E-09 
 I5     4579.925    0.1000000E-09 
 I5     4636.010    0.1000000E-09 
 I5     4692.100    0.1000000E-09 
 I5     4748.010    0.1000000E-09 
 I5     4804.005    0.1000000E-09 
 I5     4859.965    0.1000000E-09 
 I5     4915.970    0.1000000E-09 
 I5     4971.985    0.1000000E-09 
 I5     5028.100    0.1000000E-09 
 I5     5084.020    0.1000000E-09 
 I5     5140.000    0.1000000E-09 
 I5     5195.950    0.1000000E-09 
 I5     5251.945    0.1000000E-09 
 I5     5308.045    0.1000000E-09 
 I5     5364.050    0.1000000E-09 
 I5     5419.940    0.1000000E-09 
 I5     5476.005    0.1000000E-09 
 I5     5520.050    0.1000000E-09 
 I5     5579.980    0.1000000E-09 
 I5     5640.055    0.1000000E-09 
 I5     5699.905    0.1000000E-09 
 I5     5759.985    0.1000000E-09 
 I5     5819.985    0.1000000E-09 
 I5     5880.045    0.1000000E-09 
 I5     5939.990    0.1000000E-09 
 I5     6000.040    0.1000000E-09 
 I5     6060.050    0.1000000E-09 
 I5     6119.985    0.1000000E-09 
 I5     6180.005    0.1000000E-09 
 I5     6239.980    0.1000000E-09 
 I5     6299.970    0.1000000E-09 
 I5     6360.030    0.1000000E-09 
 I5     6420.030    0.1000000E-09 
 I5     6480.080    0.1000000E-09 
 I5     6539.920    0.1000000E-09 
 I5     6599.975    0.1000000E-09 
 I5     6660.015    0.1000000E-09 
 I5     6720.030    0.1000000E-09 
 I5     6779.970    0.1000000E-09 
 I5     6840.060    0.1000000E-09 
 I5     6900.045    0.1000000E-09 
 I5     6959.975    0.1000000E-09 
 I5     7019.915    0.1000000E-09 
 I5     7079.950    0.1000000E-09 
 I5     7150.115    0.1000000E-09 
 I5     7270.005    0.1000000E-09 
 I5     7390.065    0.1000000E-09 
 I5     7510.190    0.1000000E-09 
 I5     7630.035    0.1000000E-09 
 I5     7750.005    0.1000000E-09 
 I5     7869.835    0.1000000E-09 
 I5     7990.055    0.1000000E-09 
 I5     8109.905    0.1000000E-09 
 I5     8230.015    0.1000000E-09 
 I5     8349.865    0.1000000E-09 
 I5     8469.805    0.1000000E-09 
 I5     8589.840    0.1000000E-09 
 I5     8710.075    0.1000000E-09 
 I5     8830.045    0.1000000E-09 
 I5     8950.060    0.1000000E-09 
 I5     9070.025    0.1000000E-09 
 I5     9189.930    0.1000000E-09 
 I5     9309.870    0.1000000E-09 
 I5     9429.925    0.1000000E-09 
 I5     9550.150    0.1000000E-09 
 I5     9669.980    0.1000000E-09 
 I5     9756.920    0.1000000E-09 
 I5     9852.000    0.1000000E-09 
 I5     9946.905    0.1000000E-09 
 I5    10042.000    0.1000000E-09 
