%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band     M10
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Band   wvl_nm         RSR
  M10  1001.98500   1.0000000E-10
  M10  1013.99000   1.0000000E-10
  M10  1025.99000   1.0000000E-10
  M10  1038.00000   1.0000000E-10
  M10  1050.01500   1.0000000E-10
  M10  1061.98500   1.0000000E-10
  M10  1074.01500   1.0000000E-10
  M10  1086.00000   1.0000000E-10
  M10  1098.01000   1.0000000E-10
  M10  1110.00500   1.0000000E-10
  M10  1122.01000   1.0000000E-10
  M10  1133.98500   1.0000000E-10
  M10  1145.99500   1.0000000E-10
  M10  1157.97500   1.0000000E-10
  M10  1169.99500   1.0000000E-10
  M10  1182.00500   1.0000000E-10
  M10  1194.00000   1.0000000E-10
  M10  1206.00500   1.0000000E-10
  M10  1218.01000   1.0000000E-10
  M10  1229.99000   3.3862840E-07
  M10  1241.64100  -2.3300000E-05
  M10  1242.49300  -2.7700000E-05
  M10  1242.94600  -2.3500000E-05
  M10  1243.37400  -2.6200000E-05
  M10  1244.50700  -2.3600000E-05
  M10  1246.06600  -2.5300000E-05
  M10  1247.74100  -2.8000000E-05
  M10  1248.26300  -2.4900000E-05
  M10  1248.87900  -2.8100000E-05
  M10  1250.24800  -2.5000000E-05
  M10  1250.60700  -1.7900000E-05
  M10  1254.01000   1.0000000E-10
  M10  1265.99000   1.0000000E-10
  M10  1277.99500   1.0000000E-10
  M10  1290.01000   1.0000000E-10
  M10  1302.00500   1.0000000E-10
  M10  1314.00000   3.8879560E-07
  M10  1326.00500   3.5117020E-07
  M10  1337.99500   3.8879560E-07
  M10  1350.00500   4.1387910E-07
  M10  1362.01000   1.0000000E-10
  M10  1373.99000   5.0167160E-07
  M10  1386.00500   4.3896280E-07
  M10  1397.99500   5.2675530E-07
  M10  1410.01000   8.7165450E-07
  M10  1421.99500   1.3419720E-06
  M10  1433.98500   2.0192280E-06
  M10  1446.00000   3.5242440E-06
  M10  1457.99500   8.0204750E-06
  M10  1469.99000   1.7652570E-05
  M10  1470.76500   3.3900000E-05
  M10  1474.00400   3.3700000E-05
  M10  1477.20100   4.0600000E-05
  M10  1478.94500   4.5000000E-05
  M10  1482.05100   5.4500000E-05
  M10  1482.38100   5.2000000E-05
  M10  1484.16500   6.4500000E-05
  M10  1486.10000   6.6600000E-05
  M10  1488.03400   5.8600000E-05
  M10  1489.84400   7.1600000E-05
  M10  1491.69600   7.9100000E-05
  M10  1493.23900   7.9700000E-05
  M10  1494.75100   9.1600000E-05
  M10  1496.38500   0.0001047
  M10  1499.81600   0.0001227
  M10  1500.07100   0.0001349
  M10  1501.59500   0.0001430
  M10  1503.14400   0.0001751
  M10  1504.75300   0.0001726
  M10  1507.67200   0.0002150
  M10  1509.36900   0.0002461
  M10  1510.82100   0.0002699
  M10  1512.39400   0.0003109
  M10  1513.61300   0.0003118
  M10  1513.84100   0.0003103
  M10  1513.95100   0.0003387
  M10  1514.32800   0.0003484
  M10  1515.54000   0.0003826
  M10  1515.75300   0.0003810
  M10  1516.57400   0.0003934
  M10  1517.07300   0.0004293
  M10  1517.22200   0.0004211
  M10  1518.06000   0.0004587
  M10  1518.65800   0.0004972
  M10  1518.71400   0.0004786
  M10  1519.58200   0.0005309
  M10  1520.17900   0.0005578
  M10  1520.31200   0.0005567
  M10  1520.95200   0.0006083
  M10  1521.70800   0.0006521
  M10  1522.53500   0.0006854
  M10  1523.32000   0.0007374
  M10  1524.24200   0.0008246
  M10  1524.98600   0.0008865
  M10  1525.71000   0.0009673
  M10  1526.70800   0.0010606
  M10  1527.37900   0.0011395
  M10  1528.29700   0.0012469
  M10  1529.01800   0.0013808
  M10  1529.86200   0.0015189
  M10  1530.77100   0.0016529
  M10  1531.50900   0.0017803
  M10  1532.40100   0.0019181
  M10  1533.20200   0.0020799
  M10  1534.09700   0.0022482
  M10  1534.97600   0.0024944
  M10  1535.87500   0.0027238
  M10  1536.74700   0.0029484
  M10  1537.65000   0.0032426
  M10  1538.67100   0.0036031
  M10  1539.58700   0.0039740
  M10  1540.46500   0.0043529
  M10  1541.45900   0.0048160
  M10  1542.39300   0.0053138
  M10  1543.27000   0.0057835
  M10  1544.25700   0.0064451
  M10  1545.48200   0.0072638
  M10  1546.75100   0.0082311
  M10  1547.97600   0.0093305
  M10  1549.07800   0.0103905
  M10  1550.34600   0.0116843
  M10  1551.45200   0.0130983
  M10  1552.66900   0.0146669
  M10  1553.80900   0.0163542
  M10  1554.90600   0.0183823
  M10  1555.95100   0.0204912
  M10  1557.07500   0.0230608
  M10  1558.13300   0.0257137
  M10  1559.26200   0.0290337
  M10  1560.28000   0.0326298
  M10  1561.39700   0.0368258
  M10  1562.49400   0.0412869
  M10  1563.48400   0.0465397
  M10  1564.54400   0.0525464
  M10  1565.53600   0.0593827
  M10  1566.65300   0.0675687
  M10  1567.63500   0.0771179
  M10  1568.77200   0.0891533
  M10  1569.85200   0.1028316
  M10  1570.88500   0.1177238
  M10  1571.03200   0.1202161
  M10  1571.10900   0.1215218
  M10  1571.43300   0.1270534
  M10  1571.89400   0.1363006
  M10  1572.05600   0.1397508
  M10  1572.99400   0.1584810
  M10  1573.05200   0.1601514
  M10  1574.01200   0.1832350
  M10  1574.03000   0.1836595
  M10  1575.05200   0.2136764
  M10  1575.12600   0.2150259
  M10  1576.10100   0.2470980
  M10  1577.12600   0.2848138
  M10  1577.17300   0.2870840
  M10  1578.33100   0.3360357
  M10  1579.31600   0.3823358
  M10  1580.41500   0.4379259
  M10  1581.45500   0.4958342
  M10  1582.57900   0.5614502
  M10  1583.60100   0.6195364
  M10  1584.64500   0.6797708
  M10  1585.76900   0.7452958
  M10  1586.83300   0.7943536
  M10  1587.91600   0.8426944
  M10  1588.97000   0.8833178
  M10  1590.04900   0.9166675
  M10  1591.06400   0.9415573
  M10  1592.04200   0.9613721
  M10  1593.00900   0.9747767
  M10  1594.05200   0.9861448
  M10  1594.99600   0.9932439
  M10  1595.96300   0.9973846
  M10  1596.92500   0.9995980
  M10  1597.93000   1.0000000
  M10  1599.05600   0.9984762
  M10  1600.00400   0.9967813
  M10  1600.08300   0.9967395
  M10  1601.03100   0.9946902
  M10  1601.11200   0.9940986
  M10  1601.81800   0.9926042
  M10  1602.61400   0.9911827
  M10  1603.51300   0.9894545
  M10  1604.39800   0.9882442
  M10  1605.21700   0.9874882
  M10  1606.05700   0.9866160
  M10  1606.91700   0.9858156
  M10  1607.82900   0.9852676
  M10  1608.66900   0.9848821
  M10  1609.53400   0.9843217
  M10  1610.42800   0.9837452
  M10  1611.45600   0.9836164
  M10  1612.33100   0.9830975
  M10  1612.94400   0.9793831
  M10  1613.42700   0.9803688
  M10  1613.79500   0.9793832
  M10  1613.84900   0.9796129
  M10  1613.96700   0.9793573
  M10  1614.97200   0.9774191
  M10  1615.04400   0.9772803
  M10  1615.66500   0.9753740
  M10  1615.86000   0.9755659
  M10  1616.79300   0.9738220
  M10  1617.56500   0.9726908
  M10  1618.12400   0.9712108
  M10  1618.42000   0.9712234
  M10  1619.22900   0.9702427
  M10  1619.26800   0.9698515
  M10  1620.11100   0.9690039
  M10  1621.06500   0.9676650
  M10  1621.87600   0.9668337
  M10  1622.91300   0.9656927
  M10  1623.71700   0.9641689
  M10  1624.62600   0.9618508
  M10  1625.54500   0.9585535
  M10  1626.36900   0.9542814
  M10  1627.18000   0.9491920
  M10  1627.99000   0.9439009
  M10  1628.87100   0.9355016
  M10  1629.67000   0.9264232
  M10  1630.53400   0.9153082
  M10  1631.30700   0.9030705
  M10  1632.13800   0.8879625
  M10  1633.03000   0.8724273
  M10  1633.85300   0.8527736
  M10  1634.66400   0.8325530
  M10  1635.44100   0.8116326
  M10  1636.34800   0.7857413
  M10  1637.11900   0.7626061
  M10  1637.94000   0.7358375
  M10  1638.74400   0.7089462
  M10  1639.55500   0.6784682
  M10  1640.39000   0.6524047
  M10  1641.21600   0.6215261
  M10  1642.00800   0.5923948
  M10  1642.80100   0.5652736
  M10  1643.58400   0.5349525
  M10  1644.42700   0.5056117
  M10  1645.32800   0.4778751
  M10  1646.10000   0.4514811
  M10  1646.94200   0.4251471
  M10  1647.73800   0.3983128
  M10  1648.62400   0.3738971
  M10  1649.33500   0.3520503
  M10  1650.26500   0.3279839
  M10  1651.07600   0.3052605
  M10  1651.96900   0.2844403
  M10  1652.73400   0.2664082
  M10  1653.50600   0.2496423
  M10  1654.34700   0.2322207
  M10  1655.15700   0.2151790
  M10  1655.96000   0.2004293
  M10  1656.83200   0.1850255
  M10  1657.60300   0.1721429
  M10  1658.42400   0.1588084
  M10  1659.32800   0.1466386
  M10  1660.12900   0.1356013
  M10  1660.96800   0.1255293
  M10  1661.74200   0.1156792
  M10  1662.57400   0.1069856
  M10  1663.44600   0.0982689
  M10  1664.22700   0.0905464
  M10  1665.13300   0.0833117
  M10  1665.93700   0.0762409
  M10  1666.80300   0.0699977
  M10  1667.61300   0.0643793
  M10  1668.48600   0.0589059
  M10  1669.34500   0.0543266
  M10  1670.20600   0.0500070
  M10  1671.01300   0.0459014
  M10  1671.88900   0.0422708
  M10  1672.75700   0.0385980
  M10  1673.70100   0.0354882
  M10  1674.68700   0.0323129
  M10  1675.59800   0.0295641
  M10  1676.49000   0.0272349
  M10  1677.52300   0.0247593
  M10  1678.40000   0.0227115
  M10  1679.49500   0.0205222
  M10  1680.40800   0.0189300
  M10  1681.40800   0.0172361
  M10  1682.44000   0.0156271
  M10  1683.46200   0.0144268
  M10  1684.46300   0.0132026
  M10  1685.43000   0.0121684
  M10  1686.45000   0.0110890
  M10  1687.47300   0.0102138
  M10  1688.49000   0.0094249
  M10  1689.50800   0.0087246
  M10  1690.53100   0.0080094
  M10  1691.72000   0.0072959
  M10  1692.62400   0.0068488
  M10  1693.63800   0.0062630
  M10  1694.74300   0.0058808
  M10  1695.85700   0.0055101
  M10  1696.81400   0.0051444
  M10  1697.82900   0.0047775
  M10  1699.00400   0.0044428
  M10  1700.04300   0.0040823
  M10  1701.11900   0.0037727
  M10  1702.23400   0.0034732
  M10  1703.24300   0.0032456
  M10  1704.15800   0.0029738
  M10  1705.33100   0.0027854
  M10  1706.31700   0.0024507
  M10  1707.34500   0.0023664
  M10  1708.43300   0.0021771
  M10  1709.33500   0.0020446
  M10  1711.33300   0.0018655
  M10  1711.43200   0.0018514
  M10  1711.75100   0.0018039
  M10  1712.07800   0.0017332
  M10  1715.49100   0.0013610
  M10  1716.27500   0.0012884
  M10  1717.29700   0.0011962
  M10  1717.80200   0.0011104
  M10  1718.18500   0.0011123
  M10  1719.22600   0.0010370
  M10  1720.16900   0.0009801
  M10  1721.23900   0.0009144
  M10  1721.75900   0.0009205
  M10  1721.83800   0.0008834
  M10  1722.12700   0.0009048
  M10  1722.60000   0.0008601
  M10  1722.62500   0.0008295
  M10  1723.06800   0.0008416
  M10  1724.02100   0.0007882
  M10  1724.32100   0.0007740
  M10  1724.59200   0.0007550
  M10  1725.15200   0.0006974
  M10  1726.17000   0.0006366
  M10  1726.46800   0.0006236
  M10  1726.66800   0.0006480
  M10  1727.09100   0.0006176
  M10  1728.16500   0.0005597
  M10  1728.61300   0.0005697
  M10  1728.87600   0.0005403
  M10  1729.14900   0.0005312
  M10  1730.32800   0.0004910
  M10  1730.91700   0.0005005
  M10  1730.92100   0.0005063
  M10  1731.28100   0.0004626
  M10  1732.33800   0.0004531
  M10  1733.06600   0.0004280
  M10  1733.26300   0.0004345
  M10  1733.38900   0.0004276
  M10  1735.29000   0.0004300
  M10  1737.56600   0.0003480
  M10  1739.46900   0.0003309
  M10  1744.15200   0.0002341
  M10  1744.54600   0.0002563
  M10  1746.71500   0.0002146
  M10  1748.91000   0.0001911
  M10  1751.27000   0.0001620
  M10  1753.34500   0.0001373
  M10  1755.56900   0.0001548
  M10  1758.28100   0.0001472
  M10  1770.00000   8.6224820E-05
  M10  1782.01500   5.5315570E-05
  M10  1794.00000   3.2734080E-05
  M10  1805.99000   1.8342370E-05
  M10  1817.98500   1.0610360E-05
  M10  1829.98500   6.3900430E-06
  M10  1841.98500   3.4678050E-06
  M10  1853.98500   2.2700640E-06
  M10  1866.01000   1.4046810E-06
  M10  1878.01000   1.1726580E-06
  M10  1890.00500   1.0974070E-06
  M10  1901.98500   1.0000000E-10
  M10  1914.01500   1.0000000E-10
  M10  1926.00000   1.0000000E-10
  M10  1938.01000   1.0000000E-10
  M10  1950.00000   1.0000000E-10
  M10  1962.00000   1.0000000E-10
  M10  1973.98500   1.0000000E-10
  M10  1985.98000   1.0000000E-10
  M10  1998.01500   1.0000000E-10
  M10  2009.99500   1.0000000E-10
  M10  2022.00000   1.0000000E-10
  M10  2034.00000   1.0000000E-10
  M10  2045.99000   1.0000000E-10
  M10  2058.00500   1.0000000E-10
  M10  2069.99500   1.0000000E-10
  M10  2082.01000   1.0000000E-10
  M10  2093.99000   1.0000000E-10
  M10  2105.99500   4.8912980E-07
  M10  2117.99000   9.2809260E-07
  M10  2129.98000   7.5877840E-07
  M10  2142.00000   1.2290960E-06
  M10  2154.01000   1.6429750E-06
  M10  2166.01500   1.0660520E-06
  M10  2178.00500   1.0000000E-10
