#DAWG J2 VIIRS Band Average RSR Release V1 Band M11                                                                                                                                  
#Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                           
#Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017                                                                                                
#Band     wvl_um        RSR                                                                                                                                                          
 M11      993.985   0.1000000E-09
 M11     1008.995   0.1000000E-09
 M11     1024.010   0.1000000E-09
 M11     1039.010   0.1000000E-09
 M11     1053.980   0.1000000E-09
 M11     1069.015   0.1000000E-09
 M11     1083.995   0.1000000E-09
 M11     1098.995   0.1000000E-09
 M11     1114.015   0.1000000E-09
 M11     1129.015   0.1000000E-09
 M11     1144.010   0.1000000E-09
 M11     1158.995   0.1000000E-09
 M11     1173.980   0.1000000E-09
 M11     1189.010   0.1000000E-09
 M11     1204.015   0.1000000E-09
 M11     1219.010   0.1000000E-09
 M11     1234.000   0.1000000E-09
 M11     1249.015   0.1000000E-09
 M11     1263.980   0.1000000E-09
 M11     1279.010   0.1000000E-09
 M11     1293.995   0.1000000E-09
 M11     1309.005   0.1000000E-09
 M11     1324.015   0.1000000E-09
 M11     1338.985   0.1000000E-09
 M11     1354.015   0.1000000E-09
 M11     1368.990   0.1000000E-09
 M11     1383.995   0.1000000E-09
 M11     1399.010   0.1000000E-09
 M11     1413.985   0.1000000E-09
 M11     1429.000   0.1000000E-09
 M11     1443.990   0.1000000E-09
 M11     1458.990   0.1000000E-09
 M11     1474.015   0.1000000E-09
 M11     1488.980   0.1000000E-09
 M11     1503.995   0.1000000E-09
 M11     1519.005   0.1000000E-09
 M11     1534.015   0.1000000E-09
 M11     1549.000   0.1000000E-09
 M11     1564.000   0.1000000E-09
 M11     1579.000   0.1385227E-06
 M11     1594.000   0.2266736E-06
 M11     1609.005   0.4155682E-06
 M11     1623.995   0.3274174E-06
 M11     1639.010   0.2392665E-06
 M11     1654.015   0.1385228E-06
 M11     1668.995   0.1385227E-06
 M11     1684.005   0.1000000E-09
 M11     1699.000   0.1000000E-09
 M11     1713.995   0.1000000E-09
 M11     1729.010   0.1000000E-09
