#DAWG J2 VIIRS Band Average RSR Release V2 Band M13 with CO2 Correction                                                                                                              
#Based upon CO2 Corrected (UW) VCST August 7, 2018 RSR Analysis (using CO2-interpolated RSO)                                                                                         
#Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017                                                                                                
#Band     wvl_um        RSR                                                                                                                                                          
 M13     1000.010   0.1000000E-09
 M13     1015.995   0.1000000E-09
 M13     1032.000   0.1000000E-09
 M13     1048.015   0.1000000E-09
 M13     1064.000   0.1000000E-09
 M13     1079.995   0.1000000E-09
 M13     1096.000   0.1000000E-09
 M13     1111.995   0.1000000E-09
 M13     1128.000   0.1000000E-09
 M13     1144.010   0.1000000E-09
 M13     1160.010   0.1000000E-09
 M13     1176.005   0.1000000E-09
 M13     1192.005   0.1000000E-09
 M13     1208.005   0.1000000E-09
 M13     1224.000   0.1000000E-09
 M13     1239.990   0.1000000E-09
 M13     1256.005   0.1000000E-09
 M13     1272.010   0.1000000E-09
 M13     1288.000   0.1000000E-09
 M13     1304.000   0.1000000E-09
 M13     1320.015   0.1000000E-09
 M13     1336.005   0.1000000E-09
 M13     1352.010   0.1000000E-09
 M13     1368.000   0.1000000E-09
 M13     1383.995   0.1000000E-09
 M13     1400.020   0.1000000E-09
 M13     1416.000   0.1000000E-09
 M13     1432.005   0.1000000E-09
 M13     1447.990   0.1000000E-09
 M13     1464.005   0.1000000E-09
 M13     1479.985   0.1000000E-09
 M13     1495.990   0.1000000E-09
 M13     1511.985   0.1000000E-09
 M13     1528.015   0.1000000E-09
 M13     1543.995   0.1000000E-09
 M13     1559.995   0.1000000E-09
 M13     1575.980   0.1000000E-09
 M13     1592.005   0.1000000E-09
 M13     1608.010   0.1000000E-09
 M13     1623.995   0.1000000E-09
 M13     1640.005   0.1000000E-09
 M13     1656.005   0.1000000E-09
 M13     1672.000   0.1000000E-09
 M13     1688.010   0.1000000E-09
 M13     1704.000   0.1000000E-09
 M13     1720.010   0.1000000E-09
 M13     1735.985   0.1000000E-09
 M13     1751.995   0.1000000E-09
 M13     1768.010   0.1000000E-09
 M13     1783.995   0.1000000E-09
 M13     1799.995   0.1000000E-09
 M13     1816.000   0.1000000E-09
 M13     1831.990   0.1000000E-09
 M13     1848.000   0.1000000E-09
 M13     1863.995   0.1000000E-09
 M13     1879.980   0.1000000E-09
 M13     1896.005   0.1000000E-09
 M13     1911.995   0.1000000E-09
 M13     1928.010   0.1000000E-09
 M13     1943.995   0.1000000E-09
 M13     1960.005   0.1000000E-09
 M13     1976.000   0.1000000E-09
 M13     1992.010   0.1000000E-09
 M13     2008.000   0.1000000E-09
 M13     2023.990   0.1000000E-09
 M13     2039.995   0.1000000E-09
 M13     2055.980   0.1000000E-09
 M13     2072.005   0.1000000E-09
 M13     2088.000   0.1000000E-09
 M13     2104.000   0.1000000E-09
 M13     2120.005   0.1000000E-09
 M13     2135.990   0.1000000E-09
 M13     2151.995   0.1000000E-09
 M13     2167.985   0.1000000E-09
 M13     2184.005   0.1000000E-09
 M13     2200.000   0.1000000E-09
 M13     2216.000   0.1000000E-09
 M13     2232.005   0.1000000E-09
 M13     2248.005   0.1000000E-09
 M13     2264.000   0.1000000E-09
 M13     2280.005   0.1000000E-09
 M13     2296.000   0.1000000E-09
 M13     2311.985   0.1000000E-09
 M13     2327.995   0.1000000E-09
 M13     2343.995   0.1000000E-09
 M13     2359.990   0.1000000E-09
 M13     2375.990   0.1000000E-09
 M13     2391.995   0.1000000E-09
 M13     2407.995   0.1000000E-09
 M13     2424.010   0.1000000E-09
 M13     2434.000   0.1000000E-09
 M13     2449.995   0.1000000E-09
 M13     2465.995   0.1000000E-09
 M13     2482.010   0.1000000E-09
 M13     2498.010   0.1000000E-09
 M13     2514.015   0.1000000E-09
 M13     2530.000   0.1000000E-09
 M13     2546.000   0.1000000E-09
 M13     2562.005   0.1000000E-09
 M13     2577.995   0.1000000E-09
 M13     2593.995   0.1000000E-09
 M13     2610.000   0.1000000E-09
 M13     2626.005   0.1000000E-09
 M13     2642.000   0.1000000E-09
 M13     2658.000   0.1000000E-09
 M13     2673.990   0.1000000E-09
 M13     2690.005   0.1000000E-09
 M13     2706.000   0.1000000E-09
 M13     2721.995   0.1000000E-09
 M13     2738.005   0.1000000E-09
 M13     2754.000   0.1000000E-09
 M13     2769.995   0.1000000E-09
 M13     2786.010   0.1000000E-09
 M13     2801.990   0.1000000E-09
 M13     2817.995   0.1000000E-09
 M13     2833.995   0.1000000E-09
 M13     2850.000   0.1000000E-09
 M13     2866.005   0.1000000E-09
 M13     2882.000   0.1000000E-09
 M13     2898.000   0.1000000E-09
 M13     2914.000   0.1000000E-09
 M13     2930.010   0.1000000E-09
 M13     2975.965   0.1000000E-09
 M13     3038.020   0.1000000E-09
 M13     3099.995   0.1000000E-09
 M13     3162.075   0.1000000E-09
 M13     3224.020   0.1000000E-09
 M13     3285.955   0.1000000E-09
 M13     3348.065   0.1000000E-09
 M13     3409.975   0.1000000E-09
 M13     3472.065   0.1000000E-09
 M13     3534.030   0.7125000E-06
 M13     3595.950   0.5100000E-05
 M13     3657.975   0.1807500E-04
 M13     3719.970   0.6049375E-04
 M13     3782.030   0.3310063E-03
 M13     3812.345   0.9323000E-03
 M13     3813.000   0.9786846E-03
 M13     3819.990   0.1229967E-02
 M13     3827.595   0.1603413E-02
 M13     3835.175   0.2222368E-02
 M13     3842.825   0.3089556E-02
 M13     3850.450   0.4406469E-02
 M13     3858.050   0.6489968E-02
 M13     3865.530   0.9452449E-02
 M13     3873.210   0.1371949E-01
 M13     3880.780   0.2086684E-01
 M13     3888.355   0.3239476E-01
 M13     3895.940   0.4948622E-01
 M13     3903.540   0.7670700E-01
 M13     3911.165   0.1153096E+00
 M13     3918.820   0.1786948E+00
 M13     3926.395   0.2640801E+00
 M13     3934.000   0.3744357E+00
 M13     3941.640   0.4980627E+00
 M13     3949.190   0.6164586E+00
 M13     3956.775   0.7434402E+00
 M13     3964.375   0.8390771E+00
 M13     3971.990   0.9159258E+00
 M13     3979.610   0.9480351E+00
 M13     3987.235   0.9836029E+00
 M13     3994.855   0.9733463E+00
 M13     4002.350   0.9600255E+00
 M13     4009.935   0.9525189E+00
 M13     4017.500   0.9225196E+00
 M13     4025.255   0.9300147E+00
 M13     4032.760   0.9208705E+00
 M13     4040.345   0.9210457E+00
 M13     4048.000   0.9309980E+00
 M13     4055.630   0.9611635E+00
 M13     4063.225   0.1000000E+01
 M13     4070.795   0.9880209E+00
 M13     4078.450   0.9101410E+00
 M13     4085.985   0.7768457E+00
 M13     4093.620   0.5741006E+00
 M13     4101.150   0.3910989E+00
 M13     4108.795   0.2532043E+00
 M13     4116.450   0.1611643E+00
 M13     4124.025   0.1045224E+00
 M13     4131.625   0.6588587E-01
 M13     4139.145   0.4525102E-01
 M13     4146.810   0.3033567E-01
 M13     4154.395   0.2087441E-01
 M13     4162.005   0.1481387E-01
 M13     4169.540   0.1056624E-01
 M13     4177.205   0.7633206E-02
 M13     4184.885   0.5576082E-02
 M13     4192.355   0.4139075E-02
 M13     4199.940   0.3278263E-02
 M13     4207.640   0.2593919E-02
 M13     4246.930   0.3832937E-03
 M13     4278.010   0.2314500E-03
 M13     4308.985   0.8203124E-04
 M13     4339.960   0.6002500E-04
 M13     4401.985   0.2376875E-04
 M13     4464.005   0.9512500E-05
 M13     4525.975   0.3375000E-05
 M13     4587.960   0.1000000E-09
 M13     4649.975   0.1000000E-09
 M13     4712.060   0.1000000E-09
 M13     4773.965   0.1000000E-09
 M13     4836.050   0.1000000E-09
 M13     4897.960   0.1000000E-09
 M13     4959.970   0.1000000E-09
 M13     5021.915   0.1000000E-09
 M13     5084.020   0.1000000E-09
 M13     5146.060   0.1000000E-09
 M13     5208.030   0.1000000E-09
 M13     5270.010   0.1000000E-09
 M13     5331.965   0.1000000E-09
 M13     5394.040   0.1000000E-09
 M13     5455.985   0.1000000E-09
 M13     5471.055   0.1000000E-09
 M13     5536.050   0.1000000E-09
 M13     5600.930   0.1000000E-09
 M13     5666.005   0.1000000E-09
 M13     5730.975   0.1000000E-09
 M13     5795.955   0.1000000E-09
 M13     5861.070   0.1000000E-09
 M13     5925.925   0.1000000E-09
 M13     5990.995   0.1000000E-09
 M13     6055.955   0.1000000E-09
 M13     6120.995   0.1000000E-09
 M13     6186.000   0.1000000E-09
 M13     6250.990   0.1000000E-09
 M13     6316.025   0.1000000E-09
 M13     6381.005   0.1000000E-09
 M13     6445.975   0.1000000E-09
 M13     6511.090   0.1000000E-09
 M13     6575.965   0.1000000E-09
 M13     6640.950   0.1000000E-09
 M13     6705.975   0.1000000E-09
 M13     6771.005   0.1000000E-09
 M13     6835.940   0.1000000E-09
 M13     6901.020   0.1000000E-09
 M13     6966.015   0.1000000E-09
 M13     7030.935   0.1000000E-09
 M13     7096.020   0.1000000E-09
