#DAWG J2 VIIRS Band Average RSR Release V1 Band M15 
#Based upon VCST August 7, 2018 RSR Analysis                                                        
#Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2018               
#Band     wvl_um        RSR                                                                         
 M15    1799.995    0.1000000E-09 
 M15    1816.000    0.1000000E-09 
 M15    1831.990    0.1000000E-09 
 M15    1848.000    0.1000000E-09 
 M15    1863.995    0.1000000E-09 
 M15    1879.980    0.1000000E-09 
 M15    1896.005    0.1000000E-09 
 M15    1911.995    0.1000000E-09 
 M15    1928.010    0.1000000E-09 
 M15    1943.995    0.1000000E-09 
 M15    1960.005    0.1000000E-09 
 M15    1976.000    0.1000000E-09 
 M15    1992.010    0.1000000E-09 
 M15    2008.000    0.1000000E-09 
 M15    2023.990    0.1000000E-09 
 M15    2039.995    0.1000000E-09 
 M15    2055.980    0.1000000E-09 
 M15    2072.005    0.1000000E-09 
 M15    2088.000    0.1000000E-09 
 M15    2104.000    0.1000000E-09 
 M15    2120.005    0.1000000E-09 
 M15    2135.990    0.1000000E-09 
 M15    2151.995    0.1000000E-09 
 M15    2167.985    0.1000000E-09 
 M15    2184.005    0.1000000E-09 
 M15    2200.000    0.1000000E-09 
 M15    2216.000    0.1000000E-09 
 M15    2232.005    0.1000000E-09 
 M15    2248.005    0.1000000E-09 
 M15    2264.000    0.1000000E-09 
 M15    2280.005    0.1000000E-09 
 M15    2296.000    0.1000000E-09 
 M15    2311.985    0.1000000E-09 
 M15    2327.995    0.1000000E-09 
 M15    2343.995    0.1000000E-09 
 M15    2359.990    0.1000000E-09 
 M15    2375.990    0.1000000E-09 
 M15    2391.995    0.1000000E-09 
 M15    2407.995    0.1000000E-09 
 M15    2424.010    0.1000000E-09 
 M15    2434.000    0.1000000E-09 
 M15    2449.995    0.1000000E-09 
 M15    2465.995    0.1000000E-09 
 M15    2482.010    0.1000000E-09 
 M15    2498.010    0.1000000E-09 
 M15    2514.015    0.1000000E-09 
 M15    2530.000    0.1000000E-09 
 M15    2546.000    0.1000000E-09 
 M15    2562.005    0.1000000E-09 
 M15    2577.995    0.1000000E-09 
 M15    2593.995    0.1000000E-09 
 M15    2610.000    0.1000000E-09 
 M15    2626.005    0.1000000E-09 
 M15    2642.000    0.1000000E-09 
 M15    2658.000    0.1000000E-09 
 M15    2673.990    0.1000000E-09 
 M15    2690.005    0.1000000E-09 
 M15    2706.000    0.1000000E-09 
 M15    2721.995    0.1000000E-09 
 M15    2738.005    0.1000000E-09 
 M15    2754.000    0.1000000E-09 
 M15    2769.995    0.1000000E-09 
 M15    2786.010    0.1000000E-09 
 M15    2801.990    0.1000000E-09 
 M15    2817.995    0.1000000E-09 
 M15    2833.995    0.1000000E-09 
 M15    2850.000    0.1000000E-09 
 M15    2866.005    0.1000000E-09 
 M15    2882.000    0.1000000E-09 
 M15    2898.000    0.1000000E-09 
 M15    2914.000    0.1000000E-09 
 M15    2930.010    0.1000000E-09 
 M15    2964.915    0.1000000E-09 
 M15    3030.005    0.1000000E-09 
 M15    3095.030    0.1000000E-09 
 M15    3159.970    0.1000000E-09 
 M15    3224.995    0.1000000E-09 
 M15    3289.960    0.1000000E-09 
 M15    3354.990    0.1000000E-09 
 M15    3419.930    0.1000000E-09 
 M15    3485.025    0.1000000E-09 
 M15    3550.000    0.1000000E-09 
 M15    3615.080    0.1000000E-09 
 M15    3679.985    0.1000000E-09 
 M15    3744.925    0.1000000E-09 
 M15    3809.935    0.1000000E-09 
 M15    3875.020    0.1000000E-09 
 M15    3940.000    0.1000000E-09 
 M15    4004.990    0.1000000E-09 
 M15    4070.050    0.1000000E-09 
 M15    4135.060    0.1000000E-09 
 M15    4199.940    0.1000000E-09 
 M15    4265.000    0.1000000E-09 
 M15    4329.995    0.1000000E-09 
 M15    4395.000    0.1000000E-09 
 M15    4459.925    0.1000000E-09 
 M15    4525.035    0.1000000E-09 
 M15    4590.005    0.1000000E-09 
 M15    4655.050    0.1000000E-09 
 M15    4720.000    0.1000000E-09 
 M15    4785.050    0.1000000E-09 
 M15    4849.960    0.1000000E-09 
 M15    4915.035    0.1000000E-09 
 M15    4979.995    0.1000000E-09 
 M15    5044.985    0.1000000E-09 
 M15    5109.990    0.1000000E-09 
 M15    5174.995    0.1000000E-09 
 M15    5240.055    0.1000000E-09 
 M15    5305.020    0.1000000E-09 
