#DAWG J2 VIIRS Band Average RSR Release V1 Band M16A                                                                                                                                 
#Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                           
#Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017                                                                                                
#Band     wvl_um        RSR                                                                                                                                                          
 M16A    1799.995   0.1000000E-09
 M16A    1816.000   0.1000000E-09
 M16A    1831.990   0.1000000E-09
 M16A    1848.000   0.1000000E-09
 M16A    1863.995   0.1000000E-09
 M16A    1879.980   0.1000000E-09
 M16A    1896.005   0.1000000E-09
 M16A    1911.995   0.1000000E-09
 M16A    1928.010   0.1000000E-09
 M16A    1943.995   0.1000000E-09
 M16A    1960.005   0.1000000E-09
 M16A    1976.000   0.1000000E-09
 M16A    1992.010   0.1000000E-09
 M16A    2008.000   0.1000000E-09
 M16A    2023.990   0.1000000E-09
 M16A    2039.995   0.1000000E-09
 M16A    2055.980   0.1000000E-09
 M16A    2072.005   0.1000000E-09
 M16A    2088.000   0.1000000E-09
 M16A    2104.000   0.1000000E-09
 M16A    2120.005   0.1000000E-09
 M16A    2135.990   0.1000000E-09
 M16A    2151.995   0.1000000E-09
 M16A    2167.985   0.1000000E-09
 M16A    2184.005   0.1000000E-09
 M16A    2200.000   0.1000000E-09
 M16A    2216.000   0.1000000E-09
 M16A    2232.005   0.1000000E-09
 M16A    2248.005   0.1000000E-09
 M16A    2264.000   0.1000000E-09
 M16A    2280.005   0.1000000E-09
 M16A    2296.000   0.1000000E-09
 M16A    2311.985   0.1000000E-09
 M16A    2327.995   0.1000000E-09
 M16A    2343.995   0.1000000E-09
 M16A    2359.990   0.1000000E-09
 M16A    2375.990   0.1000000E-09
 M16A    2391.995   0.1000000E-09
 M16A    2407.995   0.1000000E-09
 M16A    2424.010   0.1000000E-09
 M16A    2434.000   0.1000000E-09
 M16A    2449.995   0.1000000E-09
 M16A    2465.995   0.1000000E-09
 M16A    2482.010   0.1000000E-09
 M16A    2498.010   0.1000000E-09
 M16A    2514.015   0.1000000E-09
 M16A    2530.000   0.1000000E-09
 M16A    2546.000   0.1000000E-09
 M16A    2562.005   0.1000000E-09
 M16A    2577.995   0.1000000E-09
 M16A    2593.995   0.1000000E-09
 M16A    2610.000   0.1000000E-09
 M16A    2626.005   0.1000000E-09
 M16A    2642.000   0.1000000E-09
 M16A    2658.000   0.1000000E-09
 M16A    2673.990   0.1000000E-09
 M16A    2690.005   0.1000000E-09
 M16A    2706.000   0.1000000E-09
 M16A    2721.995   0.1000000E-09
 M16A    2738.005   0.1000000E-09
 M16A    2754.000   0.1000000E-09
 M16A    2769.995   0.1000000E-09
 M16A    2786.010   0.1000000E-09
 M16A    2801.990   0.1000000E-09
 M16A    2817.995   0.1000000E-09
 M16A    2833.995   0.1000000E-09
 M16A    2850.000   0.1000000E-09
 M16A    2866.005   0.1000000E-09
 M16A    2882.000   0.1000000E-09
 M16A    2898.000   0.1000000E-09
 M16A    2914.000   0.1000000E-09
 M16A    2930.010   0.1000000E-09
