#DAWG J2 VIIRS Band Average RSR Release V1 Band M16B                                                                                                                                 
#Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                           
#Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017                                                                                                
#Band     wvl_um        RSR                                                                                                                                                          
 M16B    1799.995   0.1000000E-09
 M16B    1816.000   0.1000000E-09
 M16B    1831.990   0.1000000E-09
 M16B    1848.000   0.1000000E-09
 M16B    1863.995   0.1000000E-09
 M16B    1879.980   0.1000000E-09
 M16B    1896.005   0.1000000E-09
 M16B    1911.995   0.1000000E-09
 M16B    1928.010   0.1000000E-09
 M16B    1943.995   0.1000000E-09
 M16B    1960.005   0.1000000E-09
 M16B    1976.000   0.1000000E-09
 M16B    1992.010   0.1000000E-09
 M16B    2008.000   0.1000000E-09
 M16B    2023.990   0.1000000E-09
 M16B    2039.995   0.1000000E-09
 M16B    2055.980   0.1000000E-09
 M16B    2072.005   0.1000000E-09
 M16B    2088.000   0.1000000E-09
 M16B    2104.000   0.1000000E-09
 M16B    2120.005   0.1000000E-09
 M16B    2135.990   0.1000000E-09
 M16B    2151.995   0.1000000E-09
 M16B    2167.985   0.1000000E-09
 M16B    2184.005   0.1000000E-09
 M16B    2200.000   0.1000000E-09
 M16B    2216.000   0.1000000E-09
 M16B    2232.005   0.1000000E-09
 M16B    2248.005   0.1000000E-09
 M16B    2264.000   0.1000000E-09
 M16B    2280.005   0.1000000E-09
 M16B    2296.000   0.1000000E-09
 M16B    2311.985   0.1000000E-09
 M16B    2327.995   0.1000000E-09
 M16B    2343.995   0.1000000E-09
 M16B    2359.990   0.1000000E-09
 M16B    2375.990   0.1000000E-09
 M16B    2391.995   0.1000000E-09
 M16B    2407.995   0.1000000E-09
 M16B    2424.010   0.1000000E-09
 M16B    2434.000   0.1000000E-09
 M16B    2449.995   0.1000000E-09
 M16B    2465.995   0.1000000E-09
 M16B    2482.010   0.1000000E-09
 M16B    2498.010   0.1000000E-09
 M16B    2514.015   0.1000000E-09
 M16B    2530.000   0.1000000E-09
 M16B    2546.000   0.1000000E-09
 M16B    2562.005   0.1000000E-09
 M16B    2577.995   0.1000000E-09
 M16B    2593.995   0.1000000E-09
 M16B    2610.000   0.1000000E-09
 M16B    2626.005   0.1000000E-09
 M16B    2642.000   0.1000000E-09
 M16B    2658.000   0.1000000E-09
 M16B    2673.990   0.1000000E-09
 M16B    2690.005   0.1000000E-09
 M16B    2706.000   0.1000000E-09
 M16B    2721.995   0.1000000E-09
 M16B    2738.005   0.1000000E-09
 M16B    2754.000   0.1000000E-09
 M16B    2769.995   0.1000000E-09
 M16B    2786.010   0.1000000E-09
 M16B    2801.990   0.1000000E-09
 M16B    2817.995   0.1000000E-09
 M16B    2833.995   0.1000000E-09
 M16B    2850.000   0.1000000E-09
 M16B    2866.005   0.1000000E-09
 M16B    2882.000   0.1000000E-09
 M16B    2898.000   0.1000000E-09
 M16B    2914.000   0.1000000E-09
 M16B    2930.010   0.1000000E-09
 M16B    2964.915   0.1000000E-09
 M16B    3030.005   0.1000000E-09
 M16B    3095.030   0.1000000E-09
 M16B    3159.970   0.1000000E-09
 M16B    3224.995   0.1000000E-09
 M16B    3289.960   0.1000000E-09
 M16B    3354.990   0.1000000E-09
 M16B    3419.930   0.1000000E-09
 M16B    3485.025   0.1000000E-09
 M16B    3550.000   0.1000000E-09
 M16B    3615.080   0.1000000E-09
 M16B    3679.985   0.1000000E-09
 M16B    3744.925   0.1000000E-09
 M16B    3809.935   0.1000000E-09
 M16B    3875.020   0.1000000E-09
 M16B    3940.000   0.1000000E-09
 M16B    4004.990   0.1000000E-09
 M16B    4070.050   0.1000000E-09
 M16B    4135.060   0.1000000E-09
 M16B    4199.940   0.1000000E-09
 M16B    4265.000   0.1000000E-09
 M16B    4329.995   0.1000000E-09
 M16B    4395.000   0.1000000E-09
 M16B    4459.925   0.1000000E-09
 M16B    4525.035   0.1000000E-09
 M16B    4590.005   0.1000000E-09
 M16B    4655.050   0.1000000E-09
 M16B    4720.000   0.1000000E-09
 M16B    4785.050   0.1000000E-09
 M16B    4849.960   0.1000000E-09
 M16B    4915.035   0.1000000E-09
 M16B    4979.995   0.1000000E-09
 M16B    5044.985   0.1000000E-09
 M16B    5109.990   0.1000000E-09
 M16B    5174.995   0.1000000E-09
 M16B    5240.055   0.1000000E-09
 M16B    5305.020   0.1000000E-09
 M16B    5370.055   0.1000000E-09
 M16B    5434.965   0.1000000E-09
 M16B    5447.980   0.1000000E-09
 M16B    5512.920   0.1000000E-09
 M16B    5577.965   0.1000000E-09
 M16B    5642.960   0.1000000E-09
 M16B    5708.085   0.1000000E-09
 M16B    5773.015   0.1000000E-09
 M16B    5837.965   0.1000000E-09
 M16B    5903.000   0.1000000E-09
 M16B    5968.070   0.1000000E-09
 M16B    6033.045   0.1000000E-09
 M16B    6098.010   0.1000000E-09
 M16B    6162.985   0.1000000E-09
 M16B    6228.045   0.1000000E-09
 M16B    6292.970   0.1000000E-09
 M16B    6357.970   0.1000000E-09
 M16B    6422.995   0.1000000E-09
 M16B    6488.040   0.1000000E-09
 M16B    6552.970   0.1000000E-09
 M16B    6618.045   0.1000000E-09
 M16B    6682.950   0.1000000E-09
 M16B    6748.040   0.1000000E-09
 M16B    6813.060   0.1000000E-09
 M16B    6878.035   0.1000000E-09
 M16B    6943.020   0.1000000E-09
 M16B    7007.910   0.1000000E-09
 M16B    7073.045   0.1000000E-09
 M16B    7138.100   0.1000000E-09
 M16B    7268.010   0.1000000E-09
 M16B    7398.135   0.1000000E-09
 M16B    7528.110   0.1000000E-09
 M16B    7658.100   0.1000000E-09
 M16B    7787.900   0.3266229E-03
 M16B    7917.930   0.1392959E-04
 M16B    8048.005   0.1028550E-03
 M16B    8178.165   0.1000000E-09
 M16B    8308.000   0.1000000E-09
 M16B    8438.165   0.1000000E-09
 M16B    8568.075   0.1000000E-09
 M16B    8697.885   0.1000000E-09
 M16B    8827.920   0.1000000E-09
 M16B    8958.035   0.1000000E-09
 M16B    9088.045   0.1000000E-09
 M16B    9218.155   0.1000000E-09
 M16B    9348.005   0.1000000E-09
 M16B    9477.990   0.1000000E-09
