#DAWG J2 VIIRS Band Average RSR Release V1 Band M16                                                                                                                                  
#Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                         
#Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017                                                                                                
#Band     wvl_um        RSR                                                                                                                                                          
  M16    1799.995   0.1000000E-09
  M16    1816.000   0.1000000E-09
  M16    1831.990   0.1000000E-09
  M16    1848.000   0.1000000E-09
  M16    1863.995   0.1000000E-09
  M16    1879.980   0.1000000E-09
  M16    1896.005   0.1000000E-09
  M16    1911.995   0.1000000E-09
  M16    1928.010   0.1000000E-09
  M16    1943.995   0.1000000E-09
  M16    1960.005   0.1000000E-09
  M16    1976.000   0.1000000E-09
  M16    1992.010   0.1000000E-09
  M16    2008.000   0.1000000E-09
  M16    2023.990   0.1000000E-09
  M16    2039.995   0.1000000E-09
  M16    2055.980   0.1000000E-09
  M16    2072.005   0.1000000E-09
  M16    2088.000   0.1000000E-09
  M16    2104.000   0.1000000E-09
  M16    2120.005   0.1000000E-09
  M16    2135.990   0.1000000E-09
  M16    2151.995   0.1000000E-09
  M16    2167.985   0.1000000E-09
  M16    2184.005   0.1000000E-09
  M16    2200.000   0.1000000E-09
  M16    2216.000   0.1000000E-09
  M16    2232.005   0.1000000E-09
  M16    2248.005   0.1000000E-09
  M16    2264.000   0.1000000E-09
  M16    2280.005   0.1000000E-09
  M16    2296.000   0.1000000E-09
  M16    2311.985   0.1000000E-09
  M16    2327.995   0.1000000E-09
  M16    2343.995   0.1000000E-09
  M16    2359.990   0.1000000E-09
  M16    2375.990   0.1000000E-09
  M16    2391.995   0.1000000E-09
  M16    2407.995   0.1000000E-09
  M16    2424.010   0.1000000E-09
  M16    2434.000   0.1000000E-09
  M16    2449.995   0.1000000E-09
  M16    2465.995   0.1000000E-09
  M16    2482.010   0.1000000E-09
  M16    2498.010   0.1000000E-09
  M16    2514.015   0.1000000E-09
  M16    2530.000   0.1000000E-09
  M16    2546.000   0.1000000E-09
  M16    2562.005   0.1000000E-09
  M16    2577.995   0.1000000E-09
  M16    2593.995   0.1000000E-09
  M16    2610.000   0.1000000E-09
  M16    2626.005   0.1000000E-09
  M16    2642.000   0.1000000E-09
  M16    2658.000   0.1000000E-09
  M16    2673.990   0.1000000E-09
  M16    2690.005   0.1000000E-09
  M16    2706.000   0.1000000E-09
  M16    2721.995   0.1000000E-09
  M16    2738.005   0.1000000E-09
  M16    2754.000   0.1000000E-09
  M16    2769.995   0.1000000E-09
  M16    2786.010   0.1000000E-09
  M16    2801.990   0.1000000E-09
  M16    2817.995   0.1000000E-09
  M16    2833.995   0.1000000E-09
  M16    2850.000   0.1000000E-09
  M16    2866.005   0.1000000E-09
  M16    2882.000   0.1000000E-09
  M16    2898.000   0.1000000E-09
  M16    2914.000   0.1000000E-09
  M16    2930.010   0.1000000E-09
  M16    2964.915   0.1000000E-09
  M16    3030.005   0.1000000E-09
  M16    3095.030   0.1000000E-09
  M16    3159.970   0.1000000E-09
  M16    3224.995   0.1000000E-09
  M16    3289.960   0.1000000E-09
  M16    3354.990   0.1000000E-09
  M16    3419.930   0.1000000E-09
  M16    3485.025   0.1000000E-09
  M16    3550.000   0.1000000E-09
  M16    3615.080   0.1000000E-09
  M16    3679.985   0.1000000E-09
  M16    3744.925   0.1000000E-09
  M16    3809.935   0.1000000E-09
  M16    3875.020   0.1000000E-09
  M16    3940.000   0.1000000E-09
  M16    4004.990   0.1000000E-09
  M16    4070.050   0.1000000E-09
  M16    4135.060   0.1000000E-09
  M16    4199.940   0.1000000E-09
  M16    4265.000   0.1000000E-09
  M16    4329.995   0.1000000E-09
  M16    4395.000   0.1000000E-09
  M16    4459.925   0.1000000E-09
  M16    4525.035   0.1000000E-09
  M16    4590.005   0.1000000E-09
  M16    4655.050   0.1000000E-09
  M16    4720.000   0.1000000E-09
  M16    4785.050   0.1000000E-09
  M16    4849.960   0.1000000E-09
  M16    4915.035   0.1000000E-09
  M16    4979.995   0.1000000E-09
  M16    5044.985   0.1000000E-09
  M16    5109.990   0.1000000E-09
  M16    5174.995   0.1000000E-09
  M16    5240.055   0.1000000E-09
  M16    5305.020   0.1000000E-09
  M16    5370.055   0.1000000E-09
  M16    5434.965   0.1000000E-09
  M16    5447.980   0.1000000E-09
  M16    5512.920   0.1000000E-09
  M16    5577.965   0.1000000E-09
  M16    5642.960   0.1000000E-09
  M16    5708.085   0.1000000E-09
  M16    5773.015   0.1000000E-09
  M16    5837.965   0.1000000E-09
  M16    5903.000   0.1000000E-09
  M16    5968.070   0.1000000E-09
  M16    6033.045   0.1000000E-09
  M16    6098.010   0.1000000E-09
  M16    6162.985   0.1000000E-09
  M16    6228.045   0.1000000E-09
  M16    6292.970   0.1000000E-09
  M16    6357.970   0.1000000E-09
  M16    6422.995   0.1000000E-09
  M16    6488.040   0.1000000E-09
  M16    6552.970   0.1000000E-09
  M16    6618.045   0.1000000E-09
  M16    6682.950   0.1000000E-09
  M16    6748.040   0.1000000E-09
  M16    6813.060   0.1000000E-09
  M16    6878.035   0.1000000E-09
  M16    6943.020   0.1000000E-09
  M16    7007.910   0.1000000E-09
  M16    7073.045   0.1000000E-09
  M16    7138.100   0.1000000E-09
  M16    7268.010   0.1000000E-09
  M16    7398.135   0.1000000E-09
  M16    7528.110   0.1000000E-09
  M16    7658.100   0.1000000E-09
  M16    7787.900   0.3254142E-03
  M16    7917.930   0.1352673E-04
  M16    8048.005   0.1046793E-03
  M16    8178.165   0.1000000E-09
