%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band      M6
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Band   wvl_nm         RSR
   M6   348.99750   1.0000000E-10
   M6   354.50350   1.0000000E-10
   M6   359.99500   1.0000000E-10
   M6   365.49350   1.0000000E-10
   M6   371.01100   1.0000000E-10
   M6   376.49950   1.0000000E-10
   M6   382.00100   1.0000000E-10
   M6   387.50350   1.0000000E-10
   M6   392.99650   1.0000000E-10
   M6   398.49450   1.0000000E-10
   M6   404.00400   1.0000000E-10
   M6   409.49750   1.0000000E-10
   M6   415.00150   1.0000000E-10
   M6   420.50750   1.0000000E-10
   M6   426.00300   1.0000000E-10
   M6   431.49650   1.0000000E-10
   M6   437.00050   1.0000000E-10
   M6   442.50350   1.0000000E-10
   M6   448.01100   1.0000000E-10
   M6   453.49750   1.0000000E-10
   M6   459.00900   1.0000000E-10
   M6   464.50300   1.0000000E-10
   M6   470.00800   1.0000000E-10
   M6   475.50450   1.0000000E-10
   M6   480.99200   1.0000000E-10
   M6   486.49950   1.0000000E-10
   M6   491.99850   1.0000000E-10
   M6   497.49300   1.0000000E-10
   M6   502.99650   1.0000000E-10
   M6   508.50900   1.0000000E-10
   M6   514.01050   1.0000000E-10
   M6   519.50100   1.0000000E-10
   M6   525.00400   1.0000000E-10
   M6   530.49850   1.0000000E-10
   M6   536.00050   1.0000000E-10
   M6   541.49900   1.0000000E-10
   M6   547.00550   1.0000000E-10
   M6   552.51000   1.0000000E-10
   M6   557.99900   1.0000000E-10
   M6   563.50800   1.0000000E-10
   M6   569.00350   1.0000000E-10
   M6   574.50150   1.0000000E-10
   M6   580.00450   1.0000000E-10
   M6   585.49250   1.0000000E-10
   M6   590.99900   1.0000000E-10
   M6   596.49650   1.0000000E-10
   M6   602.00350   1.0000000E-10
   M6   607.49850   1.0000000E-10
   M6   613.00150   1.0000000E-10
   M6   618.50050   1.0000000E-10
   M6   624.00100   1.0000000E-10
   M6   629.50400   1.0000000E-10
   M6   635.00850   1.0000000E-10
   M6   640.49200   1.0000000E-10
   M6   646.00000   1.0000000E-10
   M6   651.49900   1.0000000E-10
   M6   657.00200   1.0000000E-10
   M6   659.23400   3.0200000E-05
   M6   661.28400   4.2300000E-05
   M6   662.28400   6.1000000E-05
   M6   662.79500   5.7000000E-05
   M6   663.31900   5.9600000E-05
   M6   664.30100   6.5800000E-05
   M6   664.78800   6.9600000E-05
   M6   665.35700   6.4100000E-05
   M6   666.81800   6.9700000E-05
   M6   667.29900   6.8500000E-05
   M6   667.78400   6.5100000E-05
   M6   668.29500   6.6700000E-05
   M6   668.78400   6.4200000E-05
   M6   669.28800   6.5800000E-05
   M6   669.75900   5.9900000E-05
   M6   670.76800   6.5800000E-05
   M6   671.28600   6.0900000E-05
   M6   672.31500   6.9400000E-05
   M6   672.86300   7.4700000E-05
   M6   673.27000   7.0600000E-05
   M6   673.80400   7.4900000E-05
   M6   674.28300   7.8700000E-05
   M6   674.77300   6.0500000E-05
   M6   679.56200   5.4700000E-05
   M6   679.82800   6.0200000E-05
   M6   680.23000   6.1100000E-05
   M6   680.60600   4.9400000E-05
   M6   680.63400   5.6200000E-05
   M6   681.08800   5.0000000E-05
   M6   681.75000   4.8700000E-05
   M6   681.83900   4.6600000E-05
   M6   682.23100   4.5800000E-05
   M6   682.54900   4.0300000E-05
   M6   682.57600   4.0000000E-05
   M6   683.25000   3.6400000E-05
   M6   683.70800   3.4100000E-05
   M6   683.81400   3.1700000E-05
   M6   684.13400   3.0500000E-05
   M6   684.75500   2.6100000E-05
   M6   684.79900   2.7600000E-05
   M6   685.23000   2.2400000E-05
   M6   685.61600   2.2100000E-05
   M6   685.65100   2.3600000E-05
   M6   686.40700   2.1800000E-05
   M6   686.70500   1.8300000E-05
   M6   686.74300   2.1600000E-05
   M6   687.18700   1.7700000E-05
   M6   687.57800   1.6500000E-05
   M6   687.58800   1.7900000E-05
   M6   688.27700   1.6600000E-05
   M6   688.68400   1.3300000E-05
   M6   688.75600   1.4900000E-05
   M6   689.15400   1.6200000E-05
   M6   689.59200   1.2300000E-05
   M6   690.24500   1.4200000E-05
