%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band      M9
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Band   wvl_nm         RSR
   M9   989.99800   1.0000000E-10
   M9  1004.99000   1.0000000E-10
   M9  1019.98500   1.0000000E-10
   M9  1035.02000   1.0000000E-10
   M9  1050.01500   1.0000000E-10
   M9  1064.98500   1.0000000E-10
   M9  1079.99500   1.0000000E-10
   M9  1094.99500   1.0000000E-10
   M9  1110.00500   1.0000000E-10
   M9  1124.98500   1.0000000E-10
   M9  1139.99500   1.0000000E-10
   M9  1154.99000   2.0405080E-06
   M9  1169.99500   5.1325650E-07
   M9  1184.99500   6.9790380E-06
   M9  1200.00000   1.6899910E-06
   M9  1215.00500   8.5125480E-07
   M9  1228.08700   1.3200000E-05
   M9  1228.15200   1.4800000E-05
   M9  1228.21600   1.2800000E-05
   M9  1229.14100   2.6500000E-05
   M9  1229.21700   3.0600000E-05
   M9  1229.24800   3.0500000E-05
   M9  1230.71000   7.0200000E-05
   M9  1231.45200   7.7300000E-05
   M9  1231.63600   7.9200000E-05
   M9  1231.90600   8.4800000E-05
   M9  1231.91800   8.9500000E-05
   M9  1231.93700   9.1400000E-05
   M9  1232.14300   9.2700000E-05
   M9  1232.76300   9.5100000E-05
   M9  1233.22600   9.9900000E-05
   M9  1233.30100   0.0001111
   M9  1233.44900   0.0001058
   M9  1233.97900   0.0001091
   M9  1234.01400   0.0001104
   M9  1234.84100   0.0001118
   M9  1235.14000   0.0001229
   M9  1235.51000   0.0001171
   M9  1236.58300   0.0001299
   M9  1236.58600   0.0001288
   M9  1236.69500   0.0001277
   M9  1236.73200   0.0001200
   M9  1236.73600   0.0001160
   M9  1236.75600   0.0001290
   M9  1236.81400   0.0001306
   M9  1236.92600   0.0001299
   M9  1236.98900   0.0001295
   M9  1237.00900   0.0001284
   M9  1237.04200   0.0001276
   M9  1237.09000   0.0001271
   M9  1237.19100   0.0001266
   M9  1237.68500   0.0001277
   M9  1237.73400   0.0001312
   M9  1237.73500   0.0001294
   M9  1237.73700   0.0001325
   M9  1237.80200   0.0001335
   M9  1238.30800   0.0001341
   M9  1238.34800   0.0001313
   M9  1238.96400   0.0001330
   M9  1239.17100   0.0001319
   M9  1239.97200   0.0001299
   M9  1240.31600   0.0001323
   M9  1240.50500   0.0001285
   M9  1240.76600   0.0001322
   M9  1240.97900   0.0001312
   M9  1241.03400   0.0001259
   M9  1241.09100   0.0001288
   M9  1241.24100   0.0001251
   M9  1241.35200   0.0001270
   M9  1241.44200   0.0001282
   M9  1241.64100   0.0001225
   M9  1241.76600   0.0001247
   M9  1241.79000   0.0001261
   M9  1242.49300   0.0001193
   M9  1242.94600   0.0001146
   M9  1243.04600   0.0001192
   M9  1243.37400   0.0001158
   M9  1243.78800   0.0001152
   M9  1244.06900   0.0001149
   M9  1244.41100   0.0001150
   M9  1244.50700   0.0001143
   M9  1244.52300   0.0001166
   M9  1245.02700   0.0001133
   M9  1245.55100   0.0001170
   M9  1245.91500   0.0001164
   M9  1246.06600   0.0001172
   M9  1246.65100   0.0001170
   M9  1247.12400   0.0001186
   M9  1247.29200   0.0001189
   M9  1247.74100   0.0001158
   M9  1248.26300   0.0001157
   M9  1248.34100   0.0001216
   M9  1248.87900   0.0001177
   M9  1249.33100   0.0001188
   M9  1249.48700   0.0001153
   M9  1250.03800   0.0001105
   M9  1250.24800   0.0001124
   M9  1250.60700   0.0001022
   M9  1251.17500   8.1500000E-05
   M9  1251.25200   7.7600000E-05
   M9  1251.70100   5.8800000E-05
