%DAWG J2 VIIRS RSR Release V1 Band I4 
%Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                           
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017            
%Detector numbering given in "Sensor" order (1st detector in along track direction is assigned #1)
%Bnd    det    SS         wvl_nm             RSR              SNR     SNR_Thresh  QF      UAID                              
 I4      1     0      1000.0100000       -0.0000003        0.0051983     0.040     1     4402769.0
 I4      1     0      1013.9900000        0.0000000        0.0087078     0.040     1     4402769.0
 I4      1     0      1028.0200000        0.0000013        0.0098203     0.040     1     4402769.0
 I4      1     0      1042.0050000       -0.0000002       -0.0042974     0.040     1     4402769.0
 I4      1     0      1056.0050000        0.0000013        0.0074398     0.040     1     4402769.0
 I4      1     0      1069.9950000        0.0000013       -0.0157829     0.040     1     4402769.0
 I4      1     0      1083.9950000        0.0000005       -0.0042158     0.040     1     4402769.0
 I4      1     0      1098.0100000        0.0000000        0.0012688     0.040     1     4402769.0
 I4      1     0      1111.9950000       -0.0000007       -0.0003006     0.040     1     4402769.0
 I4      1     0      1126.0150000        0.0000004       -0.0035229     0.040     1     4402769.0
 I4      1     0      1139.9950000       -0.0000003        0.0052598     0.040     1     4402769.0
 I4      1     0      1153.9800000        0.0000006        0.0095535     0.040     1     4402769.0
 I4      1     0      1168.0150000        0.0000003        0.0007606     0.040     1     4402769.0
 I4      1     0      1182.0050000        0.0000007       -0.0067244     0.040     1     4402769.0
 I4      1     0      1195.9800000       -0.0000005       -0.0032681     0.040     1     4402770
 I4      1     0      1210.0150000        0.0000003        0.0044360     0.040     1     4402770
 I4      1     0      1224.0000000        0.0000016        0.0032711     0.040     1     4402770
 I4      1     0      1238.0050000        0.0000016        0.0026613     0.040     1     4402770
 I4      1     0      1252.0000000        0.0000004        0.0105595     0.040     1     4402770
 I4      1     0      1265.9900000        0.0000009       -0.0052819     0.040     1     4402770
 I4      1     0      1280.0000000        0.0000002        0.0133236     0.040     1     4402770
 I4      1     0      1293.9950000        0.0000002       -0.0072197     0.040     1     4402770
