%DAWG J2 VIIRS RSR Release V1 Band I5 S0
%Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                           
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017            
%Detector numbering given in "Sensor" order (1st detector in along track direction is assigned #1)
%Bnd    det    SS         wvl_nm             RSR              SNR     SNR_Thresh  QF      UAID                              
 I5      1     0      1804.0100000        0.0002216        0.0646324     0.150     1     4402674
 I5      1     0      1820.0000000       -0.0000197       -0.0492697     0.150     1     4402674
 I5      1     0      1836.0150000        0.0001160        0.0240012     0.150     1     4402674
 I5      1     0      1852.0000000        0.0002833        0.0523411     0.150     1     4402674
 I5      1     0      1867.9850000        0.0000793        0.0575897     0.150     1     4402674
 I5      1     0      1883.9900000       -0.0000094        0.0279632     0.150     1     4402674
 I5      1     0      1900.0000000        0.0000670       -0.0370989     0.150     1     4402674
 I5      1     0      1916.0100000       -0.0001245        0.0020699     0.150     1     4402674
 I5      1     0      1932.0100000        0.0000157        0.0627119     0.150     1     4402674
 I5      1     0      1948.0050000        0.0000176        0.0172429     0.150     1     4402674
 I5      1     0      1963.9950000        0.0003004        0.0403902     0.150     1     4402674
 I5      1     0      1980.0150000        0.0001197        0.0036747     0.150     1     4402674
 I5      1     0      1995.9850000        0.0002117        0.0280424     0.150     1     4402674
 I5      1     0      2011.9800000        0.0001800        0.0235589     0.150     1     4402674
 I5      1     0      2027.9800000       -0.0000913        0.0461760     0.150     1     4402674
 I5      1     0      2043.9950000        0.0001578        0.0143866     0.150     1     4402674
 I5      1     0      2059.9950000       -0.0000649       -0.0061796     0.150     1     4402674
 I5      1     0      2076.0050000        0.0000438       -0.0281675     0.150     1     4402674
 I5      1     0      2092.0050000       -0.0000485       -0.0230087     0.150     1     4402674
 I5      1     0      2108.0000000       -0.0001140       -0.0213662     0.150     1     4402674
 I5      1     0      2124.0200000        0.0002312        0.0248513     0.150     1     4402674
 I5      1     0      2140.0050000       -0.0000675       -0.0011456     0.150     1     4402674
 I5      1     0      2155.9950000        0.0002281        0.0133538     0.150     1     4402674
 I5      1     0      2172.0050000        0.0002300        0.0229408     0.150     1     4402674
 I5      1     0      2188.0100000        0.0000545       -0.0319693     0.150     1     4402674
