%DAWG J2 VIIRS RSR Release V2 Band M13 with CO2 Correction
%Based upon CO2 Corrected (UW) VCST August 7, 2018 RSR Analysis (using CO2-interpolated RSO)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017
%Detector numbering given in "Sensor" order (1st detector in along track direction is assigned #1)
%Bnd    det    SS         wvl_nm             RSR              SNR     SNR_Thresh  QF      UAID
M13      1     0      1000.0100000        0.0000000        0.0152920     0.050     1     4402750
M13      1     0      1015.9950000        0.0000001       -0.0049055     0.050     1     4402750
M13      1     0      1032.0000000        0.0000002        0.0117138     0.050     1     4402750
M13      1     0      1048.0150000        0.0000002        0.0093635     0.050     1     4402750
M13      1     0      1064.0000000       -0.0000002        0.0083122     0.050     1     4402750
M13      1     0      1079.9950000       -0.0000003        0.0017357     0.050     1     4402750
M13      1     0      1096.0000000       -0.0000001        0.0090319     0.050     1     4402750
M13      1     0      1111.9950000        0.0000002        0.0017120     0.050     1     4402750
M13      1     0      1128.0000000        0.0000003        0.0076996     0.050     1     4402750
M13      1     0      1144.0100000        0.0000002       -0.0019359     0.050     1     4402750
M13      1     0      1160.0100000        0.0000002        0.0129972     0.050     1     4402750
M13      1     0      1176.0050000        0.0000000        0.0088286     0.050     1     4402750
M13      1     0      1192.0050000        0.0000003        0.0075057     0.050     1     4402750
M13      1     0      1208.0050000        0.0000002        0.0126629     0.050     1     4402750
M13      1     0      1224.0000000        0.0000003        0.0029847     0.050     1     4402751
M13      1     0      1239.9900000        0.0000001       -0.0018092     0.050     1     4402751
M13      1     0      1256.0050000        0.0000001        0.0088620     0.050     1     4402751
M13      1     0      1272.0100000        0.0000004        0.0074687     0.050     1     4402751
M13      1     0      1288.0000000       -0.0000001        0.0132053     0.050     1     4402751
M13      1     0      1304.0000000        0.0000004        0.0087498     0.050     1     4402751
M13      1     0      1320.0150000        0.0000000        0.0056489     0.050     1     4402751
M13      1     0      1336.0050000        0.0000004        0.0154288     0.050     1     4402751
M13      1     0      1352.0100000        0.0000000        0.0092771     0.050     1     4402751
