%DAWG J2 VIIRS RSR Release V1 Band M15
%Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                           
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017            
%Detector numbering given in "Sensor" order (1st detector in along track direction is assigned #1)
%Bnd    det    SS         wvl_nm             RSR              SNR     SNR_Thresh  QF      UAID                              
M15      1     0      1799.9950000        0.0000014        0.0194776     0.060     1     4402660
M15      1     0      1816.0000000       -0.0000126        0.0282546     0.060     1     4402660
M15      1     0      1831.9900000        0.0000155        0.0547439     0.060     1     4402660
M15      1     0      1848.0000000        0.0000170        0.0121075     0.060     1     4402660
M15      1     0      1863.9950000        0.0000215        0.0016421     0.060     1     4402660
M15      1     0      1879.9800000        0.0000071       -0.0051962     0.060     1     4402660
M15      1     0      1896.0050000        0.0000085       -0.0268132     0.060     1     4402660
M15      1     0      1911.9950000        0.0000103        0.0162378     0.060     1     4402660
M15      1     0      1928.0100000        0.0000033        0.0017225     0.060     1     4402660
M15      1     0      1943.9950000        0.0000260        0.0212552     0.060     1     4402660
M15      1     0      1960.0050000        0.0000256        0.0430337     0.060     1     4402660
M15      1     0      1976.0000000       -0.0000054        0.0322030     0.060     1     4402660
M15      1     0      1992.0100000        0.0000048        0.0286106     0.060     1     4402660
M15      1     0      2008.0000000        0.0000051        0.0326126     0.060     1     4402660
M15      1     0      2023.9900000        0.0000182        0.0147521     0.060     1     4402660
M15      1     0      2039.9950000        0.0000112        0.0149419     0.060     1     4402660
M15      1     0      2055.9800000        0.0000030        0.0081266     0.060     1     4402660
M15      1     0      2072.0050000        0.0000073        0.0078552     0.060     1     4402660
M15      1     0      2088.0000000        0.0000072        0.0155956     0.060     1     4402660
M15      1     0      2104.0000000        0.0000121        0.0217944     0.060     1     4402660
M15      1     0      2120.0050000       -0.0000207       -0.0103118     0.060     1     4402660
M15      1     0      2135.9900000        0.0000134        0.0165830     0.060     1     4402660
M15      1     0      2151.9950000        0.0000389        0.0495242     0.060     1     4402660
M15      1     0      2167.9850000        0.0000182        0.0066166     0.060     1     4402660
M15      1     0      2184.0050000       -0.0000021        0.0222023     0.060     1     4402660
M15      1     0      2200.0000000       -0.0000147        0.0227574     0.060     1     4402660
M15      1     0      2216.0000000       -0.0000139        0.0317988     0.060     1     4402660
M15      1     0      2232.0050000        0.0000119        0.0376102     0.060     1     4402660
M15      1     0      2248.0050000        0.0000309        0.0092841     0.060     1     4402660
M15      1     0      2264.0000000        0.0000019        0.0181431     0.060     1     4402661
M15      1     0      2280.0050000        0.0000106       -0.0020324     0.060     1     4402661
M15      1     0      2296.0000000        0.0000197        0.0260255     0.060     1     4402661
M15      1     0      2311.9850000       -0.0000013        0.0202133     0.060     1     4402661
M15      1     0      2327.9950000        0.0000086        0.0103392     0.060     1     4402661
M15      1     0      2343.9950000        0.0000084        0.0046871     0.060     1     4402661
M15      1     0      2359.9900000        0.0000069       -0.0105805     0.060     1     4402661
M15      1     0      2375.9900000       -0.0000056        0.0217359     0.060     1     4402661
M15      1     0      2391.9950000        0.0000011        0.0098998     0.060     1     4402661
M15      1     0      2407.9950000       -0.0000036        0.0150245     0.060     1     4402661
M15      1     0      2424.0100000        0.0000188        0.0246891     0.060     1     4402661
M15      1     0      2434.0000000       -0.0000017       -0.0029728     0.060     1     4402663
M15      1     0      2449.9950000       -0.0000062        0.0243776     0.060     1     4402663
M15      1     0      2465.9950000        0.0000085        0.0400234     0.060     1     4402663
M15      1     0      2482.0100000       -0.0000216        0.0058714     0.060     1     4402663
M15      1     0      2498.0100000        0.0000026        0.0193751     0.060     1     4402663
M15      1     0      2514.0150000        0.0000153        0.0026965     0.060     1     4402663
M15      1     0      2530.0000000        0.0000041        0.0123406     0.060     1     4402663
M15      1     0      2546.0000000        0.0000152        0.0150241     0.060     1     4402663
M15      1     0      2562.0050000       -0.0000129        0.0203084     0.060     1     4402663
M15      1     0      2577.9950000        0.0000086        0.0173461     0.060     1     4402663
M15      1     0      2593.9950000        0.0000050        0.0105547     0.060     1     4402663
M15      1     0      2610.0000000       -0.0000016        0.0079308     0.060     1     4402663
M15      1     0      2626.0050000       -0.0000082        0.0033538     0.060     1     4402663
M15      1     0      2642.0000000       -0.0000013       -0.0182123     0.060     1     4402663
M15      1     0      2658.0000000       -0.0000031        0.0129832     0.060     1     4402663
M15      1     0      2673.9900000        0.0000038        0.0302419     0.060     1     4402663
M15      1     0      2690.0050000       -0.0000091        0.0164120     0.060     1     4402663
M15      1     0      2706.0000000        0.0000254        0.0279445     0.060     1     4402663
M15      1     0      2721.9950000        0.0000027        0.0114603     0.060     1     4402663
M15      1     0      2738.0050000        0.0000035       -0.0112868     0.060     1     4402663
M15      1     0      2754.0000000        0.0000077        0.0312381     0.060     1     4402663
M15      1     0      2769.9950000        0.0000130        0.0021231     0.060     1     4402663
M15      1     0      2786.0100000        0.0000163       -0.0120937     0.060     1     4402663
M15      1     0      2801.9900000       -0.0000086        0.0038531     0.060     1     4402663
M15      1     0      2817.9950000       -0.0000260        0.0020354     0.060     1     4402663
M15      1     0      2833.9950000       -0.0000003        0.0220147     0.060     1     4402663
M15      1     0      2850.0000000       -0.0000032        0.0185313     0.060     1     4402663
M15      1     0      2866.0050000        0.0000078        0.0064316     0.060     1     4402663
M15      1     0      2882.0000000        0.0000037        0.0151706     0.060     1     4402663
M15      1     0      2898.0000000        0.0000040        0.0201445     0.060     1     4402663
M15      1     0      2914.0000000        0.0000052        0.0248014     0.060     1     4402663
M15      1     0      2930.0100000        0.0000166        0.0061525     0.060     1     4402663
M15      1     0      2964.9150000       -0.0000193        0.0307931     0.060     1     4402664
M15      1     0      3030.0050000        0.0000076        0.0060834     0.060     1     4402664
M15      1     0      3095.0300000        0.0000081        0.0231395     0.060     1     4402664
M15      1     0      3159.9700000        0.0000176        0.0205790     0.060     1     4402664
M15      1     0      3224.9950000        0.0000038        0.0018931     0.060     1     4402664
M15      1     0      3289.9600000       -0.0000120       -0.0026983     0.060     1     4402664
M15      1     0      3354.9900000       -0.0000007        0.0019015     0.060     1     4402664
M15      1     0      3419.9300000       -0.0000115        0.0056224     0.060     1     4402664
M15      1     0      3485.0250000       -0.0000124       -0.0341277     0.060     1     4402664
M15      1     0      3550.0000000        0.0000227        0.0018342     0.060     1     4402664
M15      1     0      3615.0800000        0.0000132        0.0127307     0.060     1     4402664
M15      1     0      3679.9850000        0.0000014        0.0087229     0.060     1     4402664
M15      1     0      3744.9250000        0.0000018       -0.0057579     0.060     1     4402664
M15      1     0      3809.9350000       -0.0000045        0.0036764     0.060     1     4402664
M15      1     0      3875.0200000       -0.0000116        0.0091220     0.060     1     4402664
M15      1     0      3940.0000000       -0.0000144        0.0089515     0.060     1     4402664
M15      1     0      4004.9900000        0.0000268        0.0267166     0.060     1     4402664
M15      1     0      4070.0500000        0.0000221        0.0155880     0.060     1     4402664
M15      1     0      4135.0600000        0.0000108        0.0227135     0.060     1     4402664
M15      1     0      4199.9400000       -0.0000097        0.0056020     0.060     1     4402664
M15      1     0      4265.0000000        0.0000150        0.0490859     0.060     1     4402664
M15      1     0      4329.9950000       -0.0000129        0.0191143     0.060     1     4402664
M15      1     0      4395.0000000        0.0000214        0.0287318     0.060     1     4402664
M15      1     0      4459.9250000        0.0000003        0.0058881     0.060     1     4402664
M15      1     0      4525.0350000        0.0000172        0.0382845     0.060     1     4402664
M15      1     0      4590.0050000       -0.0000120        0.0183805     0.060     1     4402664
M15      1     0      4655.0500000       -0.0000041        0.0039380     0.060     1     4402664
M15      1     0      4720.0000000        0.0000113        0.0028719     0.060     1     4402664
M15      1     0      4785.0500000       -0.0000056        0.0007062     0.060     1     4402664
M15      1     0      4849.9600000       -0.0000017        0.0033371     0.060     1     4402664
M15      1     0      4915.0350000       -0.0000030        0.0122666     0.060     1     4402664
M15      1     0      4979.9950000        0.0000304        0.0084943     0.060     1     4402664
M15      1     0      5044.9850000       -0.0000029        0.0351328     0.060     1     4402664
M15      1     0      5109.9900000        0.0000149        0.0294884     0.060     1     4402664
M15      1     0      5174.9950000        0.0000001        0.0187552     0.060     1     4402664
M15      1     0      5240.0550000       -0.0000030        0.0430142     0.060     1     4402664
M15      1     0      5305.0200000        0.0000108        0.0242581     0.060     1     4402664
M15      1     0      5370.0550000       -0.0000141        0.0104776     0.060     1     4402664
M15      1     0      5434.9650000        0.0000037        0.0064968     0.060     1     4402664
M15      1     0      5447.9800000        0.0000166        0.0259927     0.060     1     4402665
M15      1     0      5512.9200000        0.0000157        0.0121817     0.060     1     4402665
M15      1     0      5577.9650000        0.0000228        0.0213867     0.060     1     4402665
M15      1     0      5642.9600000        0.0000036        0.0278704     0.060     1     4402665
M15      1     0      5708.0850000       -0.0000038        0.0373874     0.060     1     4402665
M15      1     0      5773.0150000        0.0000026        0.0161440     0.060     1     4402665
M15      1     0      5837.9650000       -0.0000019       -0.0133247     0.060     1     4402665
M15      1     0      5903.0000000       -0.0000016        0.0063924     0.060     1     4402665
M15      1     0      5968.0700000        0.0000160        0.0101057     0.060     1     4402665
M15      1     0      6033.0450000       -0.0000046        0.0057228     0.060     1     4402665
M15      1     0      6098.0100000        0.0000145        0.0441538     0.060     1     4402665
M15      1     0      6162.9850000        0.0000030       -0.0059556     0.060     1     4402665
M15      1     0      6228.0450000        0.0000013        0.0104890     0.060     1     4402665
M15      1     0      6292.9700000        0.0000106       -0.0060333     0.060     1     4402665
M15      1     0      6357.9700000        0.0000031        0.0321874     0.060     1     4402665
M15      1     0      6422.9950000        0.0000010        0.0087201     0.060     1     4402665
M15      1     0      6488.0400000       -0.0000035        0.0256404     0.060     1     4402665
M15      1     0      6552.9700000        0.0000146       -0.0089710     0.060     1     4402665
M15      1     0      6618.0450000        0.0000017        0.0269527     0.060     1     4402665
M15      1     0      6682.9500000        0.0000177        0.0007655     0.060     1     4402665
M15      1     0      6748.0400000        0.0000042        0.0147374     0.060     1     4402665
M15      1     0      6813.0600000       -0.0000299        0.0017616     0.060     1     4402665
M15      1     0      6878.0350000        0.0000039       -0.0100236     0.060     1     4402665
M15      1     0      6943.0200000       -0.0000161        0.0030346     0.060     1     4402665
