%DAWG J2 VIIRS RSR Release V1 Band M16A
%Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                           
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017            
%Detector numbering given in "Sensor" order (1st detector in along track direction is assigned #1)
%Bnd    det    SS         wvl_nm             RSR              SNR     SNR_Thresh  QF      UAID                              
M16A     1     0      1799.9950000        0.0000999        0.0703453     0.200     1     4402908
M16A     1     0      1816.0000000        0.0000449        0.0316185     0.200     1     4402908
M16A     1     0      1831.9900000        0.0000569        0.0547854     0.200     1     4402908
M16A     1     0      1848.0000000        0.0000608        0.0338900     0.200     1     4402908
M16A     1     0      1863.9950000       -0.0000194        0.0414487     0.200     1     4402908
M16A     1     0      1879.9800000        0.0000015        0.0367385     0.200     1     4402908
M16A     1     0      1896.0050000        0.0000782       -0.0660753     0.200     1     4402908
M16A     1     0      1911.9950000        0.0000896        0.0335223     0.200     1     4402908
M16A     1     0      1928.0100000        0.0000771       -0.0104712     0.200     1     4402908
M16A     1     0      1943.9950000        0.0000277        0.0337991     0.200     1     4402908
M16A     1     0      1960.0050000        0.0000447       -0.0703874     0.200     1     4402908
M16A     1     0      1976.0000000        0.0000364        0.0243253     0.200     1     4402908
M16A     1     0      1992.0100000        0.0001876        0.0267614     0.200     1     4402908
M16A     1     0      2008.0000000        0.0000058        0.0127913     0.200     1     4402908
M16A     1     0      2023.9900000       -0.0000381        0.0208083     0.200     1     4402908
M16A     1     0      2039.9950000        0.0000099        0.0412697     0.200     1     4402908
M16A     1     0      2055.9800000       -0.0000500        0.0110609     0.200     1     4402908
M16A     1     0      2072.0050000       -0.0000354        0.0302552     0.200     1     4402908
M16A     1     0      2088.0000000        0.0000198       -0.0249268     0.200     1     4402908
M16A     1     0      2104.0000000        0.0000355        0.0269845     0.200     1     4402908
M16A     1     0      2120.0050000        0.0000305        0.0579593     0.200     1     4402908
M16A     1     0      2135.9900000        0.0000704        0.0575086     0.200     1     4402908
M16A     1     0      2151.9950000        0.0000784        0.0118422     0.200     1     4402908
M16A     1     0      2167.9850000        0.0000295        0.0381399     0.200     1     4402908
M16A     1     0      2184.0050000        0.0000722        0.0226006     0.200     1     4402908
M16A     1     0      2200.0000000        0.0000030        0.0150130     0.200     1     4402908
M16A     1     0      2216.0000000       -0.0000869        0.0373389     0.200     1     4402908
M16A     1     0      2232.0050000        0.0000143        0.0225004     0.200     1     4402908
M16A     1     0      2248.0050000       -0.0000287       -0.0169370     0.200     1     4402908
M16A     1     0      2264.0000000       -0.0000308        0.0037127     0.200     1     4402910
M16A     1     0      2280.0050000        0.0000583        0.0105445     0.200     1     4402910
M16A     1     0      2296.0000000        0.0001011        0.0188054     0.200     1     4402910
M16A     1     0      2311.9850000        0.0000445        0.0278222     0.200     1     4402910
M16A     1     0      2327.9950000        0.0000702        0.0533116     0.200     1     4402910
M16A     1     0      2343.9950000        0.0000580        0.0698878     0.200     1     4402910
M16A     1     0      2359.9900000        0.0000984        0.0558237     0.200     1     4402910
M16A     1     0      2375.9900000        0.0000382        0.0235937     0.200     1     4402910
M16A     1     0      2391.9950000        0.0001169        0.0820555     0.200     1     4402910
