%DAWG J2 VIIRS RSR Release V1 Band M16B
%Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                           
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017            
%Detector numbering given in "Sensor" order (1st detector in along track direction is assigned #1)
%Bnd    det    SS         wvl_nm             RSR              SNR     SNR_Thresh  QF      UAID                              
M16B     1     0      1799.9950000        0.0000486        0.0005433     0.400     1     4402688
M16B     1     0      1816.0000000        0.0000636        0.1469486     0.400     1     4402688
M16B     1     0      1831.9900000       -0.0000155        0.0600591     0.400     1     4402688
M16B     1     0      1848.0000000        0.0000502        0.1763358     0.400     1     4402688
M16B     1     0      1863.9950000        0.0000416       -0.0204176     0.400     1     4402688
M16B     1     0      1879.9800000        0.0000406       -0.0100007     0.400     1     4402688
M16B     1     0      1896.0050000        0.0000655       -0.0443161     0.400     1     4402688
M16B     1     0      1911.9950000       -0.0000368        0.0545601     0.400     1     4402688
M16B     1     0      1928.0100000        0.0000171        0.0449082     0.400     1     4402688
M16B     1     0      1943.9950000        0.0000195        0.0912933     0.400     1     4402688
M16B     1     0      1960.0050000        0.0000675       -0.1110477     0.400     1     4402688
M16B     1     0      1976.0000000        0.0000489        0.1319497     0.400     1     4402688
M16B     1     0      1992.0100000        0.0000751        0.1035374     0.400     1     4402688
M16B     1     0      2008.0000000        0.0000743        0.0200702     0.400     1     4402688
M16B     1     0      2023.9900000        0.0000466        0.0564934     0.400     1     4402688
M16B     1     0      2039.9950000       -0.0000231        0.0667413     0.400     1     4402688
M16B     1     0      2055.9800000       -0.0000198        0.0164585     0.400     1     4402688
M16B     1     0      2072.0050000        0.0000667       -0.0309990     0.400     1     4402688
M16B     1     0      2088.0000000        0.0000562       -0.0336630     0.400     1     4402688
M16B     1     0      2104.0000000        0.0000707        0.1176463     0.400     1     4402688
M16B     1     0      2120.0050000        0.0001113        0.1107042     0.400     1     4402688
M16B     1     0      2135.9900000        0.0000200        0.0105551     0.400     1     4402688
M16B     1     0      2151.9950000       -0.0000107        0.2658152     0.400     1     4402688
M16B     1     0      2167.9850000        0.0000227       -0.0093433     0.400     1     4402688
M16B     1     0      2184.0050000        0.0001025       -0.0607111     0.400     1     4402688
M16B     1     0      2200.0000000        0.0000729       -0.0398047     0.400     1     4402688
M16B     1     0      2216.0000000        0.0000861        0.0493549     0.400     1     4402688
M16B     1     0      2232.0050000        0.0000619        0.0333619     0.400     1     4402688
M16B     1     0      2248.0050000       -0.0000074        0.0296623     0.400     1     4402688
M16B     1     0      2264.0000000        0.0000516        0.0743919     0.400     1     4402689
M16B     1     0      2280.0050000        0.0000308        0.0246623     0.400     1     4402689
M16B     1     0      2296.0000000       -0.0000034        0.1020346     0.400     1     4402689
M16B     1     0      2311.9850000       -0.0000043        0.1530633     0.400     1     4402689
M16B     1     0      2327.9950000        0.0000503        0.1204836     0.400     1     4402689
M16B     1     0      2343.9950000        0.0000110       -0.0279233     0.400     1     4402689
M16B     1     0      2359.9900000        0.0000549        0.0573721     0.400     1     4402689
M16B     1     0      2375.9900000        0.0000443        0.1820886     0.400     1     4402689
M16B     1     0      2391.9950000       -0.0000719        0.2068820     0.400     1     4402689
M16B     1     0      2407.9950000        0.0000498       -0.0388558     0.400     1     4402689
M16B     1     0      2424.0100000        0.0000212       -0.0321649     0.400     1     4402689
M16B     1     0      2434.0000000       -0.0000156        0.0769784     0.400     1     4402690
M16B     1     0      2449.9950000        0.0000709        0.0653542     0.400     1     4402690
M16B     1     0      2465.9950000        0.0000702        0.0014897     0.400     1     4402690
M16B     1     0      2482.0100000        0.0000226       -0.0958369     0.400     1     4402690
M16B     1     0      2498.0100000        0.0000107       -0.1033454     0.400     1     4402690
M16B     1     0      2514.0150000       -0.0000349        0.1473104     0.400     1     4402690
M16B     1     0      2530.0000000       -0.0000251        0.0737823     0.400     1     4402690
M16B     1     0      2546.0000000        0.0000176        0.1810493     0.400     1     4402690
M16B     1     0      2562.0050000        0.0000522        0.1075749     0.400     1     4402690
M16B     1     0      2577.9950000        0.0000491        0.0440147     0.400     1     4402690
M16B     1     0      2593.9950000        0.0000685        0.0214142     0.400     1     4402690
M16B     1     0      2610.0000000        0.0000279       -0.2955736     0.400     1     4402690
M16B     1     0      2626.0050000       -0.0000144        0.0346571     0.400     1     4402690
M16B     1     0      2642.0000000       -0.0000053        0.0308610     0.400     1     4402690
M16B     1     0      2658.0000000        0.0000466        0.1082156     0.400     1     4402690
M16B     1     0      2673.9900000       -0.0000524       -0.0990546     0.400     1     4402690
M16B     1     0      2690.0050000        0.0000734        0.0588783     0.400     1     4402690
M16B     1     0      2706.0000000        0.0000029        0.0923771     0.400     1     4402690
M16B     1     0      2721.9950000        0.0000172        0.0930173     0.400     1     4402690
M16B     1     0      2738.0050000       -0.0000055        0.1034343     0.400     1     4402690
M16B     1     0      2754.0000000        0.0000850        0.0584553     0.400     1     4402690
M16B     1     0      2769.9950000        0.0000383        0.0065934     0.400     1     4402690
M16B     1     0      2786.0100000        0.0000329        0.1331345     0.400     1     4402690
M16B     1     0      2801.9900000        0.0000578        0.0556133     0.400     1     4402690
M16B     1     0      2817.9950000        0.0000500       -0.0534795     0.400     1     4402690
M16B     1     0      2833.9950000       -0.0000274        0.0661441     0.400     1     4402690
M16B     1     0      2850.0000000        0.0000120        0.3683895     0.400     1     4402690
M16B     1     0      2866.0050000        0.0000879        0.1424797     0.400     1     4402690
M16B     1     0      2882.0000000        0.0000419       -0.1884339     0.400     1     4402690
M16B     1     0      2898.0000000        0.0000457        0.0009269     0.400     1     4402690
M16B     1     0      2914.0000000        0.0000037        0.0346619     0.400     1     4402690
M16B     1     0      2930.0100000       -0.0000347        0.0907736     0.400     1     4402690
M16B     1     0      2964.9150000       -0.0000013        0.1149106     0.400     1     4402691
M16B     1     0      3030.0050000       -0.0000246       -0.0572371     0.400     1     4402691
M16B     1     0      3095.0300000        0.0000386        0.0643989     0.400     1     4402691
M16B     1     0      3159.9700000        0.0001155        0.0254235     0.400     1     4402691
M16B     1     0      3224.9950000       -0.0000322        0.0693070     0.400     1     4402691
M16B     1     0      3289.9600000        0.0000294        0.0698852     0.400     1     4402691
M16B     1     0      3354.9900000       -0.0000014        0.1356161     0.400     1     4402691
M16B     1     0      3419.9300000        0.0000567        0.0159780     0.400     1     4402691
M16B     1     0      3485.0250000        0.0000106        0.0588976     0.400     1     4402691
M16B     1     0      3550.0000000        0.0000364        0.0378600     0.400     1     4402691
M16B     1     0      3615.0800000        0.0000363        0.1552108     0.400     1     4402691
M16B     1     0      3679.9850000        0.0000419        0.1675402     0.400     1     4402691
M16B     1     0      3744.9250000        0.0000974        0.0432590     0.400     1     4402691
M16B     1     0      3809.9350000        0.0000111        0.1450942     0.400     1     4402691
M16B     1     0      3875.0200000        0.0000457        0.0261945     0.400     1     4402691
M16B     1     0      3940.0000000       -0.0000125        0.0377453     0.400     1     4402691
M16B     1     0      4004.9900000        0.0000820        0.2506420     0.400     1     4402691
M16B     1     0      4070.0500000        0.0000345       -0.0549212     0.400     1     4402691
M16B     1     0      4135.0600000        0.0000513        0.0735565     0.400     1     4402691
M16B     1     0      4199.9400000        0.0000206        0.0987119     0.400     1     4402691
M16B     1     0      4265.0000000       -0.0000491       -0.0088275     0.400     1     4402691
M16B     1     0      4329.9950000        0.0000267        0.1074301     0.400     1     4402691
M16B     1     0      4395.0000000        0.0000283        0.1023944     0.400     1     4402691
M16B     1     0      4459.9250000        0.0000475        0.0786027     0.400     1     4402691
M16B     1     0      4525.0350000        0.0000533        0.1179806     0.400     1     4402691
M16B     1     0      4590.0050000       -0.0000275        0.0108269     0.400     1     4402691
M16B     1     0      4655.0500000        0.0000262        0.0167353     0.400     1     4402691
M16B     1     0      4720.0000000        0.0000297        0.0325398     0.400     1     4402691
M16B     1     0      4785.0500000        0.0000541        0.0922242     0.400     1     4402691
M16B     1     0      4849.9600000        0.0000131        0.0142228     0.400     1     4402691
M16B     1     0      4915.0350000        0.0000147       -0.0695060     0.400     1     4402691
M16B     1     0      4979.9950000        0.0000720        0.0319204     0.400     1     4402691
M16B     1     0      5044.9850000        0.0000540       -0.0934000     0.400     1     4402691
M16B     1     0      5109.9900000        0.0000630        0.1716785     0.400     1     4402691
M16B     1     0      5174.9950000       -0.0000295       -0.0494806     0.400     1     4402691
M16B     1     0      5240.0550000        0.0000020       -0.0518171     0.400     1     4402691
M16B     1     0      5305.0200000        0.0000833        0.0649932     0.400     1     4402691
M16B     1     0      5370.0550000        0.0000922       -0.0222149     0.400     1     4402691
M16B     1     0      5434.9650000       -0.0000074       -0.0663044     0.400     1     4402691
M16B     1     0      5447.9800000        0.0000242        0.1612807     0.400     1     4402692
M16B     1     0      5512.9200000        0.0000156        0.0439777     0.400     1     4402692
M16B     1     0      5577.9650000        0.0000990        0.1899313     0.400     1     4402692
M16B     1     0      5642.9600000        0.0000564       -0.0407009     0.400     1     4402692
M16B     1     0      5708.0850000        0.0000235       -0.0671998     0.400     1     4402692
M16B     1     0      5773.0150000       -0.0000094        0.0056856     0.400     1     4402692
M16B     1     0      5837.9650000        0.0000154        0.1291428     0.400     1     4402692
M16B     1     0      5903.0000000       -0.0000320        0.0297812     0.400     1     4402692
M16B     1     0      5968.0700000        0.0000824       -0.0268959     0.400     1     4402692
M16B     1     0      6033.0450000        0.0000277        0.1539460     0.400     1     4402692
M16B     1     0      6098.0100000        0.0000139        0.1978827     0.400     1     4402692
M16B     1     0      6162.9850000       -0.0000435        0.1194543     0.400     1     4402692
M16B     1     0      6228.0450000        0.0000697        0.0517151     0.400     1     4402692
M16B     1     0      6292.9700000        0.0000179        0.0785792     0.400     1     4402692
M16B     1     0      6357.9700000        0.0000224        0.0078301     0.400     1     4402692
M16B     1     0      6422.9950000        0.0000073        0.0110334     0.400     1     4402692
M16B     1     0      6488.0400000        0.0000971        0.0418177     0.400     1     4402692
M16B     1     0      6552.9700000        0.0000644        0.0649237     0.400     1     4402692
M16B     1     0      6618.0450000        0.0000741        0.2852632     0.400     1     4402692
M16B     1     0      6682.9500000        0.0000207        0.0001041     0.400     1     4402692
M16B     1     0      6748.0400000        0.0000533        0.0505661     0.400     1     4402692
M16B     1     0      6813.0600000       -0.0000144        0.0103599     0.400     1     4402692
M16B     1     0      6878.0350000        0.0000160        0.2387600     0.400     1     4402692
M16B     1     0      6943.0200000       -0.0000057       -0.0112475     0.400     1     4402692
M16B     1     0      7007.9100000        0.0000573        0.0454684     0.400     1     4402692
M16B     1     0      7073.0450000        0.0000526       -0.0105709     0.400     1     4402692
M16B     1     0      7138.1000000        0.0000730       -0.0161051     0.400     1     4402693
M16B     1     0      7268.0100000        0.0001171       -0.0897093     0.400     1     4402693
M16B     1     0      7398.1350000        0.0000213       -0.0426467     0.400     1     4402693
M16B     1     0      7528.1100000        0.0000192        0.0136779     0.400     1     4402693
M16B     1     0      7658.1000000        0.0000448        0.0818720     0.400     1     4402693
M16B     1     0      7787.9000000        0.0003619        1.5176047     0.400     0     4402693
M16B     1     0      7917.9300000        0.0000207        0.1054841     0.400     0     4402693
M16B     1     0      8048.0050000        0.0001024        0.5378673     0.400     0     4402693
M16B     1     0      8178.1650000        0.0000700        0.0752287     0.400     1     4402693
M16B     1     0      8308.0000000        0.0000192       -0.0659318     0.400     1     4402693
M16B     1     0      8438.1650000       -0.0000235       -0.0860727     0.400     1     4402693
M16B     1     0      8568.0750000        0.0000150        0.0267825     0.400     1     4402693
M16B     1     0      8697.8850000        0.0000492        0.1510627     0.400     1     4402693
M16B     1     0      8827.9200000        0.0000707        0.0543112     0.400     1     4402693
M16B     1     0      8958.0350000        0.0000761        0.1256694     0.400     1     4402693
M16B     1     0      9088.0450000        0.0000694        0.0257885     0.400     1     4402693
M16B     1     0      9218.1550000        0.0001122        0.0507831     0.400     1     4402693
M16B     1     0      9348.0050000       -0.0000019        0.1106512     0.400     1     4402693
M16B     1     0      9477.9900000        0.0001018        0.1725027     0.400     1     4402693
M16B     1     0      9596.8950000        0.0000077        0.0454954     0.400     1     4402694
M16B     1     0      9727.1250000        0.0000778        0.0749719     0.400     1     4402694
M16B     1     0      9857.1150000        0.0000317        0.1548885     0.400     1     4402694
M16B     1     0      9987.0050000       -0.0000035        0.0136959     0.400     1     4402694
M16B     1     0     10117.0500000       -0.0000380        0.0047515     0.400     1     4402694
M16B     1     0     10247.1000000        0.0000224        0.0857120     0.400     1     4402694
M16B     1     0     10376.9500000        0.0001681        0.0635367     0.400     1     4402694
M16B     1     0     10507.0000000        0.0000839        0.0530342     0.400     1     4402694
M16B     1     0     10637.0500000        0.0000985        0.1152054     0.400     1     4402694
M16B     1     0     10767.0500000        0.0001485        0.3656511     0.400     0     4402694
M16B     1     0     10897.0000000        0.0006096        1.3435970     0.400     0     4402694
M16B     1     0     11027.2000000        0.0015602        3.4934806     0.400     0     4402695
M16B     1     0     11157.1500000        0.0018064        4.0426094     0.400     0     4402695
M16B     1     0     11222.0500000        0.0034451        5.7556829     0.400     0     4402684
M16B     1     0     11286.8500000        0.0075920       13.2201325     0.400     0     4402684
M16B     1     0     11352.0500000        0.0244843       41.3268312     0.400     0     4402684
M16B     1     0     11417.0000000        0.1129044      148.4867105     0.400     0     4402684
M16B     1     0     11481.8500000        0.5329015      344.8645751     0.400     0     4402684
M16B     1     0     11546.9500000        0.9588939      815.9214195     0.400     0     4402684
M16B     1     0     11612.0500000        0.9545265      914.7497102     0.400     0     4402684
M16B     1     0     11677.1000000        0.9820723      769.5633052     0.400     0     4402684
M16B     1     0     11741.9500000        1.0000000      765.3571207     0.400     0     4402684
M16B     1     0     11807.0500000        0.9956248      618.9533078     0.400     0     4402684
M16B     1     0     11872.0500000        0.9936671      598.2380457     0.400     0     4402684
M16B     1     0     11937.0000000        0.9819758      586.9476451     0.400     0     4402684
M16B     1     0     12002.0000000        0.9621724      666.7799253     0.400     0     4402684
M16B     1     0     12067.0000000        0.9356329      595.9832390     0.400     0     4402684
M16B     1     0     12131.8500000        0.9062518      623.2267146     0.400     0     4402684
M16B     1     0     12197.0500000        0.8811466      473.6741529     0.400     0     4402684
M16B     1     0     12262.1000000        0.8878434      671.8199672     0.400     0     4402684
M16B     1     0     12326.9500000        0.8136985      564.1540206     0.400     0     4402684
M16B     1     0     12391.9000000        0.5667333      383.1787611     0.400     0     4402684
M16B     1     0     12457.1000000        0.2338312      189.9821837     0.400     0     4402684
M16B     1     0     12521.8500000        0.0724354       66.9150542     0.400     0     4402684
M16B     1     0     12587.0500000        0.0244674       22.2649361     0.400     0     4402684
M16B     1     0     12652.1000000        0.0092761        8.3040019     0.400     0     4402684
M16B     1     0     12716.9500000        0.0038359        3.3089857     0.400     0     4402684
M16B     1     0     12846.8500000        0.0010178        0.7248365     0.400     0     4402695
M16B     1     0     12976.9000000        0.0001848        0.1376502     0.400     0     4402695
M16B     1     0     13106.9000000        0.0000883        0.0633112     0.400     1     4402695
M16B     1     0     13236.9000000       -0.0000299        0.0528569     0.400     1     4402696
M16B     1     0     13366.9500000        0.0000685        0.1962539     0.400     1     4402696
M16B     1     0     13497.1000000        0.0000860        0.0449354     0.400     1     4402696
M16B     1     0     13627.0000000        0.0000530        0.0180439     0.400     1     4402696
M16B     1     0     13757.1500000        0.0000557        0.0195600     0.400     1     4402696
M16B     1     0     13886.9000000        0.0000724        0.0822999     0.400     1     4402696
M16B     1     0     14017.0000000       -0.0000383       -0.1277029     0.400     1     4402696
M16B     1     0     14146.9500000        0.0000752        0.0288265     0.400     1     4402696
M16B     1     0     14277.0000000        0.0000157        0.0566818     0.400     1     4402696
M16B     1     0     14407.0000000        0.0000451        0.1086003     0.400     1     4402696
M16B     1     0     14537.0500000        0.0001236        0.0698692     0.400     1     4402696
M16B     1     0     14666.9500000       -0.0000174        0.1159086     0.400     1     4402696
M16B     1     0     14796.9500000        0.0000768        0.0167053     0.400     1     4402696
M16B     1     0     14927.0000000        0.0000143        0.0069019     0.400     1     4402696
M16B     1     0     15057.0500000        0.0000221       -0.0590966     0.400     1     4402696
M16B     1     0     15187.0000000        0.0000395        0.0605391     0.400     1     4402696
M16B     1     0     15317.0000000       -0.0000410        0.0231271     0.400     1     4402696
M16B     1     0     15447.0000000        0.0000305        0.0502778     0.400     1     4402696
M16B     1     0     15576.9500000        0.0000061       -0.1167259     0.400     1     4402696
M16B     1     0     15706.9500000        0.0000194        0.0308149     0.400     1     4402696
M16B     1     0     15837.0000000        0.0000914        0.0680964     0.400     1     4402696
M16B     1     0     15967.0500000        0.0000129        0.1053704     0.400     1     4402696
M16B     1     0     16096.9500000        0.0000184        0.0382642     0.400     1     4402696
M16B     2     0      1799.9950000        0.0000605       -0.1411333     0.700     1     4403221
M16B     2     0      1816.0000000        0.0000117        0.1255017     0.700     1     4403221
M16B     2     0      1831.9900000        0.0000228        0.0738419     0.700     1     4403221
M16B     2     0      1848.0000000        0.0000049        0.2262103     0.700     1     4403221
M16B     2     0      1863.9950000        0.0000521        0.2063747     0.700     1     4403221
M16B     2     0      1879.9800000       -0.0000116        0.2282154     0.700     1     4403221
M16B     2     0      1896.0050000        0.0000044        0.2661704     0.700     1     4403221
M16B     2     0      1911.9950000       -0.0000042       -0.0766026     0.700     1     4403221
M16B     2     0      1928.0100000        0.0000515        0.2180346     0.700     1     4403221
