Wavelength,(um),Normalized,RSF
0.43,0.0055,,
0.432,-0.005,,
0.434,-0.0045,,
0.436,-0.0044,,
0.438,0.0064,,
0.44,-0.0006,,
0.442,-0.002,,
0.444,-0.0014,,
0.446,-0.0006,,
0.448,-0.0008,,
0.45,-0.0003,,
0.452,0,,
0.454,-0.001,,
0.456,-0.0017,,
0.458,-0.0034,,
0.46,0.0012,,
0.462,-0.0003,,
0.464,-0.001,,
0.466,-0.0013,,
0.468,-0.0006,,
0.47,-0.0025,,
0.472,0.0003,,
0.474,-0.0006,,
0.476,-0.0008,,
0.478,-0.0001,,
0.48,-0.0001,,
0.482,-0.0003,,
0.484,-0.0009,,
0.486,-0.0006,,
0.488,-0.0003,,
0.49,-0.0006,,
0.492,-0.0007,,
0.494,0.0009,,
0.496,0.0002,,
0.498,0.0007,,
0.5,-0.0007,,
0.502,-0.0001,,
0.504,-0.0008,,
0.506,-0.0002,,
0.508,0.0005,,
0.51,0,,
0.512,0.0002,,
0.514,-0.0002,,
0.516,-0.0005,,
0.518,-0.0004,,
0.52,-0.0004,,
0.522,0.0006,,
0.524,-0.0004,,
0.526,0.0005,,
0.528,0.0004,,
0.53,-0.0001,,
0.532,0.0002,,
0.534,0,,
0.536,0.0002,,
0.538,-0.0004,,
0.54,0.0002,,
0.542,-0.0002,,
0.544,0.0001,,
0.546,-0.0001,,
0.548,0.0001,,
0.55,0.0003,,
0.552,0.0001,,
0.554,0.0002,,
0.556,0.0001,,
0.558,0.0002,,
0.56,0,,
0.562,0.0002,,
0.564,0.0001,,
0.566,0.0005,,
0.568,0.0004,,
0.57,0.0007,,
0.572,0.0009,,
0.574,0.0013,,
0.576,0.0021,,
0.578,0.0065,,
0.58,0.0185,,
0.582,0.046,,
0.584,0.1151,,
0.586,0.2572,,
0.588,0.4272,,
0.59,0.513,,
0.592,0.5472,,
0.594,0.5782,,
0.596,0.6224,,
0.598,0.6747,,
0.6,0.7198,,
0.602,0.7549,,
0.604,0.7765,,
0.606,0.7916,,
0.608,0.8067,,
0.61,0.8219,,
0.612,0.8344,,
0.614,0.8403,,
0.616,0.8511,,
0.618,0.8635,,
0.62,0.8714,,
0.622,0.8776,,
0.624,0.8865,,
0.626,0.8949,,
0.628,0.9021,,
0.63,0.9081,,
0.632,0.9081,,
0.634,0.9212,,
0.636,0.9314,,
0.638,0.9423,,
0.64,0.9561,,
0.642,0.9706,,
0.644,0.9838,,
0.646,0.9965,,
0.648,1,,
0.65,0.9952,,
0.652,0.9843,,
0.654,0.9679,,
0.656,0.9403,,
0.658,0.9275,,
0.66,0.9041,,
0.662,0.8863,,
0.664,0.8711,,
0.666,0.8674,,
0.668,0.8769,,
0.67,0.8995,,
0.672,0.9334,,
0.674,0.9535,,
0.676,0.8957,,
0.678,0.7141,,
0.68,0.4792,,
0.682,0.2854,,
0.684,0.1615,,
0.686,0.0908,,
0.688,0.0513,,
0.69,0.0297,,
0.692,0.018,,
0.694,0.0109,,
0.696,0.0067,,
0.698,0.004,,
0.7,0.0023,,
0.702,0.0013,,
0.704,0.0007,,
0.706,0.0004,,
0.708,0.0003,,
0.71,0.0003,,
0.712,-0.0001,,
0.714,0.0001,,
0.716,-0.0001,,
0.718,0,,
0.72,0,,
0.722,-0.0002,,
0.724,0,,
0.726,0,,
0.728,0,,
0.73,-0.0001,,
0.732,0.0001,,
0.734,0,,
0.736,0,,
0.738,-0.0001,,
0.74,0.0001,,
0.742,0,,
0.744,0,,
0.746,0,,
0.748,0,,
0.75,0.0001,,
0.752,0,,
0.754,0.0001,,
0.756,0,,
0.758,0,,
0.76,0,,
0.762,0.0001,,
0.764,0.0001,,
0.766,0.0001,,
0.768,-0.0001,,
0.77,0.0001,,
0.772,0,,
0.774,0.0001,,
0.776,0.0001,,
0.778,0,,
0.78,-0.0001,,
0.782,0,,
0.784,0,,
0.786,0.0001,,
0.788,0,,
0.79,0,,
0.792,0,,
0.794,0.0001,,
0.796,0.0002,,
0.798,0,,
0.8,0,,
0.802,0.0001,,
0.804,-0.0001,,
0.806,0,,
0.808,0.0001,,
0.81,0,,
0.812,0.0001,,
0.814,0,,
0.816,0.0001,,
0.818,0,,
0.82,0.0002,,
0.822,0.0001,,
0.824,0.0001,,
0.826,0,,
0.828,0,,
0.83,0,,
