Wavelength,(um),Normalized,RSF
2.98,0.0001,,
2.987,0.0001,,
2.994,0,,
3.001,0,,
3.008,0,,
3.015,0,,
3.022,0,,
3.029,0,,
3.036,0,,
3.043,0,,
3.05,0,,
3.057,0,,
3.064,0,,
3.071,0,,
3.078,0,,
3.085,0,,
3.092,0,,
3.099,0,,
3.106,0,,
3.113,0,,
3.12,0,,
3.127,0,,
3.134,0,,
3.141,0,,
3.148,0,,
3.155,0,,
3.162,0,,
3.169,0,,
3.176,0,,
3.183,0,,
3.19,0,,
3.197,0,,
3.204,0.0001,,
3.211,0,,
3.218,0,,
3.225,0.0001,,
3.232,0,,
3.239,0,,
3.246,0,,
3.253,0.0001,,
3.26,0.0001,,
3.267,0,,
3.274,0.0001,,
3.281,0,,
3.288,0,,
3.295,0,,
3.302,0.0001,,
3.309,0.0001,,
3.316,0.0001,,
3.323,0.0001,,
3.33,0.0001,,
3.337,0,,
3.344,0.0001,,
3.351,0.0001,,
3.358,0.0002,,
3.365,0.0002,,
3.372,0.0002,,
3.379,0.0003,,
3.386,0.0003,,
3.393,0.0005,,
3.4,0.0006,,
3.407,0.0009,,
3.414,0.0012,,
3.421,0.0016,,
3.428,0.002,,
3.435,0.0036,,
3.442,0.005,,
3.449,0.0063,,
3.456,0.0087,,
3.463,0.0103,,
3.47,0.0132,,
3.477,0.0158,,
3.484,0.0196,,
3.491,0.0234,,
3.498,0.0273,,
3.505,0.035,,
3.512,0.043,,
3.519,0.0608,,
3.526,0.0781,,
3.533,0.108,,
3.54,0.1523,,
3.547,0.2118,,
3.554,0.2914,,
3.561,0.3685,,
3.568,0.4922,,
3.575,0.5874,,
3.582,0.7004,,
3.589,0.7715,,
3.596,0.7957,,
3.603,0.8186,,
3.61,0.814,,
3.617,0.8425,,
3.624,0.8143,,
3.631,0.8486,,
3.638,0.8278,,
3.645,0.8316,,
3.652,0.8336,,
3.659,0.85,,
3.666,0.9538,,
3.673,0.9376,,
3.68,0.849,,
3.687,0.8873,,
3.694,0.8976,,
3.701,0.8921,,
3.708,0.8622,,
3.715,0.8946,,
3.722,0.8568,,
3.729,0.9026,,
3.736,0.8967,,
3.743,0.936,,
3.75,0.9267,,
3.757,0.9165,,
3.764,0.9249,,
3.771,0.9458,,
3.778,0.924,,
3.785,0.9222,,
3.792,0.9555,,
3.799,0.97,,
3.806,0.9428,,
3.813,0.9447,,
3.82,0.9482,,
3.827,0.9515,,
3.834,0.9526,,
3.841,0.961,,
3.848,0.9723,,
3.855,0.9811,,
3.862,0.9569,,
3.869,0.954,,
3.876,0.9707,,
3.883,0.9386,,
3.89,1,,
3.897,0.9977,,
3.904,0.9952,,
3.911,0.9916,,
3.918,0.9894,,
3.925,0.9626,,
3.932,0.91,,
3.939,0.8668,,
3.946,0.7167,,
3.953,0.5573,,
3.96,0.413,,
3.967,0.2933,,
3.974,0.2065,,
3.981,0.1413,,
3.988,0.0994,,
3.995,0.0692,,
4.002,0.0486,,
4.009,0.0351,,
4.016,0.0244,,
4.023,0.0189,,
4.03,0.0127,,
4.037,0.0109,,
4.044,0.0076,,
4.051,0.0061,,
4.058,0.0048,,
4.065,0.0038,,
4.072,0.0031,,
4.079,0.0025,,
4.086,0.0021,,
4.093,0.0016,,
4.1,0.0014,,
4.107,0.0011,,
4.114,0.0008,,
4.121,0.0007,,
4.128,0.0005,,
4.135,0.0003,,
4.142,0.0002,,
4.149,0.0002,,
4.156,0.0001,,
4.163,0,,
4.17,0.0001,,
4.177,0,,
4.184,0,,
4.191,0,,
4.198,0,,
4.205,-0.0001,,
4.212,-0.0005,,
4.219,-0.0005,,
4.226,-0.0008,,
4.233,-0.0003,,
4.24,-0.0004,,
4.247,-0.0011,,
4.254,-0.0008,,
4.261,-0.0007,,
4.268,-0.0013,,
4.275,-0.0005,,
4.282,-0.0004,,
4.289,-0.0004,,
4.296,-0.0001,,
4.303,-0.0002,,
4.31,-0.0004,,
4.317,0.0001,,
4.324,0,,
4.331,0,,
4.338,0,,
4.345,0.0001,,
4.352,0.0001,,
4.359,-0.0001,,
4.366,-0.0001,,
4.373,-0.0001,,
4.38,-0.0001,,
4.387,-0.0001,,
4.394,0,,
4.401,-0.0001,,
4.408,0,,
4.415,0,,
4.422,-0.0001,,
4.429,0,,
4.436,0,,
4.443,-0.0001,,
4.45,-0.0001,,
4.457,-0.0001,,
4.464,-0.0001,,
4.471,-0.0001,,
4.478,0,,
4.485,-0.0001,,
4.492,-0.0001,,
4.499,0,,
