wavelengthum),SRF
0.43,-2.99E-02
0.432,9.24E-03
0.434,6.07E-03
0.436,2.75E-03
0.438,3.29E-03
0.44,-7.17E-03
0.442,5.99E-03
0.444,-7.51E-03
0.446,-1.09E-02
0.448,2.97E-04
0.45,-1.01E-02
0.452,3.03E-03
0.454,-8.88E-04
0.456,2.77E-03
0.458,5.17E-03
0.46,-1.77E-03
0.462,6.25E-03
0.464,3.94E-03
0.466,-3.37E-03
0.468,-4.47E-03
0.47,-4.23E-03
0.472,1.83E-03
0.474,6.52E-04
0.476,-1.19E-03
0.478,5.18E-03
0.48,4.32E-03
0.482,-1.29E-03
0.484,1.16E-03
0.486,7.75E-04
0.488,1.84E-03
0.49,-7.85E-05
0.492,1.18E-03
0.494,8.72E-04
0.496,2.52E-04
0.498,-4.68E-04
0.5,6.31E-05
0.502,-1.12E-03
0.504,2.90E-04
0.506,2.20E-03
0.508,-3.71E-04
0.51,3.00E-04
0.512,-4.47E-04
0.514,2.73E-04
0.516,2.92E-04
0.518,5.48E-04
0.52,1.15E-04
0.522,5.40E-04
0.524,-3.39E-04
0.526,4.15E-04
0.528,7.06E-04
0.53,-7.60E-04
0.532,7.47E-04
0.534,-7.33E-04
0.536,1.56E-04
0.538,-7.64E-04
0.54,-3.27E-04
0.542,8.31E-05
0.544,-1.43E-03
0.546,2.44E-04
0.548,4.12E-04
0.55,-5.90E-04
0.552,-1.10E-03
0.554,-6.25E-04
0.556,-2.43E-04
0.558,-5.19E-04
0.56,6.58E-04
0.562,-5.79E-04
0.564,-1.38E-04
0.566,-1.38E-04
0.568,5.42E-04
0.57,-7.26E-05
0.572,-1.44E-04
0.574,2.17E-04
0.576,1.48E-03
0.578,3.98E-03
0.58,1.39E-02
0.582,4.28E-02
0.584,1.23E-01
0.586,2.86E-01
0.588,4.56E-01
0.59,5.15E-01
0.592,5.20E-01
0.594,5.37E-01
0.596,5.70E-01
0.598,6.09E-01
0.6,6.41E-01
0.602,6.69E-01
0.604,6.85E-01
0.606,6.93E-01
0.608,7.01E-01
0.61,7.14E-01
0.612,7.28E-01
0.614,7.45E-01
0.616,7.64E-01
0.618,7.83E-01
0.62,8.03E-01
0.622,8.16E-01
0.624,8.25E-01
0.626,8.26E-01
0.628,8.22E-01
0.63,8.18E-01
0.632,8.16E-01
0.634,8.19E-01
0.636,8.31E-01
0.638,8.65E-01
0.64,8.72E-01
0.642,9.00E-01
0.644,9.30E-01
0.646,9.55E-01
0.648,9.71E-01
0.65,9.85E-01
0.652,9.92E-01
0.654,9.97E-01
0.656,1.00E+00
0.658,9.97E-01
0.66,9.90E-01
0.662,9.76E-01
0.664,9.56E-01
0.666,9.40E-01
0.668,9.32E-01
0.67,9.38E-01
0.672,9.58E-01
0.674,9.59E-01
0.676,8.72E-01
0.678,6.65E-01
0.68,4.28E-01
0.682,2.50E-01
0.684,1.39E-01
0.686,7.64E-02
0.688,4.14E-02
0.69,2.28E-02
0.692,1.26E-02
0.694,6.71E-03
0.696,4.00E-03
0.698,2.09E-03
0.7,1.07E-03
0.702,7.46E-04
0.704,6.74E-05
0.706,5.42E-04
0.708,1.31E-04
0.71,1.11E-04
0.712,-7.01E-04
0.714,4.93E-04
0.716,2.93E-04
0.718,-3.33E-05
0.72,4.77E-04
0.722,2.73E-04
0.724,-4.67E-04
0.726,1.37E-04
0.728,3.92E-04
0.73,-7.20E-04
0.732,3.39E-04
0.734,-1.89E-05
0.736,-6.42E-05
0.738,2.66E-05
0.74,-5.36E-04
0.742,7.57E-06
0.744,-6.67E-04
0.746,-4.38E-06
0.748,-4.79E-04
0.75,-2.70E-05
0.752,7.67E-05
0.754,-5.49E-04
0.756,1.74E-04
0.758,1.63E-04
0.76,1.20E-04
0.762,3.12E-04
0.764,-1.77E-04
0.766,3.43E-04
0.768,1.86E-04
0.77,-2.76E-04
0.772,1.15E-04
0.774,-4.30E-07
0.776,1.93E-04
0.778,5.36E-05
0.78,-4.59E-04
0.782,2.34E-05
0.784,-1.14E-03
0.786,4.33E-04
0.788,2.51E-04
0.79,1.18E-03
0.792,8.16E-05
0.794,7.80E-04
0.796,-2.58E-04
0.798,-2.77E-04
0.8,3.03E-04
0.802,1.25E-04
0.804,-6.14E-04
0.806,5.88E-04
0.808,1.47E-04
0.81,-1.03E-03
0.812,7.84E-04
0.814,-5.07E-04
0.816,3.25E-04
0.818,-9.53E-04
0.82,1.05E-04
0.822,3.72E-04
0.824,3.30E-04
0.826,-3.60E-04
0.828,-2.92E-04
0.83,-1.34E-04
