wavelength(num),SRF
0.5,-5.03E-03
0.504,6.37E-03
0.508,2.93E-03
0.512,-5.89E-03
0.516,4.35E-03
0.52,-4.73E-03
0.524,-3.63E-03
0.528,-2.80E-03
0.532,2.47E-03
0.536,-3.85E-03
0.54,-5.58E-03
0.544,-1.80E-03
0.548,2.82E-03
0.552,-1.05E-04
0.556,-1.79E-03
0.56,1.32E-03
0.564,2.44E-03
0.568,-2.63E-04
0.572,-1.98E-03
0.576,-1.05E-03
0.58,-4.84E-04
0.584,-3.09E-04
0.588,1.03E-03
0.592,2.03E-04
0.596,1.87E-03
0.6,2.02E-03
0.604,3.93E-04
0.608,1.73E-04
0.612,-1.61E-03
0.616,5.38E-05
0.62,-1.39E-04
0.624,5.10E-04
0.628,6.31E-04
0.632,6.79E-04
0.636,1.84E-04
0.64,8.94E-05
0.644,-7.01E-04
0.648,-3.89E-04
0.652,9.46E-05
0.656,-3.65E-04
0.66,4.66E-04
0.664,1.23E-03
0.668,-5.83E-04
0.672,2.30E-04
0.676,6.60E-04
0.68,9.64E-04
0.684,2.91E-04
0.688,-6.70E-04
0.692,-8.14E-04
0.696,2.08E-05
0.7,4.12E-03
0.704,4.99E-02
0.708,1.66E-01
0.712,2.19E-01
0.716,2.21E-01
0.72,2.31E-01
0.724,2.69E-01
0.728,3.58E-01
0.732,5.76E-01
0.736,8.32E-01
0.74,8.66E-01
0.744,8.73E-01
0.748,9.08E-01
0.752,9.39E-01
0.756,9.58E-01
0.76,9.77E-01
0.764,9.85E-01
0.768,1.00E+00
0.772,9.91E-01
0.776,9.91E-01
0.78,9.88E-01
0.784,9.76E-01
0.788,9.83E-01
0.792,9.91E-01
0.796,9.92E-01
0.8,9.90E-01
0.804,9.79E-01
0.808,9.87E-01
0.812,9.85E-01
0.816,9.83E-01
0.82,9.71E-01
0.824,9.59E-01
0.828,9.53E-01
0.832,9.52E-01
0.836,9.42E-01
0.84,8.91E-01
0.844,9.15E-01
0.848,8.96E-01
0.852,8.75E-01
0.856,8.72E-01
0.86,8.70E-01
0.864,8.73E-01
0.868,8.74E-01
0.872,8.75E-01
0.876,8.69E-01
0.88,8.57E-01
0.884,8.40E-01
0.888,8.22E-01
0.892,8.09E-01
0.896,7.94E-01
0.9,7.73E-01
0.904,7.66E-01
0.908,7.60E-01
0.912,7.58E-01
0.916,7.54E-01
0.92,7.48E-01
0.924,7.34E-01
0.928,7.17E-01
0.932,6.97E-01
0.936,6.77E-01
0.94,6.58E-01
0.944,6.35E-01
0.948,6.16E-01
0.952,5.93E-01
0.956,5.66E-01
0.96,5.40E-01
0.964,5.20E-01
0.968,5.02E-01
0.972,4.84E-01
0.976,4.64E-01
0.98,4.31E-01
0.984,3.69E-01
0.988,2.76E-01
0.992,1.77E-01
0.996,1.03E-01
1,5.81E-02
1.004,3.11E-02
1.008,1.71E-02
1.012,9.10E-03
1.016,5.09E-03
1.02,2.89E-03
1.024,1.79E-03
1.028,8.61E-04
1.032,3.03E-04
1.036,4.44E-04
1.04,2.88E-06
1.044,3.06E-05
1.048,5.93E-05
1.052,1.83E-04
1.056,-2.30E-05
1.06,-4.51E-05
1.064,1.13E-05
1.068,-9.93E-05
1.072,2.22E-04
