wavelength(num),SRF
1.49,2.44E-04
1.491,-2.26E-05
1.492,-6.92E-05
1.493,-7.80E-04
1.494,-6.83E-05
1.495,1.15E-04
1.496,-4.70E-04
1.497,5.50E-04
1.498,2.54E-04
1.499,-6.00E-05
1.5,3.27E-04
1.501,-8.48E-05
1.502,3.22E-04
1.503,4.05E-04
1.504,-5.15E-04
1.505,6.30E-05
1.506,-2.69E-04
1.507,-5.33E-04
1.508,-1.37E-03
1.509,1.05E-03
1.51,-1.78E-04
1.511,-4.81E-04
1.512,2.52E-04
1.513,-7.25E-04
1.514,2.43E-04
1.515,6.51E-04
1.516,1.41E-03
1.517,-1.26E-03
1.518,-1.12E-03
1.519,-9.99E-04
1.52,-4.42E-05
1.521,-2.00E-04
1.522,2.65E-04
1.523,9.23E-04
1.524,-4.64E-04
1.525,-1.84E-04
1.526,2.57E-04
1.527,5.32E-05
1.528,-3.39E-04
1.529,-3.22E-04
1.53,-7.30E-04
1.531,-3.94E-04
1.532,3.92E-04
1.533,-2.16E-04
1.534,-2.58E-04
1.535,-3.91E-04
1.536,6.78E-05
1.537,-1.68E-04
1.538,-3.84E-05
1.539,-1.45E-04
1.54,-2.52E-04
1.541,-7.88E-05
1.542,-4.99E-04
1.543,8.48E-04
1.544,-2.32E-04
1.545,-1.58E-03
1.546,-4.22E-04
1.547,-1.30E-05
1.548,-1.26E-03
1.549,1.05E-04
1.55,4.60E-04
1.551,5.10E-04
1.552,2.57E-04
1.553,-8.30E-04
1.554,-9.01E-04
1.555,-4.61E-04
1.556,4.73E-04
1.557,1.83E-04
1.558,4.33E-04
1.559,-6.86E-04
1.56,-5.78E-05
1.561,3.02E-04
1.562,6.04E-04
1.563,-3.95E-04
1.564,-5.03E-06
1.565,5.25E-04
1.566,8.37E-04
1.567,3.42E-04
1.568,1.38E-03
1.569,1.65E-03
1.57,2.30E-03
1.571,3.40E-03
1.572,4.62E-03
1.573,7.24E-03
1.574,9.46E-03
1.575,1.36E-02
1.576,1.95E-02
1.577,2.75E-02
1.578,3.66E-02
1.579,5.27E-02
1.58,7.34E-02
1.581,9.36E-02
1.582,1.26E-01
1.583,1.73E-01
1.584,2.23E-01
1.585,2.91E-01
1.586,3.56E-01
1.587,4.44E-01
1.588,5.31E-01
1.589,6.23E-01
1.59,6.96E-01
1.591,7.88E-01
1.592,8.56E-01
1.593,8.89E-01
1.594,9.26E-01
1.595,9.43E-01
1.596,9.21E-01
1.597,9.85E-01
1.598,9.61E-01
1.599,9.64E-01
1.6,9.51E-01
1.601,9.26E-01
1.602,9.21E-01
1.603,9.63E-01
1.604,1.00E+00
1.605,9.45E-01
1.606,9.47E-01
1.607,9.13E-01
1.608,9.45E-01
1.609,9.25E-01
1.61,9.53E-01
1.611,9.23E-01
1.612,9.58E-01
1.613,9.03E-01
1.614,9.45E-01
1.615,8.85E-01
1.616,9.15E-01
1.617,9.18E-01
1.618,8.70E-01
1.619,9.27E-01
1.62,8.76E-01
1.621,8.06E-01
1.622,8.13E-01
1.623,8.12E-01
1.624,8.05E-01
1.625,8.16E-01
1.626,8.12E-01
1.627,8.19E-01
1.628,8.25E-01
1.629,7.92E-01
1.63,7.91E-01
1.631,7.31E-01
1.632,6.70E-01
1.633,5.85E-01
1.634,5.08E-01
1.635,3.97E-01
1.636,3.12E-01
1.637,2.40E-01
1.638,1.73E-01
1.639,1.30E-01
1.64,9.00E-02
1.641,6.25E-02
1.642,4.61E-02
1.643,3.28E-02
1.644,2.43E-02
1.645,1.78E-02
1.646,1.26E-02
1.647,8.51E-03
1.648,6.73E-03
1.649,4.32E-03
1.65,3.20E-03
1.651,1.99E-03
1.652,1.49E-03
1.653,1.94E-03
1.654,8.06E-04
1.655,1.71E-05
1.656,-7.74E-05
1.657,2.84E-04
1.658,-3.88E-04
1.659,4.44E-04
1.66,3.81E-04
1.661,1.49E-04
1.662,4.03E-04
1.663,-4.71E-04
1.664,1.49E-04
1.665,3.07E-04
1.666,6.90E-05
1.667,-2.15E-04
1.668,-1.97E-04
1.669,3.04E-04
1.67,5.99E-04
1.671,6.80E-04
1.672,1.06E-04
1.673,-2.79E-05
1.674,-1.09E-03
1.675,1.94E-04
1.676,2.69E-04
1.677,-4.00E-04
1.678,-1.92E-04
1.679,4.32E-04
1.68,7.39E-04
1.681,-2.76E-04
1.682,7.61E-05
1.683,7.54E-05
1.684,-2.68E-04
1.685,-1.04E-04
1.686,-2.87E-05
1.687,-1.36E-04
1.688,7.31E-06
1.689,-3.42E-04
1.69,-8.40E-04
1.691,5.75E-04
1.692,2.15E-04
1.693,-4.68E-04
1.694,-1.59E-03
1.695,-4.08E-04
1.696,-2.87E-04
1.697,-1.75E-04
1.698,1.38E-04
1.699,-4.61E-04
1.7,-1.45E-04
1.701,6.61E-05
1.702,7.20E-04
1.703,-6.57E-04
1.704,2.83E-04
1.705,6.34E-04
1.706,5.11E-04
1.707,1.95E-04
1.708,1.65E-04
1.709,1.55E-04
1.71,-5.79E-05
1.711,-7.58E-05
1.712,7.15E-04
1.713,-1.55E-04
1.714,1.49E-04
1.715,8.33E-04
1.716,5.78E-04
1.717,3.71E-05
1.718,1.13E-04
1.719,-3.91E-04
1.72,-2.24E-04
1.721,-4.23E-04
1.722,-1.65E-04
1.723,3.42E-04
1.724,-7.03E-04
1.725,4.30E-04
1.726,-1.02E-03
1.727,3.21E-04
1.728,-3.23E-04
1.729,5.08E-04
1.73,-5.23E-04
