wavelength(num),SRF
2.98,3.45E-06
2.987,8.38E-06
2.994,1.58E-05
3.001,-5.17E-05
3.008,-2.96E-05
3.015,2.69E-06
3.022,2.60E-05
3.029,-1.99E-05
3.036,3.30E-05
3.043,2.13E-05
3.05,1.94E-05
3.057,-3.40E-05
3.064,-1.81E-05
3.071,4.19E-05
3.078,8.16E-06
3.085,-7.67E-05
3.092,-1.05E-04
3.099,-2.84E-05
3.106,4.78E-05
3.113,2.72E-05
3.12,2.09E-05
3.127,1.01E-05
3.134,-1.98E-05
3.141,3.09E-05
3.148,-3.67E-06
3.155,-2.22E-05
3.162,-6.49E-05
3.169,6.77E-06
3.176,8.59E-06
3.183,-2.31E-05
3.19,-2.48E-05
3.197,-3.48E-05
3.204,-8.34E-06
3.211,2.60E-05
3.218,1.27E-05
3.225,-6.16E-05
3.232,7.77E-05
3.239,-9.14E-06
3.246,-1.83E-05
3.253,8.71E-06
3.26,2.71E-05
3.267,-7.00E-05
3.274,4.85E-05
3.281,2.47E-05
3.288,9.72E-06
3.295,4.69E-05
3.302,1.38E-04
3.309,5.24E-05
3.316,1.64E-04
3.323,3.57E-05
3.33,1.35E-04
3.337,8.38E-05
3.344,7.96E-05
3.351,1.41E-04
3.358,1.15E-04
3.365,1.55E-04
3.372,1.50E-04
3.379,1.78E-04
3.386,3.47E-04
3.393,3.76E-04
3.4,6.00E-04
3.407,8.09E-04
3.414,1.24E-03
3.421,1.79E-03
3.428,2.85E-03
3.435,3.95E-03
3.442,5.58E-03
3.449,7.53E-03
3.456,9.78E-03
3.463,1.21E-02
3.47,1.50E-02
3.477,1.83E-02
3.484,2.19E-02
3.491,2.67E-02
3.498,3.32E-02
3.505,4.30E-02
3.512,5.58E-02
3.519,7.58E-02
3.526,1.04E-01
3.533,1.47E-01
3.54,2.06E-01
3.547,2.83E-01
3.554,3.82E-01
3.561,4.94E-01
3.568,5.97E-01
3.575,6.92E-01
3.582,7.64E-01
3.589,8.29E-01
3.596,8.65E-01
3.603,8.92E-01
3.61,9.06E-01
3.617,9.15E-01
3.624,9.11E-01
3.631,9.08E-01
3.638,9.04E-01
3.645,9.01E-01
3.652,9.04E-01
3.659,9.04E-01
3.666,9.15E-01
3.673,9.28E-01
3.68,9.39E-01
3.687,9.54E-01
3.694,9.58E-01
3.701,9.76E-01
3.708,9.80E-01
3.715,9.90E-01
3.722,9.88E-01
3.729,9.84E-01
3.736,9.81E-01
3.743,9.76E-01
3.75,9.79E-01
3.757,9.73E-01
3.764,9.75E-01
3.771,9.72E-01
3.778,9.87E-01
3.785,9.95E-01
3.792,1.00E+00
3.799,9.97E-01
3.806,1.00E+00
3.813,9.94E-01
3.82,9.79E-01
3.827,9.71E-01
3.834,9.53E-01
3.841,9.43E-01
3.848,9.35E-01
3.855,9.27E-01
3.862,9.39E-01
3.869,9.34E-01
3.876,9.39E-01
3.883,9.64E-01
3.89,9.80E-01
3.897,9.89E-01
3.904,9.82E-01
3.911,9.50E-01
3.918,9.03E-01
3.925,8.06E-01
3.932,7.00E-01
3.939,5.68E-01
3.946,4.40E-01
3.953,3.27E-01
3.96,2.35E-01
3.967,1.65E-01
3.974,1.13E-01
3.981,7.68E-02
3.988,5.41E-02
3.995,3.78E-02
4.002,2.74E-02
4.009,1.99E-02
4.016,1.46E-02
4.023,1.08E-02
4.03,8.23E-03
4.037,6.19E-03
4.044,4.75E-03
4.051,3.76E-03
4.058,2.78E-03
4.065,2.24E-03
4.072,1.57E-03
4.079,1.22E-03
4.086,9.36E-04
4.093,6.41E-04
4.1,1.73E-04
4.107,7.01E-04
4.114,2.77E-04
4.121,4.33E-05
4.128,3.06E-04
4.135,1.41E-04
4.142,-1.28E-06
4.149,3.20E-05
4.156,8.59E-05
4.163,6.98E-05
4.17,9.54E-05
4.177,6.14E-05
4.184,1.74E-05
4.191,6.23E-05
4.198,5.81E-05
4.205,2.38E-05
4.212,4.88E-04
4.219,-1.83E-04
4.226,2.36E-04
4.233,1.00E-03
4.24,4.98E-04
4.247,5.08E-04
4.254,3.88E-04
4.261,-2.41E-05
4.268,6.40E-04
4.275,8.42E-04
4.282,5.15E-05
4.289,-7.41E-05
4.296,1.32E-04
4.303,-6.02E-05
4.31,4.52E-04
4.317,7.59E-05
4.324,3.41E-04
4.331,8.70E-05
4.338,1.05E-04
4.345,4.46E-07
4.352,-3.24E-05
4.359,6.24E-05
4.366,3.26E-07
4.373,4.63E-05
4.38,-1.01E-05
4.387,2.46E-06
4.394,-3.23E-05
4.401,4.10E-05
4.408,-5.32E-05
4.415,-6.41E-05
4.422,-1.69E-04
4.429,3.81E-05
4.436,9.81E-06
4.443,2.44E-05
4.45,6.87E-05
4.457,2.34E-05
4.464,7.48E-06
4.471,-1.69E-04
4.478,-1.36E-05
4.485,-2.36E-05
4.492,-4.90E-05
4.499,1.43E-04
