Wavelength [µm],Blue,Green,Red ,NIR
0.4,0.004,0.004,0.001,0.000
0.41,0.004,0.004,0.001,0.000
0.42,0.004,0.004,0.001,0.000
0.43,0.005,0.004,0.001,0.000
0.44,0.010,0.005,0.001,0.000
0.45,0.473,0.100,0.019,0.002
0.46,0.962,0.204,0.030,0.002
0.47,0.995,0.246,0.029,0.001
0.48,1.000,0.368,0.032,0.000
0.49,0.942,0.514,0.031,0.000
0.5,0.829,0.656,0.028,0.000
0.51,0.712,0.814,0.031,0.001
0.52,0.549,0.938,0.048,0.002
0.53,0.377,0.993,0.067,0.001
0.54,0.285,1.000,0.049,0.001
0.55,0.215,0.974,0.024,0.002
0.56,0.145,0.915,0.021,0.002
0.57,0.096,0.820,0.048,0.002
0.58,0.077,0.711,0.283,0.001
0.59,0.065,0.567,0.817,0.000
0.6,0.056,0.399,0.982,0.000
0.61,0.050,0.257,1.000,0.000
0.62,0.049,0.171,0.980,0.000
0.63,0.053,0.145,0.979,0.001
0.64,0.065,0.124,0.945,0.002
0.65,0.084,0.110,0.919,0.003
0.66,0.107,0.104,0.877,0.003
0.67,0.123,0.114,0.833,0.003
0.68,0.063,0.067,0.397,0.002
0.69,0.000,0.000,0.001,0.000
0.7,0.000,0.000,0.000,0.000
0.71,0.000,0.000,0.000,0.000
0.72,0.000,0.000,0.000,0.000
0.73,0.000,0.000,0.000,0.000
0.74,0.000,0.000,0.000,0.001
0.75,0.000,0.000,0.000,0.007
0.76,0.000,0.000,0.000,0.162
0.77,0.000,0.000,0.000,0.994
0.78,0.000,0.000,0.000,1.000
0.79,0.000,0.000,0.000,0.924
0.8,0.000,0.000,0.000,0.869
0.81,0.000,0.000,0.000,0.814
0.82,0.000,0.000,0.000,0.759
0.83,0.000,0.000,0.000,0.711
0.84,0.000,0.000,0.000,0.656
0.85,0.000,0.000,0.000,0.604
0.86,0.000,0.000,0.000,0.557
0.87,0.000,0.000,0.000,0.239
0.88,0.000,0.000,0.000,0.004
0.89,0.000,0.000,0.000,0.000
0.9,0.000,0.000,0.000,0.000
0.91,0.000,0.000,0.000,0.000
0.92,0.000,0.000,0.000,0.000
0.93,0.000,0.000,0.000,0.000
0.94,0.000,0.000,0.000,0.000
0.95,0.000,0.000,0.000,0.000
0.96,0.000,0.000,0.000,0.000
0.97,0.000,0.000,0.000,0.000
0.98,0.000,0.000,0.000,0.000
0.99,0.000,0.000,0.000,0.000
