Wavelength [um],Blue,Green,Red,Red Edge,NIR
0.40000001,1.45E-05,0.00052547,1.32E-08,4.88E-07,0.00029318
0.40050001,0.001495673,0.00069493,6.82E-09,4.21E-07,0.000399599
0.40100001,0.001548978,0.000798031,1.07E-08,3.63E-07,0.00050262
0.40150001,0.001150188,0.000486438,9.43E-08,3.48E-07,0.000460393
0.40200001,0.000710872,0.000141684,1.71E-07,4.79E-07,0.00038326
0.40250001,0.000549888,6.98E-05,1.04E-07,1.52E-06,0.000244194
0.40300001,0.00041982,4.40E-05,2.23E-08,2.81E-06,0.000105906
0.40350001,0.000215806,3.48E-05,1.11E-08,4.61E-06,5.98E-05
0.40400001,2.27E-05,2.90E-05,1.16E-08,6.00E-06,3.10E-05
0.40450001,2.22E-06,3.00E-05,1.49E-08,3.97E-06,2.19E-05
0.40500001,8.59E-06,3.37E-05,1.90E-08,2.43E-06,1.66E-05
0.40550001,8.85E-06,4.74E-05,2.53E-08,8.04E-06,1.69E-05
0.40600001,8.43E-06,6.17E-05,3.10E-08,2.06E-05,1.95E-05
0.40650001,1.05E-05,6.99E-05,2.99E-08,6.96E-05,3.16E-05
0.40700001,1.45E-05,7.35E-05,2.91E-08,0.000110671,4.24E-05
0.40750001,2.77E-05,5.40E-05,3.79E-08,5.93E-05,3.36E-05
0.40800001,4.18E-05,3.30E-05,5.09E-08,5.94E-07,2.25E-05
0.40850001,5.20E-05,2.75E-05,7.99E-08,3.40E-07,1.71E-05
0.40900001,5.68E-05,2.58E-05,1.02E-07,8.08E-08,1.31E-05
0.40950001,3.09E-05,3.28E-05,6.01E-08,3.37E-07,1.24E-05
0.41000001,3.73E-06,5.13E-05,6.21E-08,2.87E-08,2.15E-05
0.41050001,6.18E-07,0.000135793,4.10E-07,7.32E-10,9.03E-05
0.41100001,1.25E-06,0.000329469,1.39E-07,1.74E-08,0.000173487
0.41150001,1.07E-06,0.001143998,4.41E-07,1.74E-08,0.000273679
0.41200001,7.88E-07,0.001836454,7.56E-07,1.51E-08,0.000347464
0.41250001,7.29E-07,0.000998685,7.42E-05,1.62E-08,0.00021433
0.41300001,7.11E-07,3.50E-05,0.000140334,1.85E-08,6.19E-05
0.41350001,7.33E-07,2.07E-05,7.62E-05,2.45E-08,3.00E-05
0.41400001,7.65E-07,6.02E-06,2.14E-07,3.33E-08,1.82E-05
0.41450001,8.23E-07,8.28E-06,1.58E-07,5.55E-08,1.22E-05
0.41500001,8.99E-07,2.85E-06,1.02E-07,8.08E-08,7.45E-06
0.41550001,1.06E-06,2.46E-06,4.90E-07,1.10E-07,6.13E-06
0.41600001,1.21E-06,3.12E-06,1.02E-07,1.36E-07,5.51E-06
0.41650001,1.24E-06,5.22E-06,4.68E-08,1.38E-07,6.10E-06
0.41700001,2.04E-06,7.05E-06,4.60E-08,1.45E-07,7.14E-06
0.41750001,7.66E-06,5.52E-06,4.15E-08,2.05E-07,9.77E-06
0.41800001,4.78E-06,3.56E-06,3.83E-08,2.30E-07,1.24E-05
0.41850001,1.25E-05,2.34E-06,4.86E-08,5.27E-07,1.33E-05
0.41900001,2.03E-05,1.36E-06,8.76E-08,8.30E-07,1.36E-05
0.41950001,0.001024906,1.16E-06,2.97E-07,8.87E-06,1.24E-05
0.42000001,0.001917456,1.12E-06,6.54E-07,1.64E-05,1.12E-05
0.42050001,0.001067778,1.28E-06,1.76E-06,1.25E-05,1.14E-05
0.42100001,6.85E-05,1.76E-06,2.69E-06,6.48E-06,1.21E-05
0.42150001,4.59E-05,3.96E-06,1.61E-06,6.40E-06,1.44E-05
0.42200001,2.28E-05,5.56E-06,3.59E-07,6.32E-06,1.75E-05
0.42250001,2.32E-05,2.17E-06,1.76E-07,0.000115398,2.40E-05
0.42300001,1.67E-05,4.62E-05,1.66E-07,0.000211259,3.20E-05
0.42350001,1.67E-05,0.00039758,1.82E-07,0.000115481,4.59E-05
0.42400001,1.81E-05,0.000713119,2.23E-07,4.67E-06,5.82E-05
0.42450001,2.12E-05,0.000462305,4.08E-07,2.82E-06,5.43E-05
0.42500001,2.64E-05,0.000152976,5.84E-07,9.53E-07,4.73E-05
0.42550001,4.18E-05,6.87E-05,5.56E-07,1.12E-06,3.82E-05
