Wavelength [um],Blue,Green,Red,NIR,Pan
0.35,0,0,0,0,0
0.351,0,0,0,0,0
0.352,0,0,0,0,0
0.353,0,0,0,0,0
0.354,0,0,0,0,0
0.355,0,0,0,0,0
0.356,0,0,0,0,0
0.357,0,0,0,0,0
0.358,0,0,0,0,0
0.359,0,0,0,0,0
0.36,0,0,0,0,0
0.361,0,0,0,0,0
0.362,0,0,0,0,0
0.363,0,0,0,0,0
0.364,0,0,0,0,0
0.365,0,0,0,0,0
0.366,0,0,0,0,0
0.367,0,0,0,0,0
0.368,0,0,0,0,0
0.369,0,0,0,0,0
0.37,0,0,0,0,0
0.371,0,0,0,0,0
0.372,0,0,0,0,0
0.373,0,0,0,0,0
0.374,0,0,0,0,0
0.375,0,0,0,0,0
0.376,0,0,0,0,0
0.377,0,0,0,0,0
0.378,0,0,0,0,0
0.379,0,0,0,0,0
0.38,0,0,0,0,0
0.381,0,0,0,0,0
0.382,0,0,0,0,0
0.383,0,0,0,0,0
0.384,0,0,0,0,0
0.385,0,0,0,0,0
0.386,0,0,0,0,0
0.387,0,0,0,0,0
0.388,0,0,0,0,0
0.389,0,0,0,0,0
0.39,0,0,0,0,0
0.391,0,0,0,0,0
0.392,0,0,0,0,0
0.393,0,0,0,0,0
0.394,0,0,0,0,0
0.395,0,0,0,0,0
0.396,0,0,0,0,0
0.397,7.87E-06,2.61E-06,-2.12E-07,1.50E-05,4.86E-06
0.398,3.34E-06,-1.51E-06,-1.04E-06,1.16E-05,5.84E-06
0.399,2.49E-06,3.14E-06,1.07E-06,1.42E-05,3.08E-06
0.4,4.49E-06,2.73E-06,-1.28E-07,6.97E-06,8.33E-06
0.401,3.57E-06,1.05E-06,-2.09E-06,4.66E-06,1.61E-05
0.402,5.56E-06,3.12E-06,-1.48E-06,3.99E-06,3.90E-05
0.403,7.77E-06,-3.43E-06,-1.51E-06,7.62E-06,4.04E-05
0.404,1.89E-05,1.54E-06,-8.83E-07,1.55E-05,5.47E-05
0.405,3.16E-05,-2.51E-06,-2.79E-06,2.44E-05,8.57E-05
0.406,3.33E-05,-1.49E-06,-4.17E-06,2.14E-05,5.37E-05
0.407,3.84E-05,1.58E-06,2.56E-07,2.51E-05,6.36E-05
0.408,1.88E-05,-5.21E-06,-3.23E-06,3.07E-05,1.00E-04
0.409,2.41E-05,-1.25E-06,-3.71E-06,3.76E-05,1.27E-04
0.41,4.40E-05,2.74E-06,3.06E-06,2.99E-05,1.22E-04
0.411,6.99E-05,-5.04E-06,-5.05E-06,3.47E-05,1.26E-04
0.412,1.06E-04,3.02E-06,3.42E-06,2.81E-05,1.15E-04
0.413,1.04E-04,1.31E-06,9.63E-07,9.60E-06,7.86E-05
0.414,1.07E-04,1.62E-06,1.44E-06,-1.25E-06,4.90E-05
