Wavelength [um],Blue,Green,Red,NIR,Pan
0.35,0.0,0.0,0.0,0.0,0.0
0.351,0.0,0.0,0.0,0.0,0.0
0.352,0.0,0.0,0.0,0.0,0.0
0.353,0.0,0.0,0.0,0.0,0.0
0.354,0.0,0.0,0.0,0.0,0.0
0.355,0.0,0.0,0.0,0.0,0.0
0.356,0.0,0.0,0.0,0.0,0.0
0.357,0.0,0.0,0.0,0.0,0.0
0.358,0.0,0.0,0.0,0.0,0.0
0.359,0.0,0.0,0.0,0.0,0.0
0.36,0.0,0.0,0.0,0.0,0.0
0.361,0.0,0.0,0.0,0.0,0.0
0.362,0.0,0.0,0.0,0.0,0.0
0.363,0.0,0.0,0.0,0.0,0.0
0.364,0.0,0.0,0.0,0.0,0.0
0.365,0.0,0.0,0.0,0.0,0.0
0.366,0.0,0.0,0.0,0.0,0.0
0.367,0.0,0.0,0.0,0.0,0.0
0.368,0.0,0.0,0.0,0.0,0.0
0.369,0.0,0.0,0.0,0.0,0.0
0.37,0.0,0.0,0.0,0.0,0.0
0.371,0.0,0.0,0.0,0.0,0.0
0.372,0.0,0.0,0.0,0.0,0.0
0.373,0.0,0.0,0.0,0.0,0.0
0.374,0.0,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0,0.0
0.376,0.0,0.0,0.0,0.0,0.0
0.377,0.0,0.0,0.0,0.0,0.0
0.378,0.0,0.0,0.0,0.0,0.0
0.379,0.0,0.0,0.0,0.0,0.0
0.38,0.0,0.0,0.0,0.0,0.0
0.381,0.0,0.0,0.0,0.0,0.0
0.382,0.0,0.0,0.0,0.0,0.0
0.383,0.0,0.0,0.0,0.0,0.0
0.384,0.0,0.0,0.0,0.0,0.0
0.385,0.0,0.0,0.0,0.0,0.0
0.386,0.0,0.0,0.0,0.0,0.0
0.387,0.0,0.0,0.0,0.0,0.0
0.388,0.0,0.0,0.0,0.0,0.0
0.389,0.0,0.0,0.0,0.0,0.0
0.39,0.0,0.0,0.0,0.0,0.0
0.391,0.0,0.0,0.0,0.0,0.0
0.392,0.0,0.0,0.0,0.0,0.0
0.393,0.0,0.0,0.0,0.0,0.0
0.394,0.0,0.0,0.0,0.0,0.0
0.395,0.0,0.0,0.0,0.0,0.0
0.396,0.0,0.0,0.0,0.0,0.0
0.397,0.0,0.0,0.0,0.0,0.0
0.398,0.0,0.0,0.0,0.0,0.0
0.399,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0
0.401,0.0,0.0,0.0,0.0,0.0
0.402,0.0,0.0,0.0,0.0,0.0
0.403,0.0,0.0,0.0,0.0,0.0
0.404,0.0,0.0,0.0,0.0,0.0
0.405,0.0,0.0,0.0,0.0,0.0001
0.406,0.0,0.0,0.0,0.0,0.0001
0.407,0.0,0.0,0.0,0.0,0.0001
0.408,0.0001,0.0,0.0,0.0001,0.0001
0.409,0.0001,0.0,0.0,0.0,0.0001
0.41,0.0001,0.0,0.0,0.0001,0.0001
0.411,0.0,0.0,0.0,0.0001,0.0001
0.412,0.0,0.0,0.0,0.0001,0.0002
0.413,0.0001,0.0,0.0,0.0001,0.0002
0.414,0.0001,0.0,0.0,0.0001,0.0002
0.415,0.0002,0.0,0.0,0.0001,0.0002
0.416,0.0002,0.0,0.0,0.0,0.0001
0.417,0.0002,0.0,0.0,0.0,0.0001
0.418,0.0003,0.0,0.0,0.0,0.0001
0.419,0.0001,0.0,0.0,0.0,0.0001
0.42,0.0001,0.0,0.0,0.0,0.0001
0.421,0.0001,0.0,0.0,0.0,0.0001
0.422,0.0,0.0,0.0,0.0001,0.0001
0.423,0.0001,0.0,0.0,0.0,0.0002
0.424,0.0001,0.0,0.0,0.0001,0.0002
0.425,0.0001,0.0,0.0,0.0001,0.0002
0.426,0.0001,0.0,0.0,0.0001,0.0002
0.427,0.0001,0.0,0.0,0.0002,0.0002
0.428,0.0001,0.0001,0.0,0.0001,0.0002
0.429,0.0001,0.0001,0.0,0.0001,0.0003
0.43,0.0001,0.0,0.0,0.0001,0.0004
