Wavelength (nm), Coastal-Blue response, Blue response, Green_i response, Green_ii response, Yellow response, Red response, Red-edge response, NIR response
400,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0,0
414,0,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0
416,0,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0
427,0.000242483,0,0,0,0,0,0,0
428,0.000727449,0,0,0,0,0,0,0
429,0.00242483,0,0,0,0,0,0,0
430,0.009214355,0,0,0,0,0,0,0
431,0.039039767,0,0,0,0,0,0,0
432,0.158098933,0,0,0,0,0,0,0
433,0.427497575,0,0,0,0,0,0,0
434,0.725509214,0,0,0,0,0,0,0
435,0.880213385,0,0,0,0,0,0,0
436,0.912463628,0,0,0,0,0,0,0
437,0.926770126,0,0,0,0,0,0,0
438,0.95029098,0,0,0,0,0,0,0
439,0.972114452,0,0,0,0,0,0,0
440,0.975024248,0,0,0,0,0,0,0
441,0.968477207,0.000683527,0,0,0,0,0,0
442,0.968477207,0,0,0,0,0,0,0
443,0.972599418,0,0,0,0,0,0,0
444,0.972114452,0.000455685,0,0,0,0,0,0
445,0.974781765,0,0,0,0,0,0,0
446,0.986663434,0.000683527,0,0,0,0,0,0
447,1,0,0,0,0,0,0,0
448,0.99757517,0,0,0,0,0,0,0
449,0.980116392,0,0,0,0,0,0,0
450,0.959505335,0,0,0,0,0,0,0
451,0.946411251,0,0,0,0,0,0,0
452,0.923375364,0,0,0,0,0,0,0
453,0.8028613,0.000227842,0,0,0,0,0,0
454,0.529825412,0.000227842,0,0,0,0,0,0
455,0.143064985,0,0,0,0,0,0,0
456,0.062803104,0,0,0,0,0,0,0
457,0.013336566,0,0,0,0,0,0,0
458,0.002909796,0.000455685,0,0,0,0,0,0
459,0.000727449,0.000683527,0,0,0,0,0,0
460,0.000242483,0.006151743,0,0,0,0,0,0
461,0,0.020050125,0,0,0,0,0,0
462,0,0.062428799,0,0,0,0,0,0
463,0,0.192526771,0,0,0,0,0,0
464,0,0.447482342,0,0,0,0,0,0
465,0,0.768284347,0,0,0,0,0,0
466,0,0.952608795,0,0,0,0,0,0
467,0,0.957393484,0,0,0,0,0,0
468,0,0.956254272,0,0,0,0,0,0
469,0,0.952608795,0,0,0,0,0,0
470,0,0.952608795,0,0,0,0,0,0
471,0,0.961266803,0,0,0,0,0,0
472,0,0.962633857,0,0,0,0,0,0
473,0,0.95898838,0,0,0,0,0,0
474,0,0.95898838,0,0,0,0,0,0
475,0,0.963545227,0,0,0,0,0,0
476,0,0.964912281,0,0,0,0,0,0
477,0,0.966507177,0,0,0,0,0,0
478,0,0.965367965,0,0,0,0,0,0
479,0,0.966735019,0,0,0,0,0,0
480,0,0.969013443,0,0,0,0,0,0
481,0,0.974025974,0,0,0,0,0,0
482,0,0.972886762,0,0,0,0,0,0
483,0,0.973798132,0,0,0,0,0,0
484,0,0.972886762,0,0,0,0,0,0
485,0,0.97562087,0,0,0,0,0,0
486,0,0.972203235,0,0,0,0,0,0
487,0,0.968102073,0,0,0,0,0,0
488,0,0.974481659,0,0,0,0,0,0
489,0,0.977215767,0,0,0,0,0,0
490,0,0.983139667,0,0,0,0,0,0
491,0,0.981544771,0,0,0,0,0,0
492,0,0.982911825,0,0,0,0,0,0
493,0,0.98632946,0,0,0,0,0,0
494,0,0.989519253,0,0,0,0,0,0
495,0,0.990430622,0,0,0,0,0,0
496,0,0.984962406,0,0,0,0,0,0
497,0,0.986101618,0,0,0,0,0,0
498,0,0.988152199,0,0,0,0,0,0
499,0,0.997493734,0,0,0,0,0,0
500,0,0.99703805,0,0,0,0,0,0
